speakerGroups,Speaker,text,pageNumbers
0,NA,"Tuesday, 3 April 1984",12
1,Mr SPEAKER ,"Hon. Harry Jenkins) took the chair at 2 p.m., and read prayers. MEDICAL SERVICES Notice of Motion",12
2,Mr CARLTON ,"Mackellar)-I give notice that, on the next day of sitting, I shall move: That the Medical Services (Fees) Ordinance 1984 (No.7 of 1984), made under the Seat of Government Administration Act 1910, be disallowed. LIQUEFIED PETROLEUM GAS Notice of Motion",12
3,Mr SIMMONS ,"Calare)-I give notice that, on the next day of sitting, I shall move: That this House(I) welcomes the recent policy announcement by the Government with respect to the future pricing arrangements of liquefied petroleum gas, and (2) notes the general acceptance by the community in general, and by the traditional users in New South Wales, the local government gas industry, in particular, of a policy designed to promote greater stability and predictability of gas prices in the future. Notice of Motion",12
4,Mr SHIPTON ,"Higgins)-l give notice that, on the next day of sitting, I shall move: That this House(I) notes that(a) the Government's new air fares for inbound travellers from Japan have had the effect of increasing the price of most package deal holidays to Australia from Japan; (b) a number of Japanese tour wholesalers have complained to the Australian Government about the increases; and (c) other destinations, such as New Zealand, will gain Japanese travellers and tourist trade at Australia's expense; and (2) calls on the Government to rectify the position immediately by providing a cheap, effective and competitive inbound tourist fare to encourage Japanese tourists to visit Australia. OLYMPIC GAMES Notice of Motion",12
5,Mr STAPLES ,"Diamond Valley)-I give notice that, on the next day of sitting, I shall move: That this House(I) notes with pleasure the report of the proposed agreement for a joint Korean sporting team to take part in the 1984 Los Angeles Olympics, the 1986 Asian Games and the 1988 Olympic Games in Seoul; (2) congratulates the sporting bodies and the Governments of the Republic of Korea and the Democratic Peoples Republic of Korea for their attempt in this way to ease the tension between themselves; and (3) recognises the importance of this initiative in restoring to the Olympic Games some of the ideals of sport and diplomacy that were so abused and denigrated by the boycott on the Moscow Olympics. ARMY RESERVE Motion of Motion",12
6,Mr NEWMAN ,"Bass)-I give notice that, on the next day of sitting, I shall move: That this House(I) notes that, despite a public commitment to maintain a strong Army Reserve, Government policy implemented over the 12 month period to April 1984 will lead to a run-down, second-rate Reserve Force; (2) notes that the detrimental Government policies include(a) wholesale reductions in training time; (b) attacks on conditions of service; AIR FARES (c) prohibitions on voluntary, unpaid para-es; (d) reductions in allocations of petrol, rations and ammunition which are essential for efficient training, and (e) incapacity to define what the Government wants the Reserve to do, and (3) urges the Government to reverse its destructive policies and put in place a program to encourage and support a strong and vigorous Army Reserve. MOUNT ISA-DARWIN RAILWAY Notice of Motion",12
7,Mr REEVES ,"Northern Territory)-I give notice that, on the next day of sitting, I shall move: That this House(I) notes that more than 8 months have elapsed since the Queensland and Northern Territory Governments announced that they would conduct a joint study into a Mount Isa-Darwin railway link; and (2) calls on the Northern Territory and Queensland Governments to release the report without further delay. FOREIGN WARSHIPS Notice of Motion",12
8,Mr CADMAN ,"Mitchell)-I give notice that, on the next day of sitting, I shall move: That this House(I) requests the Minister for Defence to(a) clarify the Government's unintelligible policy on foreign war (b) apologise to Australia's allies for creating uncertainty and waning confidence in Australia's capacity as a nation, and (c) refer all future decisions of this type to the Chief of Defence Force Staff before making incoherent pronouncements, and (2) demands that the policy give priority to principles which relate to Australia's allies rather than to the phobia of the LeFt Wing of the Australian Labor Party. SURF LIFE SAVING MOVEMENT",12
9,Mr RONALD EDWARDS ,"Stirling)-I give notice that, on the next day of sitting, I shall move: That this House(I) congratulates the Australian surf life-saving movement on its successful carnival conducted at Kurrawa Beach on the Gold Coast on 31 March-I April 1984; (2) notes that the federal Government in the 1983 Budget effectively doubled funding for surf life-saving; (3) regrets that the ABC did not provide a more comprehensive coverage of the titles as has been the practice in the past; and (4) congratulates(a) the Trigg Island Club for its success in the 'A' crew surf-boat titles, and (b) Mr Ken Vidler of the Scarborough Club for his success in the open ski race. The motion will be seconded by the. honourable member for Tangney ( Mr Gear). NEW ARTILLERY GUN",13
10,Mr NEWMAN ,"8ass)-1 give notice that, on the next day of sitting, I shall move: That this House(I) notes that(a) the Government in the 1982-83 Defence Report indicated that the new medium 155 millimetre artillery gun would be introduced during 1983-84; (b) this gun is supposed to provide close and essential support to the fighting units of the Army; and (c) the Government has allowed the units destined to receive this gun to become so under strength that they are now incapable of being equipped with this new and important weapon, as planned; and (2) condemns the Government for disarmament by stealth. AMNESTY INTERNATIONAL ships visiting Australian ports; Notice of Motion",13
11,Mr TICKNER ,"Hughes)-I give notice that, on the next day of sitting, I shall move, and the honourable member for Macarthur ( Mr Hollis) will second: That this House(I) draws the Government's attention to evidence that various forms of torture are practised in the 1980s in at least 98 countries; (2) calls on the Government to support the aims of Amnesty International in its campaign against torture; Notice of Motion (3) urges the Government to assert influence to dissuade governments from continuing to use, or to connive in the practice of, torture within their national boundaries; (4) calls on the Government to support the United Nations Voluntary Fund for Victims of Torture; and (5) requests the Government to seek the expeditious completion of the proposed international covenant against torture. NA wish it, we would be prepared to facilitate debate on that notice of motion now.",13
12,Mr YOUNG ,"Mr Speaker, the Government is giving consideration to bringing these matters on in the fifth week of the Parliament. MEDICARE: BULK BILLING Notice of Motion",13
13,Mr WELLS ,"Petrie)-I give notice that, on the next day of sitting, I shall move: That this House(I) notes that(a) the rate of bulk billing in Queensland has now Notice of Motion risen to 49 per cent, close to the highest level in Australia; and (b) the medical profession in Queensland has not engaged in any of the irresponsible industrial action which has blighted certain other States; and (2) congratulates the rank and file of the medical profession in that State on its responsible approach to the introduction of Medicare, its concern for patients, and its commitment to the spirit of the Hippocratic Oath. QUESTIONS WITHOUT NOTICE HONOURABLE MEMBER FOR MELBOURNE: LETTER",13
14,Mr MACKELLAR,"I refer the Minister for Foreign Affairs to a newspaper report last week concerning a letter said to have been sent by a 'Leading Victorian Left-winger, Mr Gerry Hand' to all his Caucus colleagues. I quote from the newspaper report of that letter which states: 'The US . . . is practising its normal policy of isolating and undermining a country whose policies attitudes it finds unacceptable. The ASEAN nations supporting their own reactionary positions which keep workers in oppression, poverty and fear.' Will the Foreign Minister now publicly dissociate himself and his Government from those sentiments?",13
15,Mr HAYDEN,"My administration does not include the administration of the affairs or behaviour of the honourable member for Gerry Hand, for want of a better description. I might say I am somewhat grateful about that. Nor do theresponsibilities of the honourable member for Warringah, as Opposition spokesman for foreign affairs, include responsibility for the behaviour of the honourable member for Denison. The honourable member for Warringah is even more pleased about that. The great attributes that the honourable member for Denison brings to bear in this House are a mouth in perpetual motion and a mind with a permanent vacancy sign outside. I suggest to the honourable member for Warringah that if he wants further details on the intent, purpose or inclinations of my good friend and colleague-what is his seat?",14
16,Mr HAWKE ,Melbourne.,14
17,Mr HAYDEN,"Really, I am preoccupied in running the affairs of the world and I cannot keep up with these mundane matters. I suggest the honourable member for Warringah discuss it with the honourable member for Melbourne.",14
18,Mr HOLLIS,Is the Minister for Foreign Affairs aware of reports that violence has once more erupted in Sri Lanka and that in the last week of March a number of people were killed outside Jaffna? What is the Government's attitude towards the continuing violence in Sri Lanka and towards the overall human rights situation in that country?,14
19,Mr HAYDEN,"The Government is concerned about reports of continuing inter-communal violence in Sri Lanka. On 20 March two air force personnel were killed by terrorists. On 25 March three unarmed policemen were shot dead by terrorists. On 27 March another policeman was killed by terrorists. On 28 March, in Jaffna, at least seven people-terrorists and bystanderswere killed when a gunfight occurred between air force personnel and terrorists. The Australian Government and, I believe, the Australian Parliament condemn the use of violence to further the political aims of any group in Sri Lanka or elsewhere. At least some of the recent terrorist activities seem designed to provoke reprisals and a new and round of anti-Tamil violence. I accordingly call on are all groups in Sri Lanka to eschew violence and to work together through the All Party Conference which is discussing communal problems in a search for a lasting solution to Sri Lanka's communal differences. The Government's concern about these matters has been conveyed to the Government of Sri Lanka on a number of occasions. Last year when the Sri Lankan Deputy Foreign Minister visited here I conveyed to him personally that deep feeling of concern. URANIUM MINING NA the Minister for Immigration and Ethnic Affairs. In view of his return to Cabinet can the Minister say whether he fully supports the Government decision to allow mining at the Roxby Downs uranium project in South Australia? Is it the Minister's intention to participate fully in all Cabinet discussions concerning the uranium industry?",14
20,Mr SPEAKER,"Order! I remind the Leader of the Opposition that questions to a Minister must deal with those matters that are within his administrative responsibility. NA to the Cabinet will he, in the execution of his duties as Minister for Immigration and Ethnic Affairs in sitting in the Cabinet, fully endorse all decisions of that Cabinet?",14
21,Mr WEST,"The answer, of course, to the SRI LANKA honourable member's question is yes. In answering his question I take the opportunity to place on the record my appreciation of the actions of my Caucus .colleagues, the Cabinet and the leadership. I think that the very nature of the honourable member's question implies that it is important that the portfolio of Immigration and Ethnic Affairs be represented within the Cabinet. I also add that I consider that it is important that the representation of our Party within the Cabinet be as wide as possible. DEPARTMENT OF ABORIGINAL AFFAIRS: DEPARTMENTAL HEAD",14
22,Mr BLANCHARD,"My question is addressed to the Minister for Aboriginal Affairs. In view of the recent comments made by the shadow Minister for Aboriginal Affairs concerning the appointment of Mr Charles Perkins as the departmental head of the Department of Aboriginal Affairs, can the Minister inform the House of the response to that appointment by Aboriginal community leaders?",14
23,Mr HOLDING,"Aboriginal organisations-I include the Federation of Land Councils and the National Aboriginal Conference-gave very strong support to this appointment. It has also been a matter of favourable editorial comment in journals such as the Courier-Mail in Queensland and the Northern Territory Times, which is good. I would also like to place on record my thanks to Senator Peter Baume, the previous Minister for Aboriginal Affairs, Senator Peter Rae, Senator Macklin, Senator Kilgariff and Senator Chaney, also a former Minister for Aboriginal Affairs, who, I think, spoke in the Senate with both genuineness and generosity in respect of this appointment and who, I think, showed a generosity of spirit appropriate to the occasion. My only regret is that the same generosity of spirit did not prevail in this House. COCOS (KEELING) ISLANDS NA tories and Local Government explain why, at this time of alleged government financial stringency, up to 48 officials are now on their way to the Cocos (Keeling) Islands for the Islands' act of self-determination under United Nations supervision? That is, as I understand it, approximately one official for every six of the Islands' inhabitants.",15
24,Mr UREN,"I cannot verify the number but a Boeing 707 aircraft is going there. It will have on board a United Nations mission and a United Nations secretariat as well as members of the Australian bureaucracy and nine Press people. The Cocos (Keeling) Islands decision is an important historical decision, not only for the indigenous people of Cocos but also for the Australian people. It is strange that it took so long for a government to get the agreement of the Cocos Malay people to give effect to that decision of self-determination. The record of the former Government, for instance, in allowing Clunies-Ross to dominate the economy and the peopie of the Cocos Islands for so long is an utter disgrace. It was only in later years that the former Minister for Home Affairs bit the bullet-I give him credit for that-and was prepared to recommend to the Government that the Clunies-Ross land be purchased. But the Minister could not get the support of the Cabinet of the day. It was only when our Government took over the administration that we got the agreement of the Cocos Malay people to make a decision on self-determination. It was only then that we were able to get this decision from the Cocos people. I think that all my colleagues believe that this is an historic decision. There is always a tendency for bureaucracies to take over. Mr Ruddock-Yes, Minister.",15
25,Mr UREN,"I know there are some jackals. The shadow Minister for Territories and Local Government said: 'Yes, Minister'. The facts are that I have been a Minister on two occasions and I have been able at least to control my administration. Opposition members-Ha, hal",15
26,Mr UREN,"Honourable members opposite can laugh their heads off if they like. I know that some people consider this a joke, but the secretariat and the delegation of the United Nations Visiting Mission had to go to the Cocos (Keeling) Islands and any aircraft other than a Boeing 707 would be inadequate because on the return trip several members of the Cocos (Keeling) Islands Council will return with the United Nations Mission. I would agree that where there are vacant seats it is logical that some bureaucrats go in those places. I support the decision that was made. That the Press was under-represented was a fair criticism on the part of the Press and therefore the Press delegation was lifted from six to nine. I fully support that decision. But I am saying quite clearly that a 707 aircraft was necessary, that other aircraft were not adequate and that members of the Cocos (Keeling) Islands Council will return on that plane with the United Nations Mission. I believe this is an important decision. BROADCASTING: LOCALISM POLICY",15
27,Mr CUNNINGHAM,Can the Minister for Communications provide the House with details of the review of the localism policy in Australian broadcasting?,15
28,Mr DUFFY,"I thank the honourable member for his question. The policy of localism was designed to encourage development of local programming, local ownership or control of local stations, and local advertising. But the concept of localism has not been formally reviewed at any stage of its development. Having regard to the decisions which have been taken on broadcasting, particularly decisions related to Aussat Pty Ltd and the satellite, it was decided that there should be a review of the concept of localism. On 23 December last year I announced that the Department would conduct a review of the policy of localism in Australian radio and television. The review is examining the extent to which localism should be maintained, and in what form, in the continuing development of the Australian broadcasting system. While localism is of most significance to commercial stations, the review is also examining' its relevance in respect of other broadcasters such as public radio stations. The view has been undertaken by Mr James Oswin, who is a senior officer in the Department of Communications, and is expected to be completed by the middle of this year. PRIME MINISTER: VISIT TO ASIA",15
29,Mr HUNT,"Will the Prime Minister make a detailed statement to the Parliament this week on any achievements he believes he may have made during his Asian trip? In such a statement will he advise Parliament what action, if any, has been taken to implement the sound principles of his Osaka statement on industry restructuring? Will the Prime Minister explain why Mr Nakasone appears to have broken undertakings given to him that the Australian beef industry would not be disadvantaged by the United States-Japan trade negotiations? Will he outline what progress has been made to implement his integrated steel deal with China and provide the details of the Australia-China steel plan?",16
30,Mr HAWKE,"I cannot make a promise about making a statement to the Parliament later this week, although I will give consideration to it. The achievements of the visit, as has been universally acknowledged in the Press, were considerable. I will certainly give consideration to discussing with the Leader of the House whether, in our very busy schedule, there is time to include such an important statement. In the meantime, I can give some brief references to some of the particular matters raised in the question asked by the Deputy Leader of the National Party of Australia. In respect of industry restructuring, I can inform the Deputy Leader of the National Party that at my suggestion the Cabinet has established a Cabinet sub-committee under the chairmanship of Senator Button, the Minister for Industry and Commerce. That sub-committee will consist of the Ministers having responsibility for the portfolios of Trade, Education and Youth Affairs, Employment and Industrial Relations, and Defence Support, to consider together-Mr Barry Jones-Science and Technology.",16
31,Mr HAWKE,"I knew that I had overlooked one, but that it would come to me. If I were to overlook one, there is no doubt who would remind me of it, and that is the Minister for Science and Technology. I assure the Minister that no slight was intended.",16
32,Mr HODGMAN ,This is a hatchet gang.,16
33,Mr HAWKE,"No, not a hatchet gang. This is a collection of Ministers who have relevant portfolio responsibility, to address themselves to that re- wide range of interrelated considerations necessary for this country to bring about the restructuring of industry, which will lead to significant economic growth and the type of economy which will give the greatest opportunity for employment in the years to come. That has been done, and this approach of the Government in regard to industry restructuring has received the unanimous support of the Economic Planning Advisory Council and the Australian Council of Trade Unions. The Deputy Leader of the National Party asked also about what progress had been made in regard to the integrated steel developments in China and Australia. Very considerable advances have been made in that regard. An Australian working party will go to China in the near future. The Minister for Metallurgical Industry in China, Mr Li, will visit Australia in May. Mr Newman- Mr Speaker, I take a point of order. The Prime Minister has been going for five minutes. Would you ask him to say something?",16
34,Mr SPEAKER,Order! There is no point of order.,16
35,Mr HAWKE,"It is scintillating, is it not? It is devastating. The other particular matter addressed by the Deputy Leader of the National Party was the question of exports of beef to Japan. I am surprised at this coming from that source. I do not think that the question of relations between Australia and Japan in general and of our trading relationship in particular is assisted by a responsible member of this Parliament making accusations against the Prime Minister of Japan. It may be that those on that side of the House believe that negotiations between our two countries on an important issue like this are assisted by accusations of that kind being made in this place. If that is the sort of approach that the Opposition wishes to follow and it receives the endorsement of the Leader of the Opposition, so be it. It will not be the approach of this Government. What we are constructively doing is holding discussions at the level of the Ambassador of Japan in this country and at the official level and all those discussions are directed to trying to ensure that the beef producers of this country get the best possible deal that can be achieved. That will not be helped by accusations made in this Parliament against the Prime Minister of Japan. CANBERRA AND THE AUSTRALIAN CAPITAL TERRITORY: HOUSING",16
36,Mr FRY,Is the Minister for Territories and Local Government aware that the Opposition spokesperson on the Australian Capital Territory has stated that the Minister is responsible for ating the severe housing crisis in Canberra?,17
37,Mr UREN,"I heard the honourable member on an Australian Broadcasting Corporation program this morning, and I might say that his torted views of the housing situation in Canberra are very sad. First of all, we inherited a very serious social problem here in Canberra. The previous Government, between 1976 and the time when we took over the administration, failed to develop any serviced land, failed to develop any public housing and failed to construct any office accommodation. When the Labor Government was struck down in 1975 those opposite inherited 7,500 serviced blocks of land as a land bank in Canberra. Because Labor in the preceding three years had developed over 3,000 public dwellings, 18 per cent of all housing in Canberra at that time was public housing. The figure now is only 13 per cent. We inherited only a few hundred serviced blocks of land in Canberra. What we have had to do is stimulate the supply of serviced housing land by 3,000 blocks-500 blocks in the first year-and to develop the construction industry to get the building of office accommodation under way, because all those things are interrelated. We are aware in respect of office accommodation, particularly in the case of Havelock House, that departments are taking over areas in which low cost housing is normally involved. This is the serious social problem we inherited but we have set down priorities for land servicing, for public housing and for office accommodation to help to rebuild not only the Australian economy but also and particularly the Canberra economy. Because of the policies that this Government has carried out the Canberra economy is coming out of the economic decline faster than any other region in Australia. CABINET DOCUMENTS",17
