Speaker,Text,pageNumbers
NA,"Wednesday, 18 June 2014",15
NA,"The SPEAKER (Hon. Bronwyn Bishop) took the chair at 9:00, made an",15
NA,acknowledgement of country and read prayers.,15
NA,MINISTERIAL STATEMENTS,15
NA,World Trade Organization Agreement on Trade Facilitation,15
Mr ROBB ,Goldstein-Minister for Trade and Investment) (09:01): by leave-It is with,15
NA,pleasure that I table the World Trade Organization Agreement on Trade Facilitation and,15
NA,accompanying national interest analysis for parliament's consideration. The agreement on,15
NA,trade facilitation was concluded by the 159 members of the WTO at the Ninth Ministerial,15
NA,"Conference on 7 December 2013 in Bali. As with all proposed treaties, the parliament's Joint",15
NA,"Standing Committee on Treaties will now review the agreement and, in due course, provide",15
NA,its report.,15
NA,This agreement is designed to deliver practical measures to strengthen global trade and,15
NA,"economic growth. At its heart, this agreement is about cutting red tape. It is about removing",15
NA,the regulatory and procedural burdens that our traders face when conducting international,15
NA,trade.,15
NA,As the agreement targets regulatory barriers and border bottlenecks often overlooked in,15
NA,"international trade negotiations, the benefits to Australia will be significant. With its focus on",15
NA,harmonising and streamlining global customs procedures the agreement will markedly reduce,15
NA,the length of time and the number of documents it takes Australian exporters to get their,15
NA,"goods across borders. By requiring more transparent and predictable regulations, the",15
NA,"agreement will also assist Australian businesses, large and small, in making international",15
NA,business decisions.,15
NA,"For Australian exporters, implementation of the agreement will mean marked",15
NA,improvements in the manner in which their goods are treated in offshore markets. In fact it,15
NA,has been estimated that full implementation of the agreement could reduce the costs of trading,15
NA,"across borders by up to 10 per cent for Australian traders. For example, provisions on advance",15
NA,rulings will mean that Australian traders will be able to obtain precise and binding rulings on,15
NA,the tariff classification their good will receive upon arrival at a foreign border. This will help,15
NA,"Australia's smaller exporters in particular, who will know how their goods will be treated by",15
NA,an overseas customs authority before sending them off on the long voyage from Australia.,15
NA,"The agreement also mandates the quick release of perishable goods, which will reduce the",15
NA,number of Australian agricultural exports left to rot while waiting for clearance in foreign,15
NA,ports. Provisions allowing for the submission of import documentation prior to the physical,15
NA,"arrival of goods, and for the clearance of goods prior to the final determination of duties and",15
NA,"charges, will speed up the process of getting Australian goods to market. This will reduce",15
NA,business costs for Australian exporters and make their goods more affordable to overseas,15
NA,consumers.,15
NA,Small Australian exporters will also benefit from new requirements to publish relevant,15
NA,procedures and forms for importing goods on the internet. This simple but highly valuable,15
NA,NA,15
NA,commitment from WTO members will make it much easier for our SMEs to navigate customs,16
NA,procedures and launch themselves into new export markets.,16
NA,"The agreement complements our efforts in development assistance, and will deliver",16
NA,substantial benefits to our developing country partners. The full implementation of the,16
NA,agreement by developing countries will boost their economic growth and create millions of,16
NA,"jobs. Globally, the agreement will provide a major boost for jobs and growth, and it has been",16
NA,estimated that this agreement could add up to US$1 trillion to the world economy and create,16
NA,21 million jobs. We stand ready to assist developing countries to implement the agreement,16
NA,and to undertake the necessary reforms to facilitate trade. We are already providing assistance,16
NA,"of this nature, including to our Pacific Island neighbours. More recently, and in partnership",16
NA,"with the World Bank, we have committed to support global efforts to help developing country",16
NA,partners undertake trade facilitation reform.,16
NA,"As the first major agreement concluded since the establishment of the WTO in 1995, the",16
NA,Agreement on Trade Facilitation is a significant milestone. It shows that the multilateral,16
NA,trading system is continuing to deliver outcomes with significant benefits and global reach.,16
NA,Australia remains committed to advancing WTO negotiations to bring the Doha Round to a,16
NA,close. We are currently working with WTO Director-General Azevedo and other members to,16
NA,"develop a productive and forward looking post-Bali work plan, which will deliver economic",16
NA,growth and jobs for Australia.,16
NA,In just over a month I will chair the second G20 trade ministers meeting. One of the aims,16
NA,of the meeting will be for G20 member countries to identify actions to improve the efficiency,16
NA,"of trade flows within global value chains-that array of activities involved in creating,",16
NA,producing and delivering a product that stretch across countries and regions. Income from,16
NA,global value chain trade flows doubled between 1995 and 2009. I will be strongly,16
NA,encouraging my G20 colleagues to agree to implementation of the Agreement on Trade,16
NA,Facilitation quickly as an effective action towards harnessing the power of the global,16
NA,"economy, boosting trade and creating jobs.",16
NA,This government is committed to a trade agenda that increases the prosperity of,16
NA,Australians. Negotiating outcomes like the Agreement on Trade Facilitation will substantially,16
NA,"reduce trade barriers and minimise red tape, making a significant contribution to Australia's",16
NA,economic future. Australia's acceptance of this agreement will further build on the,16
NA,government's recent accomplishments in concluding free trade agreements with Korea and,16
NA,"Japan. We expect that upon the agreement's entry into force, we will see substantial benefits",16
NA,beginning to flow for Australian exporters from reduced red-tape at the borders of our key,16
NA,trading partners.,16
NA,"This is an agreement that took a long time to negotiate, and I commend the achievement of",16
NA,officials from various agencies led by the Department of Foreign Affairs and Trade. I,16
NA,"commend this agreement to parliament, and hereby table the WTO Agreement on Trade",16
NA,Facilitation with its national interest analysis.,16
NA,I ask leave of the House to move a motion to enable the Deputy Leader of the Opposition,16
NA,to speak for six minutes.,16
NA,Leave granted.,16
Mr ROBB, I move:,16
NA,NA,16
NA,That so much of the standing orders be suspended as would prevent the Deputy Leader of the,17
NA,Opposition speaking in reply to the ministerial statement for a period not exceeding six minutes.,17
NA,Question agreed to.,17
Ms PLIBERSEK ,Sydney-Deputy Leader of the Opposition) (09:08): Labor welcomes,17
NA,the finalisation of the World Trade Organisation Agreement on Trade Facilitation. We believe,17
NA,the trade is critical to Australia's future prosperity. Trade provides new markets and new,17
NA,"opportunities for our exporters. It boosts economic growth, it improves competition and it",17
NA,gives our consumers access to a wider range of goods at lower prices. This agreement builds,17
NA,on the work undertaken by the previous Labor government and our commitment to,17
NA,progressing the World Trade Organisation's Doha Round negotiations. We particularly,17
NA,welcome this agreement as the first major agreement concluded since the establishment of the,17
NA,WTO in 1995.,17
NA,This Agreement on Trade Facilitation will assist in removing red tape and other regulatory,17
NA,"and procedural burdens. It will streamline approvals and transactions for exporters,",17
NA,dismantling some of those barriers that exist behind a country's borders that can be hidden,17
NA,impediments for business. Estimates have previously suggested that this WTO Trade,17
NA,Facilitation Agreement will account for 44 per cent of the total prospective benefits of the,17
NA,"Doha Round, with two-thirds of these benefits accruing to developing countries.",17
NA,The benefits of this agreement to developing countries cannot be underestimated. Trade,17
NA,facilitation reform will boost economic growth and assist in the creation of millions of jobs,17
NA,for our developing country partners. Some of the important reforms contained in this,17
NA,"agreement will benefit our exporters, and they include, as the minister said, the harmonisation",17
NA,and streamlining of global customs procedures. This will assist exporters by reducing the,17
NA,"number of documents needed to be filled out to move their goods across borders. Also, very",17
NA,"importantly, the release of perishable goods will be welcomed by Australian exporters, who",17
NA,often face costly delays on agricultural exports while awaiting clearance on foreign wharves.,17
NA,"The minister noted that this is an agreement that took a long time to negotiate, and he",17
NA,congratulated the officials of the department. I add my congratulations to those officials. I,17
NA,"note with disappointment, though, the minister's failure to acknowledge the efforts of previous",17
NA,ministers who laid the groundwork required to deliver this outcome at the WTO's Bali,17
NA,"ministerial conference last December. In particular, Labor would place on record the",17
NA,important contribution made by the former Prime Minister Julia Gillard and former trade,17
NA,minister Craig Emerson set separate to the finalisation of this agreement. It was Craig,17
NA,Emerson's articulation of new pathways to the Doha mountain top which saw WTO members,17
NA,agree to divide up the Doha Round into separate negotiations. Prime Minister Gillard,17
NA,spearheaded this approach through the 2011 meetings of the Commonwealth Heads of,17
NA,"Government, the Asia-Pacific Economic Cooperation forum, the G20 and the East Asia",17
NA,"Summit. The principle was eventually adopted by America, China and the World Trade",17
NA,Organization. It played an important role in reviving the momentum needed to bring this,17
NA,agreement on trade liberalisation to completion.,17
NA,"Labor would also like to acknowledge, as I said earlier, the efforts of officials of the",17
NA,Department of Foreign Affairs and Trade in concluding this agreement. It would have been a,17
NA,"long haul for them, and we appreciate their efforts. We welcome the finalisation of this",17
NA,agreement and will review the treaty through the joint committee process over coming weeks.,17
NA,NA,17
NA,BILLS,18
NA,Social Services and Other Legislation Amendment (2014 Budget Measures No.,18
NA,1) Bill 2014,18
NA,First Reading,18
NA,Bill and explanatory memorandum presented by Mr Andrews.,18
NA,Bill read a first time.,18
NA,Second Reading,18
Mr ANDREWS ,Menzies-Minister for Social Services) (09:13): I move:,18
NA,That this bill be now read a second time.,18
NA,This bill introduces a package of measures from the 2014 budget in the Social Services,18
NA,portfolio.,18
