Speaker,Text,pageNumbers
NA,?§oii8e of Eepresentatibes.,13
NA,"Friday, IJ July, 1906.",13
NA,Mr SPEAKER took the chair at 10.30,13
NA,"a.m., and read prayers.",13
NA,IMPERIAL DEFENCE COMMIT-,13
NA,TEE'S RECOMMENDATIONS.,13
NA,"Mr .KELLY-I n view, of the fact that",13
NA,the Government itself asked the advice of,13
NA,the Imperial Defence Committee on the,13
NA,question ofAustralian defences-(1 ) Will,13
NA,the Government inform the House as soon,13
NA,as a decision is come to if it is its intention,13
NA,not to follow the advice it has itself sought,13
NA,on the larger questions involved? (2) I f,13
NA,the Government decides not to follow the,13
NA,"Imperial Defence Committee's .advice, will",13
NA,the Government put the House in possession,13
NA,of the Imperial Defence Committee's argu-,13
NA,ments on the question as well as that of its,13
NA,local advisers?,13
Mr DEAKIN , I have within the last,13
NA,few weeks addressed the Home authorities,13
NA,by despatch with regard to the very incon-,13
NA,venient and uncertain practice at present,13
NA,"obtaining of marking "" confidential"" cer-",13
NA,tain communications passing between them,13
NA,and ourselves. The principle followed is,13
NA,"not at all clear, though we have been at",13
NA,some pains to try to discover it. The re-,13
NA,quest preferred was for a complete scheme,13
NA,"of Australian defence, which must neces-",13
NA,sarily be discussed by Parliament.,13
NA,When Ministers have had an opportunity,13
NA,"to read the document, and it has been con-",13
NA,sidered by the Minister of Defence and his,13
NA,"advisers, I propose to inquire whether it",13
NA,is inadvisable to make public any part of,13
NA,"it. From a cursory inspection, I think that",13
NA,"there are few, if any, passages which should",13
NA,not be published. I f our views differ in,13
NA,any respect from the advice given by the,13
NA,"high authority, whose opinion we have",13
NA,"asked, it is only fair that we should",13
NA,give the reasons for the' difference. We are,13
NA,"not compelled to accept that advice, but",13
NA,we are bound to give our grounds for not,13
NA,following it. Honorable members will,13
NA,agree that the fullestinformation should be,13
NA,"put before Parliament, so long as we do not",13
NA,touch on points which may indicate weak-,13
NA,"ness in our chain of defence, or possibili-",13
NA,ties which it is not advisable to suggest.,13
