Speaker,Text,pageNumbers
NA,"Wednesday, 10th October, 1956.",12
Mr SPEAKER ,Hon. John MCLeay),12
NA,"took the chair at 2.30 p.m., and read",12
NA,prayers.,12
NA,AIRCRAFT PRODUCTION.,12
Mr CLAREY ,I s the Prime Minister,12
NA,aware of the serious position developing,12
NA,"in the aircraft industry, particularly",12
NA,establishments of the Commonwealth Airbasis,12
NA,"craft Corporation, because of the lack",12
NA,announced plans about future aircraft conabolished,12
NA,struction following the completion of,12
NA,Sabre jet programme? Will the right to,12
NA,honorable gentleman have this matter,12
NA,discussed at the defence conference which,12
NA,"commenced to-day, and will he, in contralia,",12
NA,"junction with the Ministers for Air, Supply",12
NA,"and Defence Production, receive a deputathem.",12
NA,tion of Commonwealth Aircraft Corporathat,12
NA,tion employees which will arrive in Canour,12
NA,berra to-morrow?,12
Mr MENZIES ,Th e problem of the,12
NA,aircraft construction programme is one,12
NA,which has already engaged the very close,12
NA,consideration of the Government. There,12
NA,"are many aspects of it, but the important",12
NA,ones concern overall defence policy and,12
NA,"decisions. 1, myself, would not think that",12
NA,it would be extremely useful to have a depudelighted,12
NA,"tation on one aspect of this matter, but,",12
NA,knowing the interest of the honorable memopportunity,12
NA,"ber in the whole matter, I would be",12
NA,pared to set aside what he will understand,12
NA,would be a limited amount of time topowers,12
NA,"morrow, so that he may bring his deputathe",12
NA,tion to see me. I say that because the,12
NA,"tation has already been organized, and",12
NA,"know there are certain difficulties; and,",12
NA,"the second place, I realize that the honormatters",12
NA,able member is not raising this matter,12
NA,any contentious spirit at all.,12
NA,Mr Clarey -Tha t is so.,12
NA,UNIFORM TAXATION.,12
Mr WILSON ,M y question is directed,12
NA,to the Prime Minister. In view of the,12
NA,statement of the Premier of New South,12
NA,Wales that he is now willing to join the,12
NA,Premier of Victoria in challenging the,12
NA,"uniform tax act, and in view of the fact",12
NA,"that the Premier of South Australia has tently,",12
NA,consistently asked for the return of taxing,12
NA,"powers to his State and, further, in view",12
NA,the statement of the Prime Minister,12
NA,the Treasurer that the Commonwealth is,12
NA,willing to return the taxing powers to the,12
NA,"States, will the Government now intro-",12
NA,duce legislation to repeal the uniform tax,12
NA,act in order to give the States the respon-,12
NA,sibihty of collecting the revenues that they,12
NA,spend?,12
Mr MENZIES ,Th e abolition of the,12
NA,uniform tax law is something which ought,12
NA,in the not to be undertaken except on a broad,12
NA,of agreement with the State Premiers.,12
NA,"of In other words, uniform tax cannot be",12
NA,"in one State and not in another,",12
NA,the and we must have a co-operative approach,12
NA,this matter. The simple truth is that the,12
NA,"interests of the taxpayers, of whom there",12
NA,are many hundreds of thousands in Aus-,12
NA,must be considered. We do not want,12
NA,"a multiplicity of tax laws, if we can avoid",12
NA,"We want a good, sensible system",12
NA,will work. We have repeatedly stated,12
NA,views on this matter at conferences with,12
NA,the State Premiers. I do not think that,12
NA,the attitude of any one of the Premiers,12
NA,should be over-simplified. We stand by the,12
NA,statements that I have made in the past.,12
NA,If and when the Premiers are prepared to,12
NA,agree to a return of their taxing powers on,12
NA,terms which meet the various conditions,12
NA,"that I have stated, this Government will be",12
NA,to take the necessary steps. Per-,12
NA,haps I ought to take advantage of this,12
NA,to point out to honorable mem-,12
NA,prebers that the question of policy as to,12
NA,whether there should be a return of taxing,12
NA,to the States is quite different from,12
NA,legal question-whic h is now being,12
NA,"depuapproached, I gather-a s to whether this",12
NA,I Parliament has the power to pass a uniform,12
NA,in taxation law. I want to keep those two,12
NA,in separate compartments. We can-,12
NA,in not interpret the Commonwealth Constitu-,12
NA,tion by consent. No doubt the High Court,12
