speakerGroups,Speaker,text,pageNumbers
0,NA,"House of Representatives. Friday, 88 October, 1987.",13
1,Mr SPEAKER ,"Hon. Sir Littleton Groom) took the chair at 11 a.m., and read prayers. INSURANCE PREMIUM CHARGES.",13
2,Mr COLEMAN ,"On the 8th May, 1924,1 asked the Prime Minister whether it was a fact that Australian Insurance Companies were charging excessive premiums by basing the expectation of life in Australia on English tables, and whether the Commonwealth Government would introduce an insurance law to compel life insurance companies to adapt their premiums to the actual mortality statistics of Australia. To this the Prime Minister replied that when the Royal Commission on National Insurance had completed its inquiries, the Government would consider its policy on the whole matter of iusurance. As the National Insurance Commission has now completed its inquiry, and in view of the complexities of legislation of this character, and the many allegations of roguery and malpractice in relation to the formation of "" wild-cat"" insurance companies, will the Government cause legislative action to be expedited by the appointment of a select committee to conduct exhaustive * investigations into the whole subject of ordinary insurance? Is it not a fact that the Constitution vests in the Commonwealth Parliament complete power to legislate on this subject?",13
3,Mr LATHAM ,"The Bubject of life insurance is being investigated by the Attorney-General's Department, with a view to the preparation of suitable legismay be obtained. lation. The Government does not consider it necessary that a select committee should be appointed to inquire into the matter. The Commonwealth Parliament has power to legislate with respect to insurance generally, including surance. AIR FORCE FATALITIES.",13
4,Mr BLAKELEY ,"Has the Minister representing the Minister for Defence any information to impart to the House in connection with the death of Cadet Seach who "" crashed"" yesterday when making a flight from Point Cook? In view of the high and disquieting mortality in the Commonwealth Air Force during the last six years, twelve valuable lives having been lost, will the Minister consider the advisability of altering the methods of instruction and training at Point Cook, and also cause an inquiry tc be made concerning the suitability of tlv types of machines used when these crashes have occurred?",13
5,Sir NEVILLE HOWSE ,"I regret to announce that, as the result of an accident which occurred while carrying out air investigation exercises at Healesvilk. Vietoria, at about 9 a.m. on Thursday 27 th October, Pilot Cadet Clarem,-. Charles Seach was killed. After striking the ground the machine of which he was ir. charge became ignited and was burnt. The cause of the accident is not, as yet, known. A court of inquiry has beci: convened by the Air Board to investigari the occurrence, and the members of the court left Melbourne yesterday morning to visit the scene of the accident. The Air Accident Investigation Committee is also conducting an inquirv into the fatality. Cadet Seach was a pupil undergoing instruction at No. 1 Flying Training School, Royai Australian Air Force, Point Cook, anvi had completed 86 hours flying, 42 hours of which were dual, and 44 hours solo. He had flown 22 hours in a machine cl the type in which the accident occurred. He was 24 years of age, was educated at the Sydney High School, and commenced his flying instruction at Point Cook on 2nd May last. I shall be glad if the honourable member will place the seconj portion of his question on the notice paper, so that the desired information CANBERRA. PBOHIBITION REGULATIONS.",13
6,Mr COOK ,"As the question. "" Shal"" life inCanberra be wet or dry,"" is at present receiving considerable attention, will the Minister for Home and Territories say whether it is a fact that eight barrels of-beer arrived at the Canberra railway station on Wednesday morning last, consigned to a person residing at Eastlake? If that is so, what steps the honourable gentleman propose to take to enforce the prohibition regulations present applicable to the Federal Capital Territory ?",13
7,Mr MARR ,"The only beer which I know to be sold in the Federal Capital Territory, is ginger beer. If the honmission orable member will supply me with am particulars as to the introduction of alcoholic liquor for sale, I shall action against, tbose concerned is taken immediately. PRIME MINISTER. RETIREMENT FROM PUBLIC LIFE .",14
8,Mr FENTON ,"A rumour is afloat that the Prime Minister is about to retire from public life in Australia. Will the Treasurer state whether there any truth in the hint contained in daily newspaper published in the Comdiscussing monwealth to the effect that it originated with him ? Question not answered. CANBERRA. RAILWA Y TERMINUS. NA increase of' population and the building activity taking place in Ainslie, will Minister for Works and Railways give consideration to the advisability of tending the present railway terminus the direction of that centre?",14
9,Mr HILL ,"It is intended to introOn duce a bill for the purpose of taking over the existing line. I understand after the line is taken over, arrangements will probably be made for its extension, and for the location of a permanent aborigines station, possibly in the vicinity of Ainsgines lie. ' MARRIAGE AND DIVORCE LAWS.",14
