speakerGroups,Speaker,text,pageNumbers
0,NA,"House of Representatives. Tuesday, 31 May, 1938.",12
1,Mr SPEAKER ,"Hon. G. J. Bell) took the chair at 3 p.m., and read prayers. COUNT V ON LUCKNER. LECTURE ISKING ' S HALL.",12
2,Mr HARRISON ,"What information are you, Mr Speaker, able to give to the House regarding the statement of Captain R. Chapman, tour manager for famous artists and production agents, in Sydney yesterday, that Count von Luckner will lecture in King's Hall, Canberra, next Saturday before a select audience? Have you. sir. authorized the nse of King's Hall for the purposes of this lecture?",12
3,Mr SPEAKER ,"So far 1I have heard nothing of the matter. If I do, I shall advise the honourable member.",12
4,Mr JOHN LAWSON ,"Will you, sir, give to honourable members the assurance that consent will not be given to Count von Luckner to address a meeting in King's Hall until Parliament has first been consulted concerning the proposal?",12
5,Mr SPEAKER ,King' s Hall will not be used for the purpose indicated unless I am first consulted. BANKI NG AND PETROL. DISCUSSION OF COMMISSIONS' REPORTS.,12
6,Mr HOLLOWAY ,"Will the Treasurer inform honourable members as to whether they will have an opportunity, before the termination of this period of the session, to discuss the reports of the Monetary and Banking Commission and the Petrol Commission?",12
7,Mr CASEY ,"I am unable, offhand, to give an assurance to the honourable gentleman, but I shall direct the attention of the Prime Minister to bis request. There mav be an opportunity for the discussion of the report of the Royal Commission on Monetary ancl Banking Systems, if the Government is able to bring down any part of it.3 legislation in connection with banking during the present sittings of the Parliament. AIR POETS IX MELBOURNE. .",12
8,Mr HOLT ,"Will the Minister for Defence state whether it is a fact that yesterday he discussed with the Premier of Victoria the subject of air ports in Melbourne? If so, is he able to furnish any information as to the result of that discussion ?",12
9,Mr THORBY ,"I had a conference with the Premier of Victoria relating to air ports in Melbourne. We discussed the necessity for making provision for the future, aud it was agreed that the matter should be referred back to the experts of the Department of Defence, with a view to securing their advice on the advisability of improving Essendon in order to meet the future requirements of Melbourne, of making other areas available, or of holding other areas in reserve. The Fishermen's Bend site was mentioned during the course of the discussion, and its claims will be very carefully considered. NATIONAL HEALTH AND PENSIONS INSURANCE BILL .",12
10,Mr BAKER ,"The Treasurer is reported to have stated that he had obtained advice from the highest legal authorities in Australia in favour of the constitutional validity of the provisions of the National Health and Pensions Insurance Bill. Will the honourable gentleman give to the House the names of the legal authorities who thus advised him, and also state the particular terms in which the advice was couched?",12
11,Mr CASEY ,"I think you will agree, Mr Speaker, that a question of this sort may best be dealt with during the debate on the National Health and Pensions Insurance Bill. MILK SUPPLY IN . FEDERA L CAPITA L TERRITORY.",12
12,Mr SHEEHAN ,"In view of evidence which was submitted in a recent libel action, regarding the presence of impurities in the milk supply of the Federal Capital Territory, will the Acting Minister for Health outline the present position and state what steps his department has taken to assure the public that it is receiving the best possible supply? Air. ARCHIE CAMERON - A final decision in the matter of the milk supply of Canberra has not yet been made. I am not interested in what either party said concerning the other in the recent libel action. PATROL BOAT LARRAKIA. INCIDENTWITH JAPANESE LUGGEK.",12
