Speaker,Text,pageNumbers
NA,"Tuesday, 30 March 1971",14
Mr SPEAKER , H o n . Sir Willia m Aston),14
NA,"took thc chair at 2.30 p.m., and read",14
NA,prayers.,14
NA,Division of Murray-Retur n to Writ,14
Mr SPEAKER , I have received a return,14
NA,to the writ which I issued on 15th February,14
NA,f o r the election of a member to serve f o r the,14
NA,electoral division of Murray in the State,14
NA,of Victoria to fill the vacancy caused by the,14
NA,resignation of the Right Honourable Sir,14
NA,John MCEwen. By the endorsement on the,14
NA,writ it is certified that Edward Bruce Lloyd,14
NA,has been elected.,14
NA,New Member Sworn,14
NA,Mr Edward Bruce Lloyd was introduced,14
NA,and made and subscribed the oath of,14
NA,allegiance as member f o r the division of,14
NA,"Murray , Victoria.",14
Mr WHITTORN , I present the follow-,14
NA,ing petition:,14
NA,To the honourable The Speaker and Members of,14
NA,the House of Representatives in Parliament assem-,14
NA,bled. The humble petition of the residents of the,14
NA,State of Victoria respectfully sheweth:,14
NA,1. The red kangaroo and many other mar-,14
NA,"supials, through shooting for commercial",14
NA,"purposes, have been reduced to a numerical",14
NA,level where their survival is in jeopardy.,14
NA,2. None of the Australian States have sufficient,14
NA,wardens to detect and apprehend people,14
NA,"breaking the laws in existence in each State,",14
NA,and in such a vast country only uniform,14
NA,laws and a complete cessation of com-,14
NA,mercialisation can ensure the survival of our,14
NA,national emblem.,14
NA,3. It is an indisputable fact that no natural,14
NA,resource can withstand hunting on such a,14
NA,"' concentrated scale, unless some provision is",14
NA,made for its future.,14
NA,"We, your petitioners, therefore humbly pray that:",14
NA,The export of all kangaroo products be banned,14
NA,immediately and the Commonwealth Government,14
NA,make a serious appraisal of its responsibility in the,14
NA,matter to ensure the survival of tbe kangaroo.,14
NA,"And, your petitioners, as in duty bound will ever",14
NA,pray.,14
NA,Petition received and read.,14
NA,11804/71-R-[43 ],14
NA,Kangaroos,14
Mr FOX, I present the following,14
NA,petition:,14
NA,To the Honourable the Speaker and Members of,14
NA,the House of Representatives in Parliament,14
NA,assembled. The humble petition of residents of,14
NA,the State of Victoria respectfully sheweth:,14
NA,ELECTORAL That because of uncontrolled shooting for,14
NA,"commercial purposes, the population of kangaroos,",14
