speakerGroups,Speaker,text,pageNumbers
0,NA,"House of Representatives. with Wednesday, 14 September, 1988.",10
1,Mr SPEAKER ,"Hon. 6. H. Mackay) took the chair at 3 p.m., and read prayers. CONVERSION OF OVERSEAS INDEBTEDNESS.",10
2,Mr SCULLIN ,"I ask the Prime Minister whether there is any authority for the cable message published in morning's newspaper that the GovernSouth ment does not intend to convert at an early date Australian loans bearing interest at more than S per cent., other than the New South Wales loan, £13,000,000 which will fall due on. the 1st November?",10
3,Mr LYONS ,"There is n« authority for the published statement. The immediate necessity before the Governmeut is the conversion of the New South Wales loan which will mature on the 1st November, but the conversion of other overseas indebtedness is under the constant consideration of the Government. Only by putting our house in order and maintaining our credit abroad can we hope for any improvement in the rate of interest on the overseas debt. We must be ready to convert the balance of the debt when the opportunity offers. INVALID AND OLD-AGE PENSIONS.",10
4,Mr NAIRN ,"The Government has intimated that the bill to amend the Invalid and Old-age Pensions Act will provide for, among other things, making the property of a pensioner subject after his death to a charge for the pension drawn during his lifetime. I ask the Prime Minister whether this provision will be retrospective, and whether, when both husband and wife are pensioners, the enforcement of the charge will be suspended until after the death of the survivor?",10
5,Mr LYONS ,"I hope to introduce the amending bill at an early date, when full details will be given to the House. Mean-, while the points raised by the honourable member are receiving consideration. UNEMPLOYMENT LOAN.",10
6,Dr EARLE PAGE ,"In connection the loan for unemployment relief that was raised last year, was provision made for a sinking fund which would amortize the loan in a brief period similar to the provision attaching to the loan for the payment of the wheat bounty?",10
7,Mr LYONS ,I shall get the information for the honourable member. FEDERAL CAPITAL TERRITORY. CHARGE FOR ELECTRICITY.,10
8,Mr BLAKELEY ,"Havin g regard to this the reduction of the charges in New Wales for both gas and electricity, will the Minister for the Interior ask the Government of that State to reduce the rate charged for electric current supplied of to the Federal Capital Territory?",10
9,Mr ARCHDALE PARKHILL ,The suggestion will receive consideration. COMMUNISM.,10
10,Mr LANE ,"In view of the legal obstacles to dealing with communist organizations, will the Attorney-General consider the need for declaring all. such bodies throughout Australia unlawful associations?",11
11,Mr LATHAM ,"The r e is no legal vision by which the Government or the Governor General may declare an organization to be an unlawful association. The law does, however, provide for the prosecution of persons for certain activities in connection with alleged unlawful associations, but evidence must be produced in accordance with the law to satisfy the court that such associations are unlawful. There is a further provision for application to the High Court for a declaration that a particular association is unlawful, and I shall consider the advisability of utilizing it . PRICE OF SUGAR",11
12,Mr BEASLEY ,I nsk the Prime M in ister whether the published report regarding an impending alteration of the Sugar Agreerneut is accurate?,11
