Speaker,Text,pageNumbers
NA,"Tuesday, 22 April 1980",14
Mr SPEAKER ,Rt Hon. Sir Billy Snedden),14
NA,"took the chair at 2.15 p.m., and read prayers.",14
NA,The Clerk-Petition s have been lodged for,14
NA,presentation as follows and copies will be re-,14
NA,ferred to the appropriate Ministers:,14
NA,To the Honourable Speaker and Members ofthe House of,14
NA,Representatives in Parliament assembled. The petition of,14
NA,the undersigned citizens of Australia respectfully showeth:,14
NA,That there is an urgent need to ensure that the living stan-,14
NA,"dard of pensioners will not decline, as indeed the present",14
NA,level or cash benefits in real,14
NA,ment beyond indexation related to the movement of the,14
NA,Consumer Price Index. By this and other means your pet-,14
NA,itioners urge that action to be taken to:,14
NA,1. Adjust all pensions and benefits quarterly to the Con-,14
NA,"sumer Price Index, including the "" fixed "" 70's rate.",14
NA,2. Raise all pensions and benefits to at least 30 per cent of,14
NA,the Average Weekly Earnings.,14
NA,3. Taxation relief for pensioners and others on low in-,14
NA,comes by:,14
NA,(a) The present static threshold of $75 per week for,14
NA,taxation purposes be increased to $ 100 per week.,14
NA,(b) A substantial reduction in indirect taxation on,14
NA,consumer goods.,14
NA,And your petitioners as in duty bound will ever pray.,14
NA,"by Mr Dobie, Mr Fisher, Mr Charles Jones,",14
NA,"MACKenzie, Mr Leo MCLeay, Mr Morris and",14
NA,Mr Street.,14
NA,Petitions received.,14
NA,Aboriginal Land Rights,14
NA,To the Honourable the Speaker and Members of the House,14
NA,of Representatives in Parliament assembled.,14
NA,The humble petition of the undersigned citizens of,14
NA,Australia respectfully showeth that:,14
NA,Whereas before Europeans settled in Australia the Abor-,14
NA,iginal peoples of Australia had lived on their traditional,14
NA,lands from time immemorial and had in Aboriginal law and,14
NA,customs a clear title to those lands; and,14
NA,whereas Europeans and other non-Aboriginal people,14
NA,have occupied and used most of the traditional lands of the,14
NA,Aboriginal peoples against their will and without nego-,14
NA,"tiation, compensation or treaty; and",14
NA,whereas it has been the practice of nations established in,14
NA,territories previously occupied by indigenous inhabitants to,14
NA,reach a negotiated settlement with those inhabitants; and,14
NA,whereas that occupation has seriously damaged the tradi-,14
NA,tional way oflife of Aboriginal Australians and has caused,14
NA,poverty and hardship to be the fate of the great majority of,14
NA,their surviving descendants; and,14
NA,whereas the surviving descendants of the Aboriginal,14
NA,peoples have expressed a wish to have their rights to land,14
NA,"acknowledged, to preserve their link with their Aboriginal",14
NA,ancestors and to maintain their distinctive identity with its,14
NA,own cultural heritage; and,14
NA,whereas the people of Australia in 1967 voted overwhelm-,14
NA,ingly that the Commonwealth Parliament should have re-,14
NA,sponsibility for laws relating to Aboriginal Australians; and,14
NA,whereas it is accepted internationally by the United,14
NA,Nations organisation that each country should work to,14
NA,establish the rights of indigenous peoples to self-,14
NA,"determination, non-discrimination and the enjoyment of",14
NA,PETITIONS their own culture; and,14
NA,whereas the Woodward Commission in 1974 established,14
NA,principles by which Aboriginal rights to land should be,14
NA,acknowledged and realised; and,14
NA,whereas the Senate of the Commonwealth Parliament in,14
NA,Pensions February 1975resolvedthat Aboriginal Australians should,14
NA,be compensated for the loss of their traditional lands and for,14
NA,the damage to their way oflife; and,14
NA,whereas the Nauonal Aboriginal Conference unani-,14
NA,mously resolved in April 1979 in Canberra to ask the Com-,14
NA,monwealth to negotiate a Treaty with Aboriginal,14
NA,Australians.,14
NA,terms requires upward adjust-,14
NA,Your petitioners therefore humbly pray that the Common-,14
NA,wealth Government should invite the Aboriginal people of,14
NA,Australia to negotiate a Treaty with the Commonwealth of,14
NA,"Australia, and any Treaty should contain provisions relating",14
NA,to the following matters: (i) The protection of Aboriginal,14
NA,"identity, languages, law and culture, (ii) The recognition and",14
NA,"restoration of rights to land by applying, throughout",14
NA,"Australia, the recommendations of the Woodward Com-",14
NA,"mission, (iii) The condiuons governing mining and exploi-",14
NA,"tation of other natural resources on Aboriginal land, (iv)",14
NA,Compensation to Aboriginal Australians for the loss of tradi-,14
NA,tional lands and for damage to those lands and to their tradi-,14
NA,"tional way of life, (v) The right of Aboriginal Australians to",14
NA,control their own affairs and to establish their own associ-,14
NA,ations for this purpose.,14
NA,"And your petiuoners as in duty bound will ever pray,",14
NA,"Mr by Mr Holding, Mr James and Mr Kerin.",14
NA,Petitions received.,14
NA,Unemployment: Social Security Benefits,14
NA,To the Honourable Speaker and Members of the House of,14
NA,Representatives in Parliament assembled. The petition of,14
NA,the undersigned citizens of Australia respectfully showeth:,14
NA,That as it is clear that unemployment is a long term prob-,14
NA,"lem in Australia, the Government should extend to the un-",14
NA,employed the same assistance as is given to any other disad-,14
NA,vantaged member of the community. There is an urgent,14
NA,need to alleviate the financial hardship and emotional stress,14
NA,that the unemployed are suffering.,14
NA,Your petitioners therefore pray:,14
NA,(1) That the Government adopt positive policies to re-,14
NA,duce unemployment.,14
NA,(2) That the basic Unemployment Benefit be raised to at,14
NA,least the level of the poverty line as calculated by Pro-,14
NA,fessor Henderson.,14
NA,(3) In line with other Social Service additional income,14
NA,"awards, and in order to encourage work creation",14
NA,schemes and the fostering of initiative and self re-,14
NA,"spect, that the $6.00 per week additional income limit",14
NA,be raised to at least $20.00 per week.,14
NA,(4) That the financial penalties above the earning of,14
NA,"$20.00 per week, assessed on a monthly basis, be cal-",14
NA,culated at the same rate as other Social Security,14
NA,benefits.,14
NA,(5) That the Commonwealth grant subsidies to state,14
NA,governments so that the unemployed can be granted,14
NA,transport concessions in order that they are not,14
NA,penalised in job seeking.,14
NA,(6) That pharmaceutical and medical concessions be,15
NA,granted to the unemployed equivalent to those,15
NA,received by other Social Service beneficiaries.,15
NA,"And your petitioners as in duty bound will ever pray,",15
NA,by Mr James and Mr Kerin.,15
NA,Petitions received.,15
NA,To the Honourable the Speaker and Members of the House,15
NA,of Representatives in Parliament assembled.,15
NA,The humble petition ofthe undersigned citizens of Australia,15
NA,in the electorate of Richmond respectfully showeth:,15
NA,That we the undersigned wish to protest against the use of,15
NA,"2,4-D and 2,4,5-T as herbicides and ask the Council of Lis-",15
NA,more to ban their use until the Australian Government re-,15
NA,leases its findings from its inquiry into these herbicides.,15
NA,"And your petitioners as in duty bound will ever pray,",15
NA,by Mr Anthony.,15
