speakerGroups,Speaker,text,pageNumbers
0,NA,"JQousr of iirprcBentatitorft. Wednesday, 17 December, 1913. Mr SPEAKER took the chair at 11 a.m., and read prayers, TEMPORA RY EMPLOYES .",12
1,Mr THOMAS ,"On Tuesday, 2nd December, on behalf of the Public Service Commissioner, the Assistant M in ister of Home Affairs stated that tha Public Service Act prevents temporary employee's from receiving higher pay than is given to permanent officials who are doing the same work; and on Tuesday, 16th December, the Prime Minister, on behalf of the Public Service Commissioner, made a statement to the effect that the rates paid to temporary employees are governed by two factors, the ruling rate of pay fixed by a Wages Board or other industrial authority being given, even though it be higher than the rate of pay received by permanent officials doing the same work. These two answers are seemingly contradictory, and I therefore ask the Prime Minister to call upon the Public Service Commissioner to explain the position, and if the reply of the 2nd December is incorrect, to withdraw it? Mr JOSE PH COOK - I see no inconsistency. The reply given by my honourable colleague is quite correct. The law debar3 temporary employee's from receiving more than is paid to permanent employees who are doing the same' work. The second reply was, in effect, that in spite of the law, temporary employees are being paid the rates fixed by Wages Boards or other industrial authorities when these are higher than the rates paid to permanent employees.",12
2,Mr THOMAS ,"Do I understand that if a trade unionist in the temporary employment of the Commonwealth is paid' the trade union rate of wages, and that happens to be higher than the wages received by a permanent employ! doing similar work, the law is being broken ?",12
3,Mr JOSEPH COOK ,I ask the honourable member to read the section of the Act for himself. ELECTOR AL ENROLMENT.,12
4,Mr KING OMALLEY ,"I am in formed that several persons at Stanley, in the Darwin division, have been heavily fined for failing to enrol, solicitors having been employed in the cases. I am told, too, that those who have been fined are poor people. I ask the Assistant M i nister of Home Affairs if it would not be possible to issue the instruction that on the first charge the fine should be a small amount ?",12
5,Mr KELLY ,"I understand ..that the first of cases of this kind, being test cases, necessarily involve the obtaining of legal advice, but the fine need not be a large one. It is the intention of the Department, after the first cases have been dealt with, to leave it to the returning officers to conduct their own business, and thus obviate legal expenditure. FITZROY DOCK.",12
6,Mr HOWE ,"On page 35 of the report of the Committee appointed to in quire into the partial suspension of some operatives at the Fitzroy Dock, it is stated by Captain Clarkson that he prevented the purchase of 200 lbs. of tungsten for certain purposes. Is the Minister prepared to lay on the table the correspondence between Captain Cutler and his officers in connection with the suspension of that order ?",13
7,Mr KELLY ,- I shall submit the question to the Minister of Defence. PERSONAL EXPLANATION.,13
8,Mr FENTON ,"In the Age of yesterday the following statement appearsMr Fenton suggested that in order to popularize the ios. bank note, the Federal officers should be paid with them. According to the Hansard report, this is what I said I should like to ask why members of monwealth Service are not paid their salaries in Federal notes. It would be an admirable means of increasing the note circulation. The Age report attributes to me a foolish 'suggestion. I do not know how the mistake arose; it may be due to subediting, but these mistakes are much too frequent. SMALL - P OX OUTBREAK.",13
9,Mr GROOM ,"The honourable member for Gwydir recently asked the following questionIs the Minister of Trade and Customs that recently a doctor and a nurse have alleged to be suffering from quarantine area, although they are reported as vaccinated ? In view of .this fact, and, therefore, of the futility of vaccination, will the posedMinister now endeavour to remove the embargo on the people of Sydney? I promised to have inquiries made, and today received the following reportOne doctor and four nurse.s have been treatment at the Quarantine Station for smallpox since the beginning of the epidemic. These were all admitted on either the i6th or 17th of July, and came from the Royal Prince Alfred Hospital, in Sydney. Not any one of these had been vaccinated in infancy, and any one of fhem had been vaccinated prior to the date of - infection; all were vaccinated ing the period of incubation, at a stage it was too late to prevent the development the disease. No evidence can be obtained of any medical man or nurse suffering from smallmatters. pox who was not treated at the station [164] BUSINESS OF THE SESSION.",13
10,Mr FISHER ,This is a convenient occasion for the Prime Minister to make a statement regarding the business with which the session is to conclude. Private members have a good many notices on the paper. I wish to deal in some way with the Bills providing for constitutional alterations. Will the Prime Minister say what business he intends to go on with ?,13
11,Mr JOSEPH COOK ,"The Leader of the Opposition is giving rather a large order at this period of the session. We wish to deal with the business on the notice-paper, and that current between the two Houses. I am disappointed that the Senate went home last night.",13
12,Mr THOMAS ,All the Ministerial supporters except the three paid Ministers were away. Mr JOSE PH COOK - What has that to do with the question? It all depends upon how the business current between the Com- the two Chambers is disposed of. The honourable member would do better to address his question to the Senate.,13
13,Mr FISHER ,"What nonsense! I am speaking of the business of this House, and not of the Senate.",13
14,Mr JOSEPH COOK ,The business of this House is also the business of the Senate. DEFENCE LANDS PURCHASE BILL. Mr SPEAK ER reported the receipt of a message from His Excellency the Goveraware nor-General recommending that an apbeen propriation be made for the purposes of small-pox in the this Bill . Motio n (by Sir JOHN FOBBEST) proThat the message be taken into consideration at a later hour this day.,13
15,Mr FISHER ,Wide Bay) [11.13] I do not think the Prinie Minister should under refrain from making a statement.,13
16,Mr JOSEPH COOK ,"I have made two attempts, and you will not let me do so.",13
17,Mr FISHER ,"That is not correct. I did not intervene beyond giving the h o n -' not orable member a lead. The Prime M in durister owes it to the House not to be petuwhen lant at a time like this. There are proof per ways of dealing with all these Supply Will the Prime Minister say what business he intends to go on with as Government business, and when we may have private members' business brought on?",13
18,Mr JOSEPH COOK ,"ParramattaPrime Minister and Minister of Home Affairs) [11.14] - I am disappointed at the progress made in another place. I thought we should be able to conclude the business today, and get away without any trouble, but owing to the delay there we are not able to do it. The business remaining to be done here is the Oommittee of Public Accounts Bill, the Old-age Pensions Bill if we can manage it, a Bill to rectify the trouble in the Public Service in connection with the transfer of the lighthouse officers, and another measure made necessary by the elimination of the item of £300,000 from the Loan Bill for the purchase of land for defence purposes. That is the matter now before the Chair. ""We must have a further appropriation of revenue or hang the works up. I cannot say what we shall do about private members' business until I know what they are doing in another place.",14
19,Mr FISHER ,Canno t we go on with private members' business while waiting for the other? Mr. JOSEPH COOK: - Immediatel y there is an opportunity I shall not be averse to going on with private business. Question resolved in the affirmative. PUBLIC DEBTS BILL .,14
20,Sir JOHN FORREST ,"Swan-Trea surer) [11.15] - I move That Order of the Day No. 7, Public Debts Bill , be discharged. I take this course because there is no time to deal with the measure, and a difficulty which I did not anticipate has arisen in regard to the States. The States require to be consulted. I thought we had had enough consultation, but I find that we have not. We propose to have a conference as soon as we can with the State Ministers, so as to leave them no reason to think that we desire to force this matter upon the country without conferring again with them. A Bill has been prepared by myself and the Treasury officials. Everything is ready, so far as I am concerned, but in deference the desire of the State Governments, in view also of the fact that there is time to deal with such an important matter this session, I am prepared to withdraw it.",14
21,Mr FISHER ,"Wide Bay) [11.17],Can .the right honourable gentleman say, before the close of the session, what the proposals are which are to be discussed between the Government and the State Governments? That is a fair question to ask. If the Commonwealth Government are going into a conference with the States on an important subject like the State debts, the questions to be discussed should not be regarded as private, because this is not a party or political matter. If the Government have made up their minds as to the policy they intend to pursue, they should be perfectly frank with the country, and so should the States, because there cannot be a satisfactory remedy of this anomaly unless the people are taken into the confidence of their leaders.",14
22,Sir JOHN FORREST ,"SwanTreasurer) [11.18] - I at first intended to introduce a measure and place on record the views of the Government, but when I found the States wished to have a conference, I thought it far better not to make a statement until the conference had taken place. I do n'ot think anything would be gained by doing it . Perhaps a good deal of controversy would take place in the press and elsewhere on matters upon which we might be often inclined to change our opinions. We are not prepared, at present, to make a statement, and will not be prepared to do so until after the conference. Question resolved in the affirmative. ATLANTIC CBE.",14
23,Mr THOMAS ,^-Has the Postmaster General taken any steps to bring before the Imperial authorities the desire of the present Government for the. nationalization of the Atlantic cable? The Prime Minister promised to do what he could in that way.,14
24,Mr AGAR WYNNE ,No .,14
25,Mr JOSEPH COOK ,It is possible that the whole proposal may be modified by wireless arrangements. BEEF TRUST.,14
26,Mr SHARPE ,"Has the Minister of to Trade and Customs seen an interview and which a newspaper in Queensland had no with Sir George Reid regarding the Beef Trust now established in Australia, and is it the intention of the Government to take immediate action in connection with the trust? Different State Governments have prevented these people establishing themselves in their respective States. Seeing that the Queensland Government are not likely, however, to take any action, and that the Commonwealth Government have ,power to deal with these people, I should like to know whether it is their intention to take immediate action to prevent the operations of the trust in Australia at the present time ?",14
27,Mr GROOM ,"I cannot say that I have seen the particular interview to which the honourable member refers, but I read the opinion expressed by Sir George Reid in an interview published in this city. I have also had the privi lege of a conference with the High Commissioner. The matter of the trust is receiving very serious consideration, and the combined attention of the Department of Trade and Customs and the Department of the Attorney-General. B UREAU OF AGRICULTUREBILL . this Bill has been deferred pending",15
28,Mr HIGGS ,"In view of the fact that a great deal of the work which it is proposed shall be done by the Federal Bureau of Agriculture is already being carried out by the State Departments, does the Minister of Trade and Customs propose to move that the Bureau of Agriculture Bill be discharged from the business paper, with a view to having the'whole question submitted to the conference of State Premiers which the Treasurer proposes to hold ?",15
29,Mr GROOM ,The honourable member's question is based upon inaccurate information. It is not proposed that the Bureau of Agriculture shall duplicate work now oarried on by the State Departments. The proposal is that it shall undertake a large area of scientific research which at present the States cannot adequately take in hand. PANAMA EXPOSITION.,15
30,- Mr RILEY ,"H as the Minister of External Affairs received an invitation from the United States Government with regard to the Parliament of the Commonwealth being represented at the opening of the Panama Canal, or at the Panama Exposition, and, if so, what arrangements does he propose to make ? [164]- 2",15
31,Mr GLYNN ,"I have not received any invitation for members of Parliament, but within the last few days I have had a renewal of the invitation extended to the Commonwealth to be represented at the Exposition.",15
32,Mr RILEY ,What form does the in vitation take ?,15
33,Mr GLYNN ,"The invitation is that the Commonwealth will take part in the Exposition by sending exhibits, acting either alone or in conjunction with the States. The matter is being considered. ELECTORAL BILL : ROYA L COMMISSION.",15
34,Mr TUDOR ,"As one Order of the Day has already been discharged, I wish to ask the Prime Minister whether he proposes to move that Order of the Day No. 6, which relates to the further consideration of the Electoral Bill, shall be discharged from the business-paper. The Prime Minister announced recently that it was intended to appoint a Royal Commission to inquire into the administration of the Electoral Act, and I understand that the further consideration of that inquiry. Has the Prime Minister any information to give to the House as to whether the Commission is to be appointed, and as to its personnel.",15
35,Mr JOSEPH COOK ,"I hope that we shall be able to appoint the Commission. Meantime, I see no necessity for going through the formula of moving the discharge of the Orders of the Day which the Treasurer has thought f it to adopt. I have no doubt that Orders of the Day will be discharged in good time. KALGOORLIE TO PORT AUGUST A RAILWAY. CONTBACTS FOR THE SUPPLY OF SLEEPERS, TRUCKS AND LOCOMOTIVES.",15
36,Mr MCWILLIAMS ,I desire to ask the Minister of Home Affairs whether the Western Australian Government is carrying out its contract for the supply of sleepers to the Commonwealth?,15
37,Mr JOSEPH COOK ,"It is not. It says, practically, that it is unable to supply the sleepers within the time allotted under the contract.",15
38,Mr RILEY ,A r e the works being held up?,15
39,Mr JOSEPH COOK ,What have we to do with the works?,15
40,Mr RILEY ,"Have the works been layed ? Mr JOSE PH COOK - We are buyers of sleepers from the Western' Australian Government, and that Government is unable to deliver these sleepers on time. It does not appear that we are going to get them for some considerable time.",16
41,Mr KING OMALLEY ,"Is not the Minister of Home Affairs aware that the delay is due, not to any fault on the part of the Government of Western Australia, but to the heavy rains?",16
42,Mr SPEAKER ,The honourable member is not i u order in asking a further question arising out of an answer given by a Minister to a previous question.,16
43,Mr MCWILLIAMS ,"I wish to put to the Minister of Home Affairs a further question on the same subject, but not arising out of the question I have just put. The question is, whether it is a fact that the Western Australian Government had a period of thirteen months within which to supply sleepers before",16
44,Mr SPEAKER ,Order ! I am a f r a i d the honourable member's question is not in order.,16
45,Mr RILEY ,"Will the Minister of Home Affairs state whether it is a fact that a contract was entered into with the Clyde Engineering Company for the manufacture and supply of a certain number of trucks with a view to facilitating the construction of the transcontinental railway; that the trucks were not supplied within the time fixed by the contract, and that an extension of that contract has been allowed ?",16
46,Mr JOSEPH COOK ,"I should think that that is a reason for trying to insist upon the proper observance of contracts, and not an excuse for any delay.",16
47,Mr KING OMALLEY ,"I wish to ask the Prime Minister whether, in considering the question of cancelling the contract for the supply of sleepers which the Western Australian Government entered into with the Commonwealth, he will have regard to the fact that the whole of the transcontinental railway is depending upon the railways of Western Australia; and, further, whether it would not be wise for him to consider the question of transportation before he takes such action ?",16
48,Mr JOSEPH COOK ,The honourable member may rely upon the Government degiving the Government of Western Australia justice in regard to this matter. We shall not act unreasonably.,16
49,Mr TUDOR ,"I desire to ask the Assistant Minister of Home Affairs whether the tenders for the construction of locomotives for the transcontinental railway, which closed about three weeks, ago, have yet been dealt with, and whether any Australian firm is likely to obtain any of the work?",16
50,Mr KELLY ,"I very much regret to say that no Australian firm tendered in the second competition. I hope to invite tenders shortly for further supplies, which may induce Australian tenderers to come forward. THE PRIME MINISTER AND THE LABOUR PARTY.",16
51,Mr HIGGS ,"In view of the Prime Minister's statement that he cannot understand the action taken by the Treasurer in moving that certain Bills be discharged from the business-paper, I desire to ask the right honourable gentleman what he thinks of the statement made by the honourable member for Gippsland that the Prime Minister is the only Minister willing and able to fight the Labour party ?",16
52,Mr SPEAKER ,"Order ! I would remind the honourable member that it is not in keeping with the reputation of honourable members, or the dignity of the House, that such a question should either be asked or answered. SOUTHBRISBANE POST OFFICE .",16
53,Mr SHARPE ,"Will the Postmaster General state whether it is the intention of his Department' to proceed with the erection of a new post-office at South Brisbane; and if , when the building is erected, he proposes to establish there a second telephone exchange ?",16
54,Mr AGAR WYNNE ,"I think that the South Brisbane Post Office is rather close to the principal telephone exchange; but I shall have inquiries made as to whether it is absolutely necessary that a second exchange should be established there. PINECREEK TO KATHERINE ' RIVER RAILWA Y BILL. Bill returned from the Senate, with amendments. Ordered That the message be taken into consideration at a later hour, this day. MINISTERS laid upon the table the following papers: Fapua - Annua l Report for the year 1912^3. Ordered to be printed. Rules Publication Act - Regulations-Statutory Rules 1913) No. 315. Northern Territory - Ordinanc e of 1913-No . 8-Marriag e .Validating. Patents Act - Regulation s Amended-Statu tory Rules 1913, No. 310. RAILWAY WORKS: PROHIBITION OF LIQUORS .",16
55,Mr FINLAYSON ,"the Minister service of External Affairs, upon notice I. Whether the Minister is aware that the of intoxicating liquors is prohibited within miles of railway construction works in Queensland, wilh great advantage to the workers? 2. Whether the Minister will adopt a provision in connection with the construction of the Pine Creek to Katherine River railway?",17
56,Mr GLYNN ,"The answers to the was passed in 1901-2. honourable member's questions are as follow :1. I was not aware of the facts, but accept the - honourable member's statement in regard thereto. 2. The adoption of such a provision must depend upon the existence and extent of any evils that may become manifest. I am not at present aware of any circumstances that would call for such steps as would involve the suspension or cancellation of existing licences. PUBLIC SERVICE Motion (by Mr. JOSEPH COOK) agreed toThat leave be given to bring in a BilJ for an Act to amend the provisions of the Commonwealth Public Service Act 1902-1911 in relation to eligibility for appointment to the Public Service of the Commonwealth by reason of State service. Bill presented. Motion (by Mr. JOSEPH posedThat this Bill be now read a first time.",17
57,Mr THOMAS ,Barrier) [11.32] - I understand that this Bill goes further than to merely provide for those persons now employed in th© lighthouses.,17
58,Mr JOSEPH COOK ,The Bill anybody in the State services.,17
59,Mr MCWILLIAMS ,It is opening door to the State services.,17
60,Mr THOMAS ,The Bill goes a great' deal further than was foreshadowed when it was mentioned yesterday. Prime Minister then said that the Bill was intended to merely take over those now engaged in the lighthouses.,17
61,Mr JOSEPH COOK ,Thos e persons supply the occasion for the introduction of the Bill .,17
62,Mr THOMAS ,"I take it that the Bill does not mean that we must take persons over, but simply gives us the opportunity to do so ?",17
63,Mr JOSEPH COOK ,Yes .,17
64,Mr TUDOR ,"Yarra) [11.33] - I have no objection to the Bill , but I am anxious that as much freedom should be given to persons to enter the Commonwealth service as is now given to enter the State service. The conditions of the Commonwealth are more difficult ; and I agree that the door ought to be opened, and the saleway made easier to enter, say, the General five Division. Apparently this Bill will give a right which the people immediately similar concerned would otherwise not have, seeing that they may have entered the State service since our Public Service Bill Question resolved in the affirmative, Bill read a first time. Motion (by Mr. JOSEPH COOK) agreed toThat the second reading be made an Order of the Day for a later hour this day. COMMITTEE OF PUBLIC ACCOUNTS BILL (No. 2). BILL. In Committee (Consideration resumed from 16th December, vide page 4507). Clause 1 (Short title). Mr W . H . IRVINE (FlindersAttorney-General) [11.36] - I explained in outline last evening the necessity for bringing in a Bill if we desired to accede generally to the desire of the Senate t q have a Joint Standing Committee. I should like to add - to what I then said, COOK) prothat this Bill differs from the Bill that was withdrawn, not merely in regard to the constitution of the Committee, and in authorizing a new Joint Committee to . be formed, but in expressly providing the main functions of the Committee. Clause 3 is as followsincludes The duties of the Committee shall be(a) to examine the accounts of the receipts the and expenditure of the Commonwealth, and to bring under the notice of both Houses of the Parliament any items in those accounts or any circumstance connected with them to The which they think that attention should be directed; (i) to report to both Houses of the Parliament any alteration which the Committee think desirable in the form of the public accounts of the method of keeping them, or in the mode of receipt control issue or payment of the public money. In passing, I may say that this last - duty will include the power of making suggestions in regard to practically everything that comes under the Auditor General's Department.",17
65,Mr FENTON ,Contracts ?,18
