Speaker,Text,pageNumbers
NA,"Wednesday, 16 April 1969",12
Mr SPEAKER ,Hon. W. J. Aston) took,12
NA,"the chair at 2.33 p.m., and read prayers.",12
NA,PETITIONS,12
NA,National Service,12
NA,Mr BENSON presented a petition from,12
NA,certain citizens of the Commonwealth show-,12
NA,ing that the National Service Act 1968 is,12
NA,unduly harsh in that it (i) makes provision,12
NA,for the use of conscripted young men for,12
NA,overseas service; (ii) makes no allowance for,12
NA,conscientious objection to a particular war;,12
NA,(iii) provides an unduly harsh penalty of 2,12
NA,years gaol for those young men whose con-,12
NA,science compels them not to comply with,12
NA,the Act.,12
NA,The petitioners pray that the House of,12
NA,Representatives in Parliament assembled,12
NA,should respond to our plea for the early,12
NA,"repeal of the Act, and the immediate release",12
NA,of any young men who are now in prison,12
NA,as a result of their conscientious refusal to,12
NA,comply with the Act.,12
NA,- Petition received and read.,12
NA,Education,12
NA,Mr HANSEN presented a petition,12
NA,from certain citizens of Australia showing,12
NA,that there is a crisis in education in Aus-,12
NA,tralia; that a transformation of the class-,12
NA,"room situation is necessary, where children",12
NA,will have reasonable freedom to develop as,12
NA,"self-reliant, independent individuals and",12
NA,where they can learn to function as,12
NA,members of a democratic community;,12
NA,that proper preparation for school and,12
NA,thorough guidance there by qualified,12
NA,teachers are crucial to a proper education,12
NA,for Australia's children; that the present,12
NA,rate of teacher training is far below,12
NA,the requirement determined by the Martin,12
NA,Report which shows that 75% additional,12
NA,teachers in government schools alone will be,12
NA,required by 1975 compared with those in,12
NA,service in 1963; that to obtain maximum,12
NA,benefit from the education system pre-,12
NA,school facilities should be available to all,12
NA,children; that insufficient State or Federal,12
NA,assistance has been made available to meet,12
NA,these requirements; that adequatefinanceto,12
NA,meet these requirements can only be pro-,12
NA,vided by the Commonwealth Government;,12
NA,that there is an urgent need for a national,12
NA,inquiry into all aspects of Australian,12
NA,education.,12
NA,The petitioners pray that the House of,12
NA,Representatives in Parliament assembled will,12
NA,"give earnest consideration, during Human",12
NA,"Rights Year, to this most vital matter.",12
NA,Petition received and read.,12
NA,Education,12
NA,Mr HULME presented a petition,12
NA,from certain citizens of Australia showing,12
NA,that there is a crisis in education in Aus-,12
NA,tralia; that a transformation of the class-,12
NA,"room situation is necessary, where children",12
NA,will have reasonable freedom to develop as,12
NA,"self-reliant, independent individuals and",12
NA,where they can learn to function as,12
NA,members of a democratic community;,12
NA,that proper preparation for school and,12
NA,thorough guidance there by qualified,12
NA,teachers are crucial to a proper education,12
NA,for Australia's children; that the present,12
NA,rate of teacher training is far below,12
NA,the requirement determined by the Martin,12
NA,Report which shows that 75% additional,12
NA,teachers in government schools alone will be,12
NA,required by 1.975 compared with those in,12
NA,service in 1963; that to obtain maximum,12
NA,benefit from the education system pre-,12
NA,school facilities should be available to all,12
NA,children; that insufficient State or Federal,12
NA,assistance has been made available to meet,12
NA,these requirements; that adequate finance to,12
NA,meet these requirements can only be pro-,12
NA,vided by the Commonwealth Government;,12
NA,that there is an urgent need for a national,12
