Speaker,Text,pageNumbers
NA,"Monday, 29 November 2004",17
NA,-----,17
The SPEAKER , Mr David Hawker),17
NA,took the chair at 12.30 p.m. and read prayers.,17
NA,MEMBER SWORN,17
NA,Ms Sophie Panopoulos made and sub-,17
NA,scribed the oath of allegiance.,17
NA,GOVERNOR-GENERAL'S SPEECH,17
NA,Address-in-Reply,17
NA,"Debate resumed from 18 November, on",17
NA,motion by Mrs Markus:,17
NA,That the address be agreed to.,17
Mr JULL ,Fadden) (12.32 p.m.)-The,17
NA,"Governor-General, in his speech to the",17
NA,"House, made particular reference to the gov-",17
NA,ernment's initiatives in terms of overseas,17
NA,trade. I would like to inform the House of,17
NA,importance of that in my electorate of,17
NA,"Fadden. As I have mentioned previously, the",17
NA,seat of Fadden encompasses the Gold Coast.,17
NA,While the Gold Coast continues to be a,17
NA,"foremost tourist destination, and tourism and",17
NA,"hospitality are the chief money earners, I",17
NA,wonder if there is a realisation within the,17
NA,federal bureaucracy that the income gener-,17
NA,ated by the tourism industry may not last for,17
NA,very much longer. The reality is that the,17
NA,Gold Coast is becoming very much a focal,17
NA,point for export industries for Australia.,17
NA,I would like to mention to the House just,17
NA,some of the things that are happening. For,17
NA,"example, the film industry which is based at",17
NA,Oxenford is now creating films for world-,17
NA,wide distribution. It is not only Australian,17
NA,productions which are being made; a number,17
NA,of American productions are also being,17
NA,made. The flow-on affect of that is tremen-,17
NA,dous. There are editing houses and specialty,17
NA,audio suites which have been established as,17
NA,well as specialty legal firms which deal in,17
NA,patents and copyright in association with,17
NA,particular industry. While the industry has,17
NA,had a bit of a down time in the past 12,17
NA,"months, the forward projections on produc-",17
NA,tions look absolutely tremendous.,17
NA,There has also been the advent of the Gold,17
NA,"Coast Marina, which is now a major luxury",17
NA,"shipbuilder. Last year, the income generated",17
NA,from that through exports was in the vicinity,17
NA,of $250 million. Estimates are that this year,17
NA,"it could be as high as $400 million, with",17
NA,principal markets being places like Fort,17
NA,Lauderdale in the United States. A new in-,17
NA,"dustrial estate has been established at Yatala,",17
NA,in the northern area of the Gold Coast. Along,17
NA,"with our Austrade people, I have been under-",17
NA,taking some visits to a number of the manu-,17
NA,facturers there. There is a pet food company,17
NA,there-a $50 million business-that has now,17
NA,gone into the export of chilled pet food,17
NA,throughout Asia. It is estimated that its in-,17
NA,"the come, particularly through these exports, is",17
NA,going to double within the next 12 months to,17
NA,two years. A smallgoods manufacturer has,17
NA,started exporting to Japan. There is only one,17
NA,"buyer, but that will amount to up to 30 ton-",17
NA,nes of specialist sausages for the Kyoto mar-,17
NA,ket from 5 January next year.,17
NA,Jewellery manufacturing has taken on,17
NA,quite an image on the Gold Coast. One par-,17
NA,"ticular manufacturer there, based at Sanctu-",17
NA,"ary Cove, is now exporting around the world.",17
NA,We have the largest producer of computer,17
NA,games in the Asia-Pacific area. It is a com-,17
NA,"pany that employs 250 people, 170 of whom",17
NA,are graduates. It supplies video games and,17
NA,computer games to all areas of the Asia-,17
NA,Pacific except Japan. It is no wonder that,17
NA,"something like 60,000 people employed in",17
NA,Fadden actually live in Fadden. It is no won-,17
NA,der that our unemployment rates are some of,17
NA,the lowest in Australia. The Gold Coast is,17
NA,virtually becoming a focal point for high-,17
NA,tech international manufacturing. As we have,17
NA,"seen in recent times, we have got to a stage",17
NA,that now where we have actually had to import,17
NA,"labour from South Australia, from the old",17
NA,"Mitsubishi plant, to meet some of the re-",18
NA,quirements.,18
NA,"In fact, throughout the electorate we are",18
NA,finding that one of the greatest difficulties,18
NA,that we have is getting skilled labour. In that,18
NA,"respect, the announcement of a technical",18
NA,college that will be built and operated by the,18
NA,Commonwealth to meet those specific needs,18
NA,"is especially welcome. The Gold Coast is, as",18
NA,"I said, very much a focal point for this. What",18
NA,we have seen is a spin-off into our educa-,18
NA,tional institutions. After the recent redistriburequired,18
NA,"tion, I have inherited the Gold Coast campus",18
NA,of Griffith University from my colleague the,18
NA,member for Moncrieff. To give you an ex-,18
NA,"ample of what happens there, a whole new",18
NA,music division has been established specifi-,18
NA,cally to meet the digital music requirements,18
NA,of the movie production houses. That is a,18
NA,"huge business, with five sound stages now",18
NA,based at Griffith University all going flat-out,18
NA,producing graduates who have the opportu-,18
NA,nity to go into areas such as the film industry,18
NA,and the video games industry with digital,18
NA,"music, which is really quite unlike anything",18
NA,"that we have seen before. Quite proudly,",18
NA,Griffith University boasts of the fact that,18
NA,something like four of its graduates have,18
NA,been picked up by Hollywood already be-,18
NA,cause of the standard of student that it is,18
NA,ducing there.,18
NA,"As I said, we must have realised within",18
NA,the government that the Gold Coast is no,18
NA,longer just froth and bubble. It is not just an,18
NA,area that caters for tourism; it is very much,18
NA,becoming the specialist manufacturing heart,18
NA,of Australia. With the expansion of Brisbane,18
NA,"airport, we have a major requirement now",18
NA,for specialist aviation engineering people.,18
NA,While a lot of that training is being done in a,18
NA,"new school that has been established, with",18
NA,"government help, at Brisbane airport, all the",18
NA,Queensland universities are very much in-,18
NA,volved now in producing graduates who will,18
NA,have the capacity to go for the highly techni-,18
NA,cal jobs that will come with the advent of the,18
NA,new Qantas 767 maintenance base. There is,18
NA,also talk of a joint facility being set up be-,18
NA,tween Qantas and Singapore Airlines for the,18
NA,maintenance and work involved with the,18
NA,new A380 aircraft.,18
NA,So there are exciting times on the Gold,18
NA,Coast. Employment levels are very high. The,18
NA,demand for labour is immense. While we,18
NA,"speak of technical areas, we have only to",18
NA,look at the building industry to see what is,18
NA,there. I understand from the Master,18
NA,Builders Association that at the moment,18
NA,"there are some 2,300 apprenticeships going",18
NA,within the building industry. The situation,18
NA,has become so drastic and there is such a,18
NA,requirement for qualified builders that a,18
NA,third-year apprentice in the building industry,18
NA,"at the moment, if that person is good, has the",18
NA,"capacity to draw something like $100,000 a",18
NA,"year. So the Gold Coast is, I think, probably",18
NA,the most exciting part of Australia at the,18
NA,moment. It is exciting because it is very,18
NA,"much an international city, but it is most ex-",18
NA,citing because of the tremendous contribu-,18
NA,tion it is making to the development of Aus-,18
NA,tralia.,18
