speakerGroups,Speaker,text,pageNumbers
0,NA,"J^ouse of J&eurcsaitatibes. Thursday, 8 March, 1917. The CLEEK having informed the House of the unavoidable absence of Mr . Speaker, Mr DEPUTY SPEAKER took the - chair at 2.30 p.m., and read prayers. RAIDERININDIAN OCEAN.",4
1,Mr BOYD ,"The Minister for the Navy asked me to repeat today a question that I asked yesterday. know if the Government will make a complete statement regarding the two vessels lost in the Indian Ocean, so that the public may know the exact facts, and not be misled by rumours which are gradually growing worse ?",4
2,Mr JOSEPH COOK ,"I am sorry that I have not a definite answer to the question, but I am making inquiries to ascertain if I can add anything to my statement of yesterday, and when I am able to do so, I shall let the honourable member know the result. I desire to read to the House the following statement concerning the presence of a raider in the Indian OceanThere have been rumours of danger in the Indian Ocean for some days past. To-day definite information has been received that a raider was on February 27th operating on the route between Colombo and Aden. The raider is a large cargo steamer of about 4,000 tons register, carrying guns and torpedo tubes. She also carries a seaplane. After operating for a few days on one route it is usual for a raider to disappear for a time, and then to reappear on another route, possibly in quite another part of the world. Members will thus see that a raid on Australian routes is not impossible, and is a danger against which we must take precautions. We have not, since the early days of the war, since, in fact, the day the Sydney sank the Emden, been threatened quite so directly on the trade routes in these waters. There is, of course, no reason for any panic or at present for any check on the sailing of merchant craft. The Atlantic Ocean has perhaps never during the' war been quite as safe as the Indian Ocean is now, but the raider has brought the war a little closer to our part of the world, which has, by the protection of the Britisli Navy, and of our own war-ships, so long lived in a condition of peace.",4
3,Mr BOYD ,"In view of the fact that the British Government publish daily the names and tonnage of vessels lost on the British coast through the attacks of submarines, will the Prime Minister say why the Commonwealth Government cannot publish the names of vessels lost in Australian waters, and give the public full information concerning them ? Are the British Government preventing the Commonwealth Governmeut from doing what they do themselves?",4
4,Mr HUGHES ,"I know that there is an apparent inconsistency between the action of this Government, in connection with the matter referred to, and the action of the British Government. At the same time, it must be remembered thab the responsibility of the war rests upon the I 'wish to British Government and the British A d miralty, and not upon the Commonwealth Government. The attitude I take up is that, unless and until we are permitted to make these statements public, I do not feel free to do so. I think that, on the whole, that is the right attitude for this Government) to adopt, although I admit quite candidly that in all human probability the first to know about these things is the enemy. For the honourable member's information, I may say that we have asked the British Government how far we may disclose those losses which occur in Australian. waters. GOVERNMENT MOTOR. CARS. NA asked the people of the Commonwealth to practice economy in every particular, I wish to know if it is true that a M in ister whose Department has hitherto done without a motor car is now applying for one?",4
5,Sir JOHN FORREST ,"So far as I know, no application has been made to the Treasury for money for a motor car, nor has any request come to me. WORKS COMMITTEE 'S INVESTIGA TIONS.",4
6,Mr KELLY ,"I desire to ask the Chairman of the Public Works Committee, through you, Mr Deputy Speaker, whether he will endeavour to furnish to Parliament prior to the prorogation, a statement of the cost in each case of the Public Works Committee's investigation of the following proposals:-(a ) Alterations and additions to the Customs House, Sydney; (6) automatic telephone exchange, North Sydney; (c) sewerage of the Federal Capital; (d) arsenal sites, Federal Territory; («) other matters affecting the Capital City.",4
7,Mr RILEY ,"I have seen the question that the honourable member has placed on the notice-paper. mation is being prepared, and, if desired, will be presented in the form of a ret u r n. The following papers were presented: Wool Appraisement, and Wool Selling get r i d of their produce. Centres - Memorandum, &c, re. Ordered to be printed. War Precautions Act - Regulation s amended - Statutor y Eules 1917, Nos. 41, 42, 50, hibited imports. 52,. 53. CENSORSHIP .",5
8,Mr LAIRD SMITH ,I wish to know from the Minister representing the M in ister for Defence what are the conditions f all on them. under which the censorship is exercised in Australia ?,5
9,Mr GROOM ,"The honourable member having informed me of his intention ask the question, I am prepared with the - following reply: The Censorship is an Imperial establishment, being a branch of the Imperial General Staff. The head of this branch is the Censor. War Office, London, who exercises general control over censors in all parts the world, and to whom all censors are directly responsible! The general instructions for censorship are drawn up by the Imperial Authorities, and these instructions specify the establishment, qualifications necessary, 'and the onlcers employed on such work. The aims of censorship and methods of enforcing the are also laid down by these instructions. Censorship is divided into three classes:1 and 2. Cable and Mail Censorship these branches of censorship are lated solely by instructions issued the Imperial authorities. All mation gained in the exercise of classes of censorship is forwarded direct to the Chief Censor, London. formation of local importance gained from the above sources is also conveyed to the Governmental ments concerned. 3. Press Censorship - This is regulated instructions issued by the Chief Censor, London, as to the general 1 censorship, by the provisions War Precautions Begulations, are based on the provisions contained the first of the horde. in the Imperial Defence of the Act, and by the expert advice naval and military authorities of the ; Commonwealth Government. EXPORT OF APPLES .",5
