Speaker,Text,pageNumbers
NA,"Wednesday, 26 May 1993",11
Mr SPEAKER ,Hon. Stephen Martin),11
NA,"took the chair at 10 a.m., and read prayers.",11
NA,MEMBERS SWORN,11
NA,The following honourable member made,11
NA,and subscribed the oath of allegiance:,11
NA,"Halverson, Robert George, Casey, Victoria",11
NA,GOVERNOR-GENERAL'S SPEECH,11
Mr SPEAKER,I have ascertained that,11
NA,His Excellency the Governor-General will be,11
NA,"pleased to receive the Address-in-Reply, at",11
NA,"Government House, at 5.30 this afternoon.",11
NA,The sitting will be suspended at 5 p.m. I,11
NA,should be glad if the mover of and the se-,11
NA,"conder to the motion, together with other",11
NA,"honourable members, would accompany me",11
NA,to present the address.,11
NA,ASSENT TO BILLS,11
NA,Assent to the following Bills reported:,11
NA,Broadcasting Services Amendment Bill 1993,11
NA,Broadcasting Services Amendment Bill (No.2),11
NA,1993,11
NA,COMMITTEES,11
NA,Australian Security Intelligence,11
NA,Organisation Committee,11
NA,Membership,11
Mr SPEAKER,I have received advice,11
NA,from the Prime Minister nominating members,11
NA,to be members of the parliamentary Joint,11
NA,Committee on the Australian Security Intelli-,11
NA,gence Organisation.,11
NA,Motion (by Mr Beazley)-by leave-,11
NA,agreed to:,11
NA,"That, in accordance with the provisions of",11
NA,Australian Security Intelligence Organisation,11
NA,"1979, Mr Campbell, Mr Dodd, Mr Gonnan and Mr",11
NA,B.C. Scott be appointed members of the Parliamenand,11
NA,tary Joint Committee on the Australian Security,11
NA,Intelligence Organisation.,11
NA,Membership,11
NA,", Appointment",11
Mr SPEAKER,I wish to inform the,11
NA,House that I have received notifications from,11
NA,the party Whips nominating members to be,11
NA,members of certain committees. As the list of,11
NA,"nominations is a lengthy one, I do not pro-",11
NA,pose to read the list to the House. It will be,11
NA,incorporated in Hansard and recorded in the,11
NA,Votes and Proceedings.,11
NA,STANDING COMMITTEE FOR WNG TERM,11
NA,STRATEGIES,11
NA,"Mr Adams, Mr Jones, Mr Haviland, Ms Henzell,",11
NA,"Mr O'Connor, Mr Snow and Mr Staples have been",11
NA,"nominated by the Goveirunent Whip, Mr Carlton,",11
NA,Mr Dobie and Mr Wakelin have been nominated by,11
NA,the Opposition Whip and Mr Truss has been,11
NA,nominated by the National Party Whip.,11
NA,PARLIAMENTARY JOINT COMMITTEE ON,11
NA,CORPORATIONS AND SECURITIES,11
NA,"Mr Cleeland, Mr Humphreys and Mr Tanner have",11
NA,"been nominated by the Government Whip, Mr",11
NA,Moore has been nominated by the Opposition Whip,11
NA,and Mr Sinclair has been nominated by the Nation-,11
NA,al Party Whip.,11
NA,PARLIAMENTARY JOINT COMMITTEE ON,11
NA,THE NATIONAL CRIME AUTHORITY,11
NA,NA,11
NA,"been nominated by the Government Whip, Mr",11
NA,Filing has been nominated by the Opposition Whip,11
NA,and Mr Vaile has been nominated by the National,11
NA,. Party Whip.,11
NA,JOINT STANDING COMMITTEE ON ELEC-,11
NA,TORAL MATTERS,11
NA,"Mr Melham, Mr Griffin and Mr Swan have been",11
NA,"nominated by the Government Whip, Mr Connolly",11
NA,has been nominated by the Opposition Whip and,11
NA,Mr Cobb has been nominated by the National Party,11
NA,Whip.,11
NA,JOINT STANDING COMMITTEE ON FOR-,11
NA,"EIGN AFFAIRS, DEFENCE AND TRADE",11
NA,"Dr Blewett, Mr Bevis, Mr Campbell, Mr Ferguson,",11
NA,"Mr Fitzgibbon, Mr Gibson, Mr Grace, Mr Hollis,",11
NA,NA,11
NA,Simmons have been nominated by the Government,11
NA,"the Whip, Mr Halverson, Mr Hawker, Mr Liebennan,",11
NA,"Act Mr MACKellar, Mr Moore and Mr Taylor have been",11
NA,nominated by the Opposition Whip and Mr Hicks,11
NA,Mr Sinclair have been nominated by the,11
NA,National Party Whip.,11
NA,JOINT STANDING COMMITTEE ON,11
NA,MIGRATION,11
NA,"Mr Ferguson, Mr Holding and Mr Woods have",11
NA,"been nominated by the Government Whip, Mr",11
NA,Ruddock and Mrs Sullivan have been nominated by,11
NA,the Opposition Whip and Mr Sinclair has been,11
NA,nominated by the National Party Whip.,11
NA,JOINT SELECT COMMITTEE ON CERTAIN,12
NA,FAMILY LAW ISSUES,12
NA,NA,12
NA,nominated by the Government Whip and Mr K.J.,12
NA,Andrews and Mr Williams have been nominated by,12
NA,the Opposition Whip.,12
Mr SPEAKER,I have also received,12
NA,messages from the Senate:,12
