Speaker,Text,pageNumbers
NA,House of Representatives.,12
NA,"Tuesday, 83 September, 19%.'",12
Mr SPEAKER ,&t. Htm. W. A. Watt),12
NA,"took the chair tit 3 p.m., and read prayers.",12
NA,FINANCIAL ASSISTANCE TO,12
NA,"TASMANIA,",12
NA,Order of the day for tbe consideration,12
NA,"of a motion ia the name of Mr JACKSON,",12
NA,proposing financial assistance for Tas-,12
NA,"mania, discharged from the paper.",12
NA,BANANA DISEASES INFIJI .,12
Mr CORSER , I ask. the Minister for,12
NA,"Trade and Customs i f he has seen, i n the",12
NA,"Brisbane Courier, oi the 17th September,",12
NA,"that the banana plantations i a F i j i , i t as",12
NA,"stated, are being attacked by diseases, the",12
NA,"worst of which, -tbe sigatcfca disease, IB f a r",12
NA,more serious than bunchy-top. I t is said,12
NA,"that the diseases are, i n some way, re-",12
NA,"lated to tbe noted Panama -disease, and",12
NA,tiaat the sigatoka disease is rapidly spread-,12
NA,"ing k i ""Fiji. I f so, ""wifl -the honorable",12
NA,gentleman eause the necessary -steps to be,12
NA,taken to prevent the disease basing brought,12
NA,to the Oommorrwealth ?,12
NA,NA,13
NA,"tlie report referred .to, but I :shall -have",13
NA,matter investigated f o r the information,13
NA,"the honorable member, and shall answer tiations",13
NA,his question as early .as possible.,13
NA,POLITICAL PARTIES.,13
NA,STATEMENT BY THEPKIMEMINISTEB .,13
Mr ANSTEY , I ask the Treasurer,13
NA,whether he has seen the statement made,13
NA,by the Prime Minister on Saturday that,13
NA,there is a new party i n politics which,13
NA,levies a species of .political .blackmail. Has,13
NA,tihe 'honorable gentJlemaii 'any knowledge,13
NA,of the existence of such a party ?,13
Dr EARLE PAGE ," I r,ead a report",13
NA,"of the .statement mentioned, .and",13
NA,-thought 'the reference Twas -not to any,13
NA,"party 'on 'this side -of the House, but to",13
NA,another party on the opposition .side -of,13
NA,the House.,13
NA,. PENNY POSTAGE.,13
Mr ANSTEY , N o w that the Post-,13
NA,master-General has returned f r o m his,13
NA,"trip abroad, I ask M m whether he is .in",13
NA,"favour -of penny -postage, and, i f .so,",13
NA,i t 'will be brought into force.,13
NA,Mr ' GIBSON - I am not i n favour,13
NA,penny postage. By the reduction of Jd. .in,13
NA,"postage rates, we lost £800,000 'last",13
NA,"and we should lose .another £80.0,000 by",13
NA,"a f u r t h e r reduction of i d . , ,and",13
NA,sult 'it is probable 'that many country,13
NA,mail services would suffer -is carrying,13
NA,IMPERIAL -CONP.EEEl^'CE.,13
Mr HUGHES , I -understood tbe,13
NA,".Prime Minister to say ""in reply -to a",13
NA,question ' . I asked last week .respecting,13
NA,"-a .conference to be beid i n .England,",13
NA,.about which 'tihe {Secretary of Stalte,13
NA,-for 'the Colonies has communicated w i th,13
NA,"him, that ithe 'Government i s not i n",13
NA,".favour of .such a .conference, -as Ministers",13
NA,do not know what useful purpose i t .could,13
NA,"-serve. I have since Tead in"" .the press :a",13
NA,paragraph to the effect that fhe Govern-,13
NA,ment has .expressed .an opinion .in favour,13
NA,"of the holding of the .conference, and has,",13
NA,"at some time 'or other, notified the Sec-",13
NA,retary of .Staite f o r .the Colonies o'f its,13
NA,.willingness to ibe represented should a,13
NA,conference be beid. I .ask -w-h ether,13
NA,are to take the right honorable-gentleman's,13
NA,reply to my .question .on -the .subject,13
NA,abdicating the .'final .decision of the 'Go-,13
NA,vernment i n regard to this mattex.,13
Mr BRUCE ,"Th e right .homor,able",13
NA,the gentleman has not had an opportunity ito,13
NA,of acquaint himself of the whole of ithe nego-,13
NA,"aa this n a t t e r , .and &te state-",13
NA,ments '.concerning i t that ikawe been made,13
NA,in this House. The Commonwealth 'Go-,13
NA,vernment has intimated that i t is not i n,13
NA,"favoxi-r of the proposed conference, and",13
NA,does not think that any good purpose can,13
NA,be served by holding i t . 'Subsequent to,13
NA,that intimation being conveyed to the,13
NA,"British --Government, the representation",13
NA,was made to us that other -.dominions had,13
NA,expressed their .approval of the iholding,13
NA,"of the conference, amd some two or rthree",13
NA,"weeks or even longer ago, 1 inf,oxmed the'",13
