speakerGroups,Speaker,text,pageNumbers
0,NA,"Thursday, 19 September 1974",17
1,Mr SPEAKER ,"Hon. J. F. Cope) took the chair at 10 a.m., and read prayers.",17
2,The CLERK,"Petition s have been lodged for presentation as follows and copies will be referTo red to the appropriate Ministers: Television: Pornographic Material To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled: The humble petition of the undersigned citizens of Australia respectfully showeth: That we strongly oppose the easing of restrictions on the importation, producdon in Australia, sale or distribution of pornographic material whether in films, printed matter or any other format. That any alterations to the Television Programme Standards of the Australian Broadcasting Control Board which permits the exploitation of sex or violence is unacceptable to us. Your petiuoners therefore humbly pray that the Government will take no measures to interfere with the existing Television Programme Standards or to permit easier entry into Australia, or production in Australia, of pornographic material. And your petitioners as in duty bound will ever pray. by Dr Edwards, Mr Fairbairn and Mr Luchetti. Petitions received. Universal Health Scheme To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble petition of undersigned citizens of Australia respectfully showeth: That the proposed Universal Health Scheme is essential to the well being of all Australians, in so far as it will(i) Provide that all Australians irrespective of their means will have access to a high standard of health care. (ii) Every Australian will be automatically covered for doctors' and hospital bills thus ensuring that citizens will not longer be burdened with addiuonal psychological strains because of inability to meet the high cost of medical treatment. (iii) It is committed, in principle, towards the ideal that an individual's contribution to the cost ofhealth services should be based on his or her capacity to pay-that people who derive the most financial benefit from our society should give the most for its support. (iv) It guarantees freedom of choice so that every Australian will be able to attend the doctor or hospital of his or her own choice. (v) In the long term it will take the politics out of medical care and will thereby medical profession to return to the occupation of their choice-The care of the ill and the prevention of disease. Your petitioners therefore humbly pray that the Government will hasten to introduce this much needed scheme so that health care services in Australia can begin to function equitably, efficdenUy, and economically. And your petitioners as in duty bound will ever pray, by Mr Martin, Mr Morris and Mr Reynolds. PETITIONS Petitions received. Child Endowment the Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble Petition of the undersigned citizens of Australia respectfully showeth that: Child Endowment received by families has declined relative to average earnings so that today it is about 20 per cent of its value in 1949. The Interim Report of the Australian Government's Commission Into Poverty recommended a substantial increase in Child Endowment as a way of alleviating poverty. This report pointed out that increased Child Endowment deserved priority and would be advantageous to the community in the long run. It specifically recommended increasing child endowment from SO cents to $ 1.50 for the first child; from $ 1.00 to $2.00 for the second child; from $2.00 to $4.00 for the third child; from $2.25 to $7.00 for the founh child; and to $8.00 for subsequent children. Your petitioners humbly request that the Government increase Child Endowment in the September Budget. And your petitioners as in duty bound will ever pray, by Dr Edwards. Petitions received. Aid for Sahelian Region of Africa To the Honourable the Speaker and members of the House of Representatives in Parliament assembled: The humble petition of the undersigned citizens of Australia respectfuUy showeth: That up to ten million people are said by the United Nations Secretary-General, Mr Kurt Waldheim, to face death by starvation in the Sahelian region of Africa and that as a result of this drought, many nomads are being forced to give up their traditional way of life, and That the resources of the Governments of this region are inadequate to cope with either the immediate or long term needs of these people. We your petitioners therefore humbly pray that the House urge that the Australian Government grant both immediate emergency aid to a value of at least ten million dollars and continue to assist in the long-term agricultural and social development of this region And that it take a leading part in initiatives to set up a World Food Fund and World Fertilizer Fund at the World Food Conference this November. And your petitioners as in duty bound will ever pray, allow dedicated members of the by Dr. J.F. Cairns. Petition received. To the Honourable the Speaker and members of the House of Representatives in Parhament assembled: The humble petition of the undersigned citizens of Australia respectfully showeth: Whereas according to the principles embodied in the United Nations chaner the right to self-determination belongs to every nation, big or small, the Baltic States of Estonia, Latvia and Lithuania have been deprived ofit for 30 years by the Soviet Union. Whilst all Australian Governments hitherto have not recognized the Soviet sovereignty over these States, the Prime Minister has now made a single handed decision to grant such recognition. The undersigned peutioners wish to express their concern and dismay and humbly beg that such a decision be reversed. And your petiuoners as in duty bound will ever pray, by Mr Clyde Cameron. Petiuon received. To the Honourable the Speaker and members of the House of Representatives, in Parliament assembled. The petition of the Undersigned, being citizens of Australia, respectfully showeth: That we strongly oppose The Family Law Bill, 1974, which is being introduced into our Federal ParUament by The Honourable The Attorney General, Senator Lionel Murphy, because of the absence of protection for the human ditional consitution as the basic unit, the ostensibly permanent unit ofhuman society. We oppose the Bill because of the omission of a clearly defined clause like that which is incorporated in The Universal Declaradon of Human Rights, and which declares that both men and women shall have equal rights in marriage and that Parents shall have the right to choose their children's education. We oppose the Bill which is accredited to Senator Murphy, because either of the panies to a marriage, if the Bill becomes law, will have no defence, i.e., no legal objection, to a divorce which might be desired and instituted by the other law, there is no justice, tion of the traditionally accepted standard of marriage and the Family, ticeable backward step in the civilisation of Australian people. Whilst we oppose the Bill for above mentioned reasons, we see it as expressing the views of a minority of citizens or their Representatives, instead of the views of the majority of Australians. Therefore, passing of this Bill. And your peuuoners as in duty bound will ever pray, by Mr Kevin Cairns. Petition received. To the Honourable the Speaker and members of the House of Representatives in Parhament assembled: The humble peution of the undersigned citizens of Australia respectfully showeth that the Human Rights Bill Baltic States (a) Insofar as it attempts to legislate regarding the exercise of religion and religious observances, is in contravention of Section 116 of the Constitution of the Commonwealth of Australia, (b) Will tend to deprive free Australian citizens of religious libeny and freedom of worship, and parents and guardians of the right to choose the moral and religious education of their children in that: (1) The Government could introduce regulations as to the ume, place and manner in which people may manifest their religion and beliefs. (2) The BUl excludes the recognition of the family as the natural and fundamental group unit of society, and its right to protection by society and the State, (3) The Bill does not explicitly recognise the liberty of parents, and when applicable, legal guardians, to ensure the religious and moral education of their children. Your petitioners therefore humbly pray that the House not proceed with the Human Rights Bui. And your petitioners as in duty bound will ever pray, Family Law Bill by Mr Hodges. Petition received. Television and Cinema Programs To the Honourable the Speaker and members of the House of Representatives in Parliament Assembled. The humble petition of undersigned citizens of Australia respectfully showeth:family in its natural and traThat grave concern is felt regarding the quality of television and cinema. That many of the films shown are detrimental to the healthy development of the character of the young people of our nation. That the low moral standards in many films are repulsive to many viewers. Your petitioners, therefore humbly pray, that the Government will take measures to upgrade the quality of television programmes and ban the undesirable films from our cinemas. party. In this conception of by Mr Lloyd. no humanity, and no recogniPetition received. but there is a tremendously noBaltic States To the Honourable the Speaker and members of the House of Representatives in Parliament assembled: the views of an individual, or The humble petition of the undersigned citizens of Australia respectfully showeth: we beg the rejection, and not the The undersigned petitioners wish to express their concern and dismay at the announced decision of the Prime Minister of Australia to recognize the annexation of the three Baltic States of Estonia, Latvia and Lithuania by the Soviet Union. We submit that these once free and independent States were occupied by force of arms following a secret agreement between Hitler and Stalin and that the Australian Government's recognition of such Soviet annexation Human Rights Bill amounts to approval of the said agreement and of aggression and beg the ParUament to disallow such recognition as a matter of principle. And your petitioners as in duty bound will ever pray, by Mr Young. Petition received. INDIA'S NUCLEAR TEST",17
3,Mr DRURY,"I ask the Prime Minister whether the Government has received details of the nuclear bomb explosion testing reported to have taken place in India about 3 months ago. As the success of the nuclear non-proliferation treaty depends on the effective containment nuclear testing, I ask whether Australia has any protest.",19
4,Mr WHITLAM,The Government has been immoral in touch with the Indian Government about the peaceful nuclear explosion which it conducted.,19
5,Mr ANTHONY ,What ! A peaceful one!,19
6,Mr WHITLAM,"An experimental explosion I to develop the peaceful use of nuclear energy. Needless to say the Government is disappointed that the Indian Government acted as it did. Australia is not the only government which is disappointed that India so acted. In particular, we have been in touch also with the Canadian Government and the American Government General about it I have been in personal correspondence with Mrs Gandhi about it. All I should add is that we do not believe that the long sustained effort which many nations have made to secure acceptance for the nuclear non-proliferation treaty has been in any way assisted. It may, in fact, have been set back by the Indian experiment. MAINLINE CORPORATION",19
7,Mr JACOBI,"I address my question to the people Minister representing the Attorney-General. It in relation to the Mainline Corporation. Minister aware of reports that Mr R. T. Baker, Managing Director of Mainline Corporation, has been involved with the Endurance Mining Co. which has been the subject of investigation the New South Wales Corporate Affairs Comset mission? Is it a fact that the report of the mission has been suppressed? Will the Minister request the Attorney-General to obtain a copy of the report, and will he further take steps to ensure that the report is made public?",19
8,Mr ENDERBY,"I have seen reports such as capital have been referred to by the honourable member. I tliink it would not be proper to make comment on them at this stage, but one can be concerned about the lessons that can be drawn from a situation such as was revealed by the Mainline incident. As was pointed out, I think by the Prime Minister yesterday, in a speech he made in this House, some of the greatest corporations, some of the most eminent and highly placed businessmen in AustraliaMONICA",19
9,Mr WHITLAM ,Insuranc e companies and banks.,19
