speakerGroups,Speaker,text,pageNumbers
0,NA,"1iHouse of UrpiTsrmatiuTS. Ministry Thursday, £6 June, 1903. Mr SPEAKER took the chair at 2.30 with p.m., and read prayers. PETITIONS. Mr SYDNEY SMITH presented a petition from Magnus Gold ring, agent, of Sydney, praying the House to inquire into certain ' alleged grievances in regard to the administration of the Customs Department, and to grant him redress by procuring the appointment of a nominal defendant to enable him to pursue an action against the Commonwealth Government. Mr MCCOLL presented a petition from certain residents on the northern and southern banks of the Murray, between Albury and Wentworth, praying the House to cause steps to be taken for the locking - and utilization of the waters of that river. Petitions received and read. PACIFIC ISLAND LABOURERS ACT.",12
1,Mr FISHER ,"In paragraph 6 of a communication made by Lord Tennyson, when acting Governor General, to the Secretary of State for the Colonies, dated Melbourne, 30th September, 1902, the following sentence occurs:lt seems to me important that these regulations should be drawn up and approved or by Parliament as explanatory of the Kanaka Bill before the Royal assent is given. I wish to know from the Prime Minister whether that suggestion; and the communication, generally, was despatched by the Governor General on the advice of his responsible Ministers? If the Governor General was not acting on such advice, has the Prime Minister communicated with him in such a way as will protect the rights of responsible government within the Commonwealth ?",12
2,Sir EDMUND BARTON ,"The despatch in question has not been considered by the Cabinet; but I have ascertained from the Governor General that, although it has been included among the papers laid before Parliament in England, it was confidential.",12
3,Mr FISHER ,It is not so marked.,12
4,Sir EDMUND BARTON ,"It does not ' appear to be so marked, but His Excellency assures me that that is the fact. The honourable member asked me whether the hod advised His Excellency the Governor General in this - matter. Upon that point I may say that the despatch was ' evidently written by His Excellency confidentially, in the course of his own relations the Secretary of State for the Colonies. With respect to communications of that kind it is.not the practice to consult Ministers. PRESS ACCOMMODATION.",12
5,Mr SYDNEY SMITH ,"Some days ago I brought under your notice, Mr Speaker, the fact that the press representatives from the other States were being put to considerable inconvenience owing to their having no room set apart for their use. I know that you arc anxious to do everything you can to provide facilities for those who have duties to perform in connection with our proceedings; but as three or four weeks have elapsed, and no room has been allotted to these press representatives, I should be very glad if you could see your wa)' to meet their wishes as speedily as possible.",12
6,Mr SPEAKER ,"! fully recognise the importance of providing for the press representatives a room, if possible on the same floor as this chamber, in which the}' can transcribe their notes. Several of the press representatives waited upon me at the beginning of the session with regard to this matter, and T told them that if there was any room on this side of the building that would be suitable for their purposes, they need only direct my attention to it, and I would place it at their disposal. I understand that there is no such room available, and I can, therefore, do nothing. I believe, however, that there is a probability of another room on the other side of the building, which is not under my control, being placed at their disposal shortly. ELECTORAL ROLLS.",13
7,Mr SKENE ,"the Minister for Home Affairs, upon notice Whether he has any intention of affording the Federal electors of Victoria a similar opportunity to that which he is giving the electors of New South Wales to inspect the rolls at the various post-offices throughout the State ; and, if not, does he intend by any other means whatever to attempt to correct the apparently inaccurate rolls upon which the maps forfcheredistribution of electorates in the State of Victoria are based ?",13
8,Sir EDMUND BARTON ,"The answer to the honourable member's question, supplied to me by the Minister for Home Affairs, is as follows :The franchise of New South Wales closely approximates to that of the Commonwealth, and the rolls of that State are being utilized very largely by me at a trifling expense, but the Victorian franchise diverges to such an extent from that of the Commonwealth that the rolls are of little or no service for the purposes of comparison, and ascertaining what male or female electors liave been omitted by the police in their canvass. The printing of the rolls collected by the police would involve an expenditure of £3,500, and would be in such a form (the State districts) that they could not be utilized for any other purpose in the Electoral Act subsequently. I am, however, preparing lists showing the names of electors grouped round polling places, which will be placed in the hands of the printer within few days, and as soon as printed will be exhibited at post-offices, State schools, and police offices, for the information of electors, who will thus be in a position to ascertain whether their names have been included or not. This is being done in anticipation of the Revision Court, which cannot be held until after the divisions of the State have been approved by both Houses of Parliament. FEMALE TELEPHONE OPERATORS. Mr MCDONALD, for Mr HUGHES, asked the Minister for Home Affairs, upon notice I. Whether the female telephone operators in the New South Wales General Post-office have to pass any examination before being eligible to receive the minimum wage of £110 per annum? 2. If not, whether there are any qualifications other than age and length of service iis prescribed by the Commonwealth Public Service Act?",13
9,Sir EDMUND BARTON ,"Theanswer s to the honourable and learned member's questions, supplied fco me by the Minister for Home Affairs, are as follow :1. No. 2. No other qualifications are required than length of service and age. SUPPLY (Formal). GOLDRING CASE : INCREMENTS TO VICTORIAN PUBLIC SERVANTS : GOVERNOR-GENERAL'S DESPATCH : TELEPHONE AND TELEGRAPH SERVICES : SUBLETTING MAIL CONTRACTS : DEFENCE REGULATIONS : TRANSCONTINENTAL RAILWAY : MILITARY EQUIPMENT : MINIMUM WAGE : CUSTOMS ADMINISTRATION : FREMANTLE POST OFFICE AND CUSTOMS HOUSE. Question-That Mr Speaker, do now leave the chair, and that the House resolve itself into Committee of Supply-proposed .",13
