speakerGroups,Speaker,text,pageNumbers
0,NA,"?ltouse of HrpiTScntatibrs. Friday, 29 July, 1904. Mr SPEAKER took the chair at 10.30 a.m., and read prayeis. LABOUR PARTY'S LOYALTY.",12
1,Mr KNOX ,"I wish to know from the Prime Minister if his attention has been drawn to a cablegram which appears in this morning's Argus, stating that Mr H . P. Wyatt, who recently visited Australia as an envoy of the Imperial Navy League, has declared that he has no hesitation in saying that the Labour leaders in Australia are disloyal, and are separatists. NA",12
2,Mr KNOX ,"If the attention of the Prime Minister has been drawn to the report in question, I ask him whether he believes the feelings of the members of his Ministry, or of the Labour Party in the Federal Parliament, to have been correctly represented by Mr Wyatt - If he believes that they have not been correctly represented, will he make a positive disclaimer on behalf of the Government of the Commonwealth of the opinions attributed to the Labour leaders here? NA think that the statement is true ?",12
3,Mr KNOX ,I know that it is not true.,12
4,Mr WATSON ,"My attention has been diawn to the cablegram in question. The statement therein attributed to Mr Wyatt is absolutely ridiculous and untrue. It is certainly untrue so far as the members of this Ministry are concerned, and it does not in the slightest degree represent the feeling of the Labour leaders of Australia, so far as I have been able to. ascertain it. It is certainly the fact that the Labour leaders of the various States refused to have anything to do with a faddist of Mr Wyatt's description.",12
5,Sir JOHN FORREST ,Does the honourable member think that Mr Wvatt is a faddist ?,12
6,Mr WATSON ,"Yes , and I think that in England, also, he is .looked upon as a faddist.",12
7,Sir JOHN FORREST ,He did not appear to me in that light.,12
8,Mr WATSON ,"I am expressing my own opinion only. I know that the right honourable member has somewhat exaggerated ideas on Imperial subjects. So far as the people in the Labour movement throughout Australia are concerned, although they are not of the hysterical brand of loyalists, I do not think there is the slightest evidence of - their ever having shown any desire for' separation from the Empire. The statement that that is desired by. those connected with the political Labour movement of Australia is absolutely incorrect. I may add that I do not know what steps Mr Wyatttook to ascertain the feelings of the Labour leaders of Australia in this matter. ADJOURNMENT (Formal). LYNDHURST WATER SUPPLY.",12
9,Mr SYDNEY SMITH ,Macquarie) - I regret that I feel compelled to move the journment of the House this.morning.,13
10,Mr CARPENTER ,Wate r again?,13
11,Mr SPEAKER ,"Ma v I take this, opportunity to remind the House that honourable members when speaking are to be taken as expressing their own opinions, though not necessarily those of their fellow mem-, bers; and that every honourable member is entitled to place his own views before the assembly, even though they mav be views from, which every other honourable member dissents. I ask honourable members to listen to the member addressing the Chair, without striving by interjection to force to express their views instead of his own.",13
12,Mr SYDNEY SMITH ,"I should not have taken this unusual step had I not thought it important, in the interests not only of the State which I represent, but of the whole, of Australia, that the true facts in . connection with certain matters should be laid before the House, so that even honourable members who may be opposed to the courses",13
13,Mr SPEAKER ,I would remind the honourable member that he has not yet obtained leave to move the adjournment.,13
