speakerGroups,Speaker,text,pageNumbers
0,NA,"House of Representatives. Tuesday, SO October, 1951.",12
1,Mr SPEAKER ,"Hon. Archie Cameron) took the chair at 2.30 p.m., and read prayers. DEATH OF DR. L. W. NOTT. Mr EBIC J. HARRISON,-Honor able members are aware of .the tragic passing of Dr L. W. Nott, who was the first member of this House for the Australian Capital Temtory, and a citizen of renown. T am sure that many honourable members would wish to take the opportunity to pay a tribute to his memory by . attending his funeral service this afternoon. For that reason, I suggest to you, Mr Speaker, that it is the desire of honourable members that you leave the chair until 4 o'clock.",12
2,Mr CALWELL ,The Opposition agrees to the suggestion of the Vice-iPresias dent .of the Executive Council ( Mr. Eric J. Harrison).,12
3,Mr SPEAKER ,"In the circumstances, I suspend the sitting until 4 o'clock. The bells will be rung at 3.55 Sitting suspended from 8*38' to 4.p.m. EDUCATION. Mr ALLA N FRASER - I desire to ask a question of the Vice-President of the Executive Council, and to explain it by referring to the case of a Goulburn lad whose parents were unable to keep him at school but who, by working for several years, was able to earn enough money to pay his way through high school. This year, at the age of 21, he is sitting for his leaving certificate, and my question relates to ths eligibility of a lad of that 'age to compete for a Commonwealth university scholarship. At first this lad WRS declared to be ineligible, but I made representations to the Prime Minister, who, in turn, intervened with the University Commission, with the result that the lad has been given eligibility. In conveying my thanks to the Prime Minister for his kindly and humane intervention, I ask the Vice-President of the Executive Council whether he will ask the right honourable gentleman to examine the rules governing Commonwealth university scholarships with a view to having thdin liberalized so as to cover cases of the kind to which I have referred? Mr EEIC J. HARRISON - I shall see that the honourable member's question is brought to the notice of the responsible Minister, aud I have no doubt that action will be taken along lines suggested. POSTAL DEPARTMENT.",12
4,Mr GEORGE LAWSON ,"Is the Postmaster-General aware that grave discontent exists among members of the staff of telegraphists employed in his department at the Brisbane General Post Office? Is he also aware that in all States except Queensland telegraphists are allowed a respite of ten or twelve minutes when rostered on certain shifts, as this is regarded by the Director General as essential to health ? Will the Postmaster-General see that telegraphists in Queensland are given the same health respite, when rostered on certain shifts, is enjoyed by telegraphists in other States?",12
5,Mr ANTHONY ,"I a m> not fully acnuainted with the conditions under p.m. which telegraphists work at the General Post-Office in Brisbane, but I shall have the matter examined.",12
6,Mr FAIRBAIRN ,"Can the Postmaster-General state the approximate cost of issuing each new design of stamp ? In view of the need for economy in government departments, does he believe that a worthwhile saving would be effected by keeping to the one design?",13
7,Mr ANTHONY ,"I do not think that a worthwhile saving would be effected by keeping to one design. It is the custom of all postal administrations throughout the world to issue a number of stamps of varying design in the course of each year. Although it costs between £600 and £800 for the work of engraving and the making of dies for each new design, the profit reaped from the activities of philatelists alone very considerably exceeds the cost. Many people throughout the world buy stamps of each new design but never use them for postal purposes, so that the price of the stamps represents clear profit to the department. In some parts of the world postal authorities raise considerable revenue by issuing newstamps about once a month. Newstamps will be issued next year in connection with the visit of Princess Elizabeth and the Duke of Edinburgh. The issues that had been planned previously had to be cancelled because of the changed arrangements for the Royal tour. The Australian postal administration usually issues about four new sets of stamps each year. DEFENCE.",13
8,Mr BRUCE ,"Will the Minister for Defence give consideration to the establishment of adequate permanent defence installations in northern Queensland, which was our first point of contact with the enemy during World War II.?",13
9,Mr MCBRIDE ,"Defenc e problems are constantly exercising the minds of the defence authorities and the Government, ahd the honourable member's request will receive consideration. RAYON.",13
10,Mr WIGHT ,"Can the Minister representing the Minister for Trade and Customs inform the House whether the termination of the by-law concessions on woven rayon piece goods, announced by the Minister for Trade and Customs last Australian week, is restricted to woven rayon piece goods that are classified as finished cloth only, or whether action is being taken also to restrict the volume of grey cloth that is imported under by-law, printed in Australia and sold as Australian rayon in unfair competition with rayon that is wholly woven and finished in Australia ?",13
11,Mr SPEAKER ,"The question should go on the notice-paper. Mr ERIC J. HARRISON - I have no personal knowledge of this subject, but I shall have the question referred to the Minister for Trade and Customs, who will provide the honourable member with a reply. BROADCASTING.",13
12,Mr KEON ,"Is the Postmaster General aware that overseas newspaper interests have recently purchased a chain of broadcasting stations in New South Wales? Is there any bar to overseas interests controlling those broadcasting stations? If not, will the Government give consideration to the introduction of legislation to prevent overseas bodies of any sort from controlling means of public information in Australia?",13
13,Mr ANTHONY ,"I understand that certain overseas interests have acquired, or are in the process of acquiring, a certain Australian broadcasting network. The transaction relates not necessarily to broadcasting licences but to stations that control certain licences. I think that the matter will require examination in the light of the suggestion that the lionorable member has made, with a view to determining the degree to which overseas interests should be permitted to acauire rights in Australian broadcasting stations. This matter raises a new problem. It is not dealt with in the existing legislation and does not seem to have been envisaged when that legislation was being considered by the Parliament. In view of the circumstances that have arisen, special attention is now being directed to this aspect of Australian broadcasting, and consideration will be given to the suggestion that the honourable member has made. Mr ALLA N FRASER - Will the Postmaster-General say whether it is a fact that the capital being invested in the commercial broadcasting system is British and not foreign? Has there been any change in the attitude of welcoming the investment of British capital in Australian enterprises ? Is it that a number of trading banks which exercise considerable control over the financing of Australian industry are operated by overseas capital and controlled by overseas directors? Does the Postmaster-General's answer to the question asked by the honourable member for Yarra indicate that the Government is considering limiting the investment of British capital in this British country or that it is proposing to take a severer view of the investment of British capital in an Australian enterprise with Australian directors, than it does of the indirect investment through the banking system which is controlled both by overseas finance and overseas directors?",13
14,Mr ANTHONY ,"My reply to the honourable member for Yarra indicated that when the Australian Broadcasting Act was passed, the possibility that overseas interests would endeavour to secure control of Australian broadcasting stations was apparently not envisaged. In my view, there is quite a difference between the investment of overseas capital in Australian industries and the use of such capital to secure control of an instrutralian ment of publicity and propaganda within Australia. To. permit the use of foreign capital in that way without hindrance would be detrimental to the national interests. I am speaking now, not of British capital particularly, but of foreign capital. British investment might be a matter for further consideration, but I think the position requires careful scrutiny. ROYAL AUSTRALIAN AIR EORCE.",14
15,Mr GRAHAM ,"In view of the fact that ill-informed and misguided reports and leading articles were published some newspapers recently, will the ter for Air indicate the degree to which the Australian Government is seeking to purchase from overseas markets modern aircraft for the Royal Australian Air Force, and inform the House of what has been achieved in that connection?",14
16,Mr MCMAHON ,"T am unable to the give details of what is being done by Australian Government to purchase airunderstand craft and aircraft equipment from overseas. We have procurement agencies in a fact the United Kingdom and the United States of America. Those agencies are endeavouring to obtain from overseas the requirements of the Royal Australian Air Force that cannot be supplied by local production. I do not want to say now how much equipment has been obtained from overseas, but the quantity is not great. Aircraft and aircraft equipment are coming forward in dribs and drabs. We hope that, in the future, supplies will be increased to some degree. Our prospects of obtaining aircraft and aircraft equipment from overseas are not good now and will not be good for at least two years. INDUSTRIAL ARBITRATION.",14
17,Mr ROSEVEAR ,"Recently I directed to the Minister for Labour and National Service a question about an application to the Commonwealth Arbitration Court by certain employers' organizations for the restoration of a 44-hour working week. In the course of. my question I directed the attention of the honourable gentleman to a press report in which it was suggested that the AusGovernment proposed to interest itself in the application and to be represented at the hearing before the court. Is the Minister now able to inform me whether the Commonwealth intends to interest itself in the case, the hearing of which will commence this week? If that be the intention of the Government, will the Ministers say whether the Commonwealth will be represented by counsel and join with the employers' organizations in advocating the restoration of a 44-hour week ?",14
18,Mr HOLT ,"I understand that at a hearing before the Chief Judge of the Commonwealth Arbitration Court yesterin day a number of matters were raised. MinisSome related to applications by employees' associations for a shorter working week and others related to applications by employers' organizations for a longer working week. During the hearing the Chief Judge, with the authority of his brother judges, asked representatives of r>art""'es to meet him in his chambers the on Wednesday, the 21st November. I that he made it clear that he did not want interveners to be present that meeting. I think that what he has in mind is to ascertain the intentions of the parties. At this stage, the question intervention by the Commonwealth not arise, and it will not do so until intentions of the parties to the applicaservice tions before the court have been further clarified. ALIEN DOCTORS.",14
19,Mr JOSHUA ,"Will the Minister for Immigration say wliether he has been considering a plan under which some immigrant doctors will be permitted practice medicine in Australia without having undergone, as they are now required to do, training for three years an Australian university? If he is sidering such a plan, will he indicate it is proposed to do to ensure that students who have undertaken a six-year course medicine at Australian universities shall not be planed at a disadvantage because competition by immigrant doctors?",15
20,Mr HOLT ,"The Commonwealth is not in a position to determine any plan regard to this matter. The registration of medical practitioners is a matter determination by State governments. As far as I am aware, most States have legisstitute lation which deals with that matter. are conferring vvith representatives of British Medical Association with a view to ascertaining what can be done to the best use of the talents of medical in this country who were trained European countries. ' We have.had disOrganization, cussions also with the State Premiers. do not think there is any danger that rights and opportunities of Australian medical students will be endangered in any way by the registration of a a representative limited number of medical men from to overseas. I shall give a more detailed reply to the honourable gentleman when have more information upon this matter at my disposal. IMMIGRATION .",15
21,Mr EGGINS ,"'My question, which is directed to the Minister for Immigration, relates to the very serious need for addifacilities tional experienced rural labour in counsuch try industries. Having regard to existGovernment ing immigration requirements, it is ahnost necessary for primary producers at to nominate persons to be brought to this country for employment in rural industries, with all the delay and cost that such of a course involves, and with no guarantee does that on arrival in Australia sueh the nominated immigrants will remain in the of their nominators. Has the Minister any proposal in mind that will assist in making available to country areas added numbers of immigrants with, experience in rural industries?",15
22,Mr HOLT ,"I have previously intimated to the House the concern that the Government feels about the need for a to very much greater proportion of our immigrant intake to go into rural production than is the case at present. It is at true that until now the facilities availconable to persons in Australia to bring what immigrant labour into rural production have been limited very largely to the in nomination scheme. As the honourable member has pointed out, it is not always of practicable to ensure that persons so nominated will remain on the properties to which they were brought in the first in instance. The problem has been referred by me to the Immigration Planning for Council. I understand that that body, at its most recent meeting, decided to cona committee to inquire into the We problem as a matter of urgency. The the committee will include in its membership such well-known figures as Professor make Wadham and Mr W. S. Kelly, who have men been associated with the Commonwealth in Scientific and Industrial Research and also representatives of I the Department of Immigration, the the Department of Labour and National Service and the Bureau of Agricultural. Economics. I am also considering inviting of the rural organizations participate in the committee's discussions. It. would be of considerable assisI tance to the Government if organizations that represent rural industries would themselves, as far as it is practicable for them to do so, ascertain from their members the likely demand for rural labour. If we can obtain from the rural groups a clearer indication than we have had of their need for labour and the that they can make available, as accommodation and the like, the will be able to establish a more clearly defined target to aim at in formulating its immigration plans. In the preliminary plans for the intake of immigrants nest year a very much larger proportion of immigrants will be chosen for rural production than has been the case this year.",15
23,Mr WILSON ,"In view of the urgent need for increased food production, will the Minister for Immigration consider the erection in rural areas of small hostels, to accommodate, say, eight families, tc house immigrants who could farm 8 to 10 acres of land in their spare time, in addition to retaining their normal employment? I consider that the food situation in his country is so urgent that we need a certain amount of peasant farming, which could be carried out in conjunction with the present employment of many new Australians.",16
24,Mr HOLT ,"As I have already intimated to the House, we are conscious of the need for the intensive cultivation of certain kinds of agricultural products, an increase of the production of which is obviously necessary if our population is to grow and if we are to be able to meet our domestic needs and also help to supply the requirements of countries such as the TJnited Kingdom. I shall consider the honourable gentleman'e suggestion. I know that he has given a good deal of thought to this problem. I point out, however, that one of our difficulties at the present time is that the level of public works that were being carried out by this Government and State governments has been such that it has added to our problem of inflation. Consequently, the Government has found it necessary to reduce its works programme for the current year. In the result, the construction of certain immigrant hostels which had been planned for country districts has had to be deferred. The practicability of continuing with the construction of such hostels in country areas will, to some degree, be affected by the progress of the public works programme. However, I shall see whether I can give a more dctailod statement to the honourable member after I have considered his suggestion.",16
25,Mr ROSEVEAR ,"I desire to ask the Minister for Immigration whether difficulty is experienced in securing immigrants from Great Britain and Europe because the rural and building industries of those countries need to retain their labour for their own development? Will the Government explore the possibilities of securing immigrants from the North American continent? I understand that there is a large number of unemployed people, in the TJnited States at present and it may be possible to bring white people here from that country and, perhaps from Canada.",16
26,Mr HOLT ,"Fro m the information available to me it would appear that there are still many people in Europe who would be suitable for rural work and who would be glad to come to Australia under suitable conditions. That is not so. in the TJnited Kingdom where there is a shortage of agricultural labour. The Government has been endeavouring to attract as many immigrants as possible from those European countries in which they are available. I should not think that we would meet with much success in endeavouring to attract immigrants from Canada because that country is developing very rapidly and is actively engaged in a programme of immigration in order to assist it in its own work of development. I agree with the honourable member that there should be possibilities of obtaining immigrants from the TJnited States, yet, from time to time special efforts are made by the United States, particularly when seasonal labour is required, to bring people there from South African countries such as Puerto Rico. However, I have always considered that with adequate publicity, and provided that shipping was available, Australia could attract a number of people from the United States. I discussed this matter informally with a representative of an American shipping company this morning. The Government would be glad to welcome citizens from the United States of America to Australia and I am sure that they would make admirable settlers. HOUSING.",16
27,Mr ANDREWS ,"Following upon inquiries that have been addressed to me by some of my electors, I ask the Minister for Social Services whether his. department is prepared to take over mortgages on war service homes being constructed under co-operative housing schemes, to the maximum extent of £2,750, which is the figure that applies to the homes now under construction?",16
28,Mr TOWNLEY ,"Ne w legislation in connection with war service homes and proposed amendments to the existing legislation are now before the House. The debate on that measure will, I consider, provide a more convenient and appropriate opportunity than the present for a discussion of the matter that the honourable member has raised. Such housing schemes as the honourable member has mentioned have their own singular and peculiar commitments, and if the honourable member will let rae have the details of the particular scheme that he is interested in I shall be pleased to let him have a reply to his question. TELEPHONE SEEVICES.",17
29,Mr BOSTOCK ,"In view of the desired difficulty which is being experienced by honourable member. many intending subscribers to the telephone system in country areas and of the unsatisfactory telephone communications that exist in certain country areasI ask the Postmasterof General to indicate whether the procureconcern ment of automatic telephone switchthroughout boards is progressing satisfactorily? general, will he indicate what progress is being made with the plan to install rural automatic telephone exchanges, particularly in Victoria?",17
30,Mr ANTHONY ,"We have on order about 750 rural automatic exchanges which have been coming forward in the normal way. The rate of supply is only about 100 or 150 a year, which is also dates back to 1904. the rate at which we have the technical means to carry out installations. These not Mr.aware exchanges are being installed according to schedule.",17
31,Mr WARD ,"In view of the repeated statements b.y the Postmaster-General to the effect that failure to install services has been due to lack of equipment, I ask the Minister whether, as a result of' the Government's decision to dismiss 10,000 employees, any dismissals occurred from the department's workshops where telephone equipment is produced? If so, how many were dismissed?",17
32,Mr ANTHONY ,"I am not able to say what dismissals took place in any particular establishment. However, the department has adequate stocks of some varieties of equipment although it is short of others. Therefore, it is possible that men who were producing materials of which the department has adequate supplies may have been dismissed. I shall, investigate the matter raised by the honourable member.'",17
33,Mr CLARK ,Will the Postmaster General inform the House whether progress has been made by his department towards the early establishment of radio telephone facilities for people who live in the more remote areas of Australia?,17
34,Mr ANTHONY ,"I presume that the honourable member has in mind areas in the vicinity of the Western Darling Eiver and Wilcannia. I am not familiar with the exact position, but shall obtain the information and convey it to the COMMONWEALTH PEOPEETY.",17
35,Mr MCLEAY ,"Is the Vice-President the Executive Council aware of the of all local governing bodies Australia because of the In Commonwealth's evasion of its share of the cost of essential community services? Does he know that this matter was discussed at a conference of the town clerks of the capital cities which was recently held in Adelaide? Will he - bring tha matter before the appropriate authority so that a prompt decision may be made on it? If the Minister will examine the relevant file, he will find that this matter EEIC J. HAEEISON - I am in detail of the matter which the honourable member has raised in his first question. I assure him that the necessity for making a prompt decision on it will be examined, and 'that he will telephone be given a satisfactory reply. ME. WINSTON CHUECHILL.",17
36,Mr EGGINS ,"-last week, following the lead of AustraVa and New Zealand, the TJnited Kingdom removed a socialist administration from office, and once again, that great war-time leader, Mr. Winston Churchill, has become Prime Minister of Great Britain. Will the Vice President of the Executive Council recommend to the Prime Minister that an invitation be extended to Mr Churchill to visit Australia at the earliest possible opportunity so that the people of this country may pay a personal tribute to him for the great service that he rendered during the war years and the inspiration that he gave to the nations of the Britisli Commonwealth in those difficult times? Mr ERIC J. HARRISON - I assure graphs. the honourable member that nothing would give me greater pleasure than to sponsor a move to bring Mr Churchill to this country and to bring the proposal to fruition. BRITISH COMMONWEALTH OE NATIONS. MJ . WILSON - Now that the great empire builder, Mr Winston Churchill, has been returned to power in Great Britain, will the Vice-President of the Executive Council suggest to the Government that a conference of all Prime Ministers of the British Commonwealth of Nations be called with a view to discussing ways and means of restoring the British Commonwealth of Nations to its previous position of leadership of the democratic nations of the world? Mr ERIC J. HARRISON - It will give me great pleasure to make a recommendation on the lines suggested by the honourable member. TELEVISION .",17
37,Mr DALY ,Some time ago the Postmaster-General made a statement in the House to the effect that a special committee had been sent abroad to study various aspects of the development of television. When does the Minister expect to be able to inform the Parliament and the people of Australia of the Government's detailed proposals for the development of television in this country?,18
38,Mr ANTHONY ,I have seen the report of the committee to which the honourable member has referred and am in the process of making certain recommendations to Cabinet in .the matter. When decisions have been made the House and the country will be informed of them. SECRET SOCIETIES.,18
39,Mr CREMEAN ,"Has the Minister for Immigration read the extraordinary allegations, apparently without foundation, that have appeared in a Melbourne newspaper",18
40,Mr SPEAKER ,Order ! I have ruled time and time again that questions must not be based on newspaper paraMONICA,18
41,Mr CREMEAN ,"Has the Minister heard the extraordinary allegations that appear to be current in some quarters in Melbourne about the supposed existence of secret societies such as the Mafia, the Black Hand, and the Camorra in certain communities in the capital cities of this country? As these allegations are causing unwarranted distress to thousands of new Australians of foreign origin, will the Minister inform the House wliether he or the officers of his department have seen any evidence of the existence of such societies in Australia?",18
42,Mr HOLT ,"Ero m time to time. I bave read press reports of the existence of such bodies in this country. Those reports prompted me to inquire whether there was any basis for the allegations. The matter has been discussed with the police authorities, and, as far as the State of Victoria is concerned, with which State I am most familiar, I understand that extensive investigations were carried out. Nothing has been brought to my notice that would justify my taking aetion against any person or organization. LIBERAL PARTY.",18
43,Mr CLYDE CAMERON ,"Will the Vice-President of the Executive Council inform the House whether the political sympathy of the Australian Government rests with the Liberal party of Great Britain headed by Mr Davies or with the Tory party of Great Britain headed by Mr Winston Churchill ? Mr ERIC J. HARRISON - The question asked by the honourable member is interesting. If the name "" Liberal "" I implied that we were associated with the Libera] party of Great Britain, then obviously the Australian Labour party should be associated with the recently defeated Socialist Government of Great Britain.",18
