Speaker,Text,pageNumbers
NA,House of Representatives;,11
NA,"Wednesday, IS October, 1949.",11
Mr DEPUTY SPEAKER , Mr J. 3. Clark),11
NA,"took the chair at 10.30 a.m., and read",11
NA,prayers.,11
NA,INCOME TAX.,11
Mr THOMPSON ,Complaint s have,11
NA,been made to me by many men that on the,11
NA,death of their parents they have arranged,11
NA,for an elderly sister to look after their,11
NA,"home, and that they have not been able",11
NA,to claim a concessional rebate for income,11
NA,tax purposes in respect of the services of,11
NA,"the sister, but that taxpayers are able to",11
NA,claim such concessions in respect of de,11
NA,"facto wives. ""Will the Treasurer state",11
NA,whether consideration has been given to,11
NA,"this matter, and i f so, whether it is",11
NA,possible for further consideration to be,11
NA,given to the desirability of allowing con-,11
NA,cessional rebates to taxpayers in such,11
NA,circumstances 3,11
Mr CHIFLEY ,Th e Bubjeet raised,11
NA,by the honorable member has been con-,11
NA,sidered by a number of Treasurers and,11
NA,governments. I do not think that the,11
NA,position of a de facto wife is analogous,11
NA,to that of a sister who is looking after a,11
NA,single man. A de facto wife occupies a,11
NA,somowhat different position in the home,11
NA,from that of a sister. The conditions,11
NA,governing thc allowance of concessional,11
NA,rates in respeot of de facto wives are,11
NA,"fairly strict, and have regard to the",11
NA,character of the union and to children,11
NA,that might result from it. This subject,11
NA,has been considered on a number of,11
NA,occasions because of the continual re-,11
NA,quests that have heen made that the con-,11
NA,cessional rebate should be extended to,11
NA,cover taxpayers such as those mentioned,11
NA,by the honorable member. Up to the,11
NA,present the Government has not been able,11
NA,to see its way clear to allow a rebate in,11
NA,respect of sisters who occupy such a posi-,11
NA,tion hi the home because such a practice,11
NA,"would be open to very great ""aBuses,",11
NA,CUSTOMS SEIZURE OF,11
NA,GBAMOPHONE RECORDS.,11
Mr HARRISON ,Som e time ago 1,11
NA,askod the Attorney-General a question,11
NA,in relation to the impounding of some,11
NA,gramophono records which had been,11
NA,"brought to Australia by Mr Dixon, the",11
NA,well-known Communist. I asked the,11
NA,right honorahle gentleman whether he,11
NA,would have the records examined in order,11
NA,to ascertain whether or not they contained,11
NA,certain forms of propaganda. Has he,11
NA,yet had an opportunity to institute an,11
NA,inquiry to ascertain the nature pf the,11
NA,"records, and, i f so, can he give the House",11
NA,any information on the subject?,11
Dr EVATT ,Th e honorable member,11
NA,mentioned this matter on the 30th,11
NA,September last. I t relates to the adminis-,11
NA,tration by the Department of Trade and,11
NA,Customs of the Customs Act. I,11
NA,referred the honorable member's,11
NA,question to the Minister for Trade,11
NA,and Customs but I have not yet re-,11
NA,ceived a reply. A reply will be furnished,11
NA,to the honorable member by the Mimster,11
NA,representing the Minister for Trade and,11
NA,Customs in this House. Power is con-,12
NA,tained in the Customs Act for the depart-,12
NA,ment to detain certain types of records.,12
NA,As I have already informed the honorable,12
NA,"member, I do not know what is contained",12
NA,on the records to which he has drawn,12
NA,"attention. However, I am obliged to the",12
NA,honorable member for reminding me of,12
NA,the matter.,12
NA,HIGH COURT.,12
Mr DALY ,Ha s the Attorney-,12
NA,General seen a statement attributed to the,12
NA,"honorable member for Warringah, in",12
NA,which the honorable member is reported,12
NA,"to have stated that, i f Labour is returned",12
NA,"to office, the people might expect the",12
NA,High Court to be stacked with Labour,12
NA,supporters? Does the Attorney-General,12
NA,not consider that statement to be,12
NA,"inaccurate, misleading and utterly false?",12
NA,Will the right honorable gentleman out-,12
NA,line to the House the appointments that,12
NA,have been made to the High Court since,12
NA,"Labour assumed office in 1941, and state",12
NA,whether or not the Government has,12
NA,already had ample opportunity-,12
Mr ANTHONY , I rise to order. I,12
NA,"submit, Mr Deputy Speaker, that the",12
NA,honorable member is not asking a question,12
NA,but is inviting the Attorney-General to,12
NA,make a statement on a matter of general,12
NA,"policy. I n so doing, I contend that the",12
NA,honorable member is out of order.,12
Mr DEPUTY SPEAKER ,Th e,12
NA,Chair's impression is that the honorable,12
NA,member for Martin is asking the,12
NA,Attorney-General what appointments,12
NA,have been made to the High Court during,12
NA,a certain period. He is entitled to ask,12
NA,that question.,12
Mr DALY ,"Finally , I ask tht.",12
NA,Attorney-General whether it is true that,12
NA,the Government has already had an oppor-,12
NA,tunity to stack the High Court had it,12
NA,"wished to do so, but so far from doing so,",12
NA,it has actually appointed only one justice,12
NA,since 1941.,12
Dr EVATT ,M y attention was,12
NA,directed last night toa statement made,12
NA,"by the honorable member for Warringah,",12
NA,"and, I think, repeated at the week-end",12
NA,"by another Opposition member, the",12
NA,Leader of the Australian Country party.,12
NA,I take this opportunity to say' that the,12
NA,statement is completely inaccurate. I t is,12
NA,a complete untruth from beginning to end.,12
NA,The matter has never been considered,12
NA,"by the Government, and such a thought",12
NA,has never occurred to members of,12
NA,the Government. There has been only,12
NA,one vacancy on the High Court bench,12
NA,during the regime of the Curtin and,12
NA,Chifley Administrations. The Govern-,12
NA,ment's appointee to that vacancy was tho,12
NA,"then Chief Justice of Queensland, Sir",12
NA,"William Webb, and not the slightest",12
NA,objection to his appointment was raised,12
NA,"by any member of this House, or any",12
NA,"political party, or any representative of",12
NA,the legal profession of Australia. The,12
NA,same may be said without exception of,12
NA,other judicial appointments made by this,12
NA,Government. There has not been one,12
NA,-breath of criticism of such appointments.,12
NA,"Therefore, I say that i t is wrong and",12
NA,wicked that statements such as that re-,12
NA,ferred to by the honorable member foT,12
NA,"Martin should be made, without authority,",12
NA,in an attempt to mislead the people.,12
NA,"Clearly, there is no justification for the",12
NA,statement.,12
Mr ANTHONY ,Wh y not hold a,12
NA,referendum on banking?,12
Dr EVATT,Th e honorable member,12
NA,for Richmond now talks about a referen-,12
NA,dum. I pointed out yesterday in answer,12
NA,"to another honorable member that, during",12
NA,"the whole period of the war, a vast per-",12
NA,centage of the High Court's decisions,12
NA,favoured the Government. The question,12
NA,of additions to the High Court Bench is,12
NA,"not being considered, and, to use the words",12
NA,"of the honorable member for Martin, the",12
NA,statement to which he has referred is,12
NA,"inaccurate, misleading and utterly false,",12
NA,"but I prefer to call it a simple, downright",12
NA,untruth.,12
Mr MENZIES ,Tim e will tell.,12
NA,CANBERRA.,12
NA,LOCAL GOVERNMENT.,12
Mr BLAIN , I ask the Minister for,12
NA,the Interior whether he has read the,12
NA,report on civic administration made by,12
NA,"Mr H . J. R, Cole, A.l.C.A., Town Clerk",12
NA,"of Hobart, which recommends the estab-",12
NA,lishment of a city council for Canberra.,12
NA,"Tf so, will the Minister consider making",12
NA,similar provision for Darwin and Alice,12
NA,Springs? I draw tho Minister's atten-,13
NA,tion to the foUowing passage which,13
NA,appears on page 9 of Mr Cole's report:-,13
NA,The difference between the maintenance,13
NA,tion of the vote and the revenue derived from,13
NA,"the residents in rates, fees, charges and fares,",13
NA,is in effect a Federal subsidy to' the local,13
NA,government of the city.,13
NA,"""Will the Minister bear that statement in",13
NA,"mind when he establishes, as I hope that",13
NA,"he will establish, councils in Darwin and",13
NA,Alice Springs?,13
Mr JOHNSON , I have read the re-,13
NA,port that has been submitted to the Go-,13
