Speaker,Text,pageNumbers
NA,House of Representatives.,15
NA,"Wednesday, IkMarch, 191,5.",15
Mr SPEAKER ,Hon. J. S. Rosevear),15
NA,"took the chair at 3 p.m., and read prayers.",15
NA,DEATH OF GENERAL SIR HARRY,15
NA,"CHAUVEL, G.C.M.G. , K.C.B .",15
Mr CHIFLEY ,Macquarie - Trea-,15
NA,surer) -Th e news of the death of,15
NA,"General Sir Harry Chauvel on Sunday,",15
NA,"the 4th March, will have been received",15
NA,by all members of the Commonwealth,15
NA,Parliament with very great sorrow. Sir,15
NA,"Harry was a distinguished soldier, and",15
NA,a great Australian. I f his greatness has,15
NA,not been fully appreciated by our genera-,15
NA,"tion, posterity certainly will acclaim him",15
NA,one of our Empire's great men. Born at,15
NA,"Tabulan, in northern New South ""Wales,",15
NA,"on the 16th April, 1865, he obtained, his",15
NA,early education at Toowoomba and,15
NA,Sydney Grammar .Schools. Selecting,15
NA,"a military career, he applied himself",15
NA,throughout his active soldiering days,15
NA,to mastering the profession of arms.,15
NA,"That he was successful, ,is indicated, by",15
NA,the history of his achievements.,15
NA,"When our defence force was in embryo,",15
NA,Harry Chauvel joined the New South,15
NA,"Wales Cavalry in 1886, the Queen's Own",15
NA,"Mounted Infantry i n 1890, and the Per-",15
NA,manent Forces ia 1896. He fought,15
NA,through the South African War from,15
NA,1899 to 1902 with the Queensland,15
NA,"Mounted Infantry, and later as com-",15
NA,"mander of a composite force of English,",15
NA,"Canadian, South African and Australian",15
NA,"horsemen known as "" Chauvel's Mounted",15
NA,"Infiantry"". For those services he was",15
NA,"created a C.M.G., and was granted a",15
NA,brevet rank of Lieutenant-Colonel. I n,15
NA,"1911, he became Adjutant-General of the",15
NA,"Australian Military Forces, and was",15
NA,Australian representative on the Imperial,15
NA,General Staff at the War Office in 1914.,15
NA,On the outbreak of the first Great War he,15
NA,was given command of the First Light,15
NA,"Horse Brigade in Egypt, and took i t to",15
NA,"Gallipoli, dismounted. There, again,",15
NA,Harry Chauvel demonstrated his capacity,15
NA,for leadership. During the most bitter,15
NA,"fighting of that campaign, he commanded",15
NA,the centre section of the Anzac defences;,15
NA,[21],15
NA,the command included his own brigade,15
NA,and the 4th Australian Infantry Brigade.,15
NA,"I n September, 1915, he commanded for",15
NA,a time the New Zealand and Australian,15
NA,"Division, and later the First Australian",15
NA,"Division, which formation he took back",15
NA,to Egypt. Throughout the Sinai cam-,15
NA,"paign, Harry Chauvel led the Anzac",15
NA,"Mounted Division, to which was attached",15
NA,"the Imperial Gamel Corps, and further",15
NA,distinguished himself in the battles at,15
NA,"Romani, Magdhaba and Gasa. Follow-",15
NA,"ing these battles, he was created a",15
NA,"K.C.M.G., as an "" immediate"" decora-",15
NA,tion- a very rare distinction. His com-,15
NA,mand-th e Desert Column-wa s enlarged,15
NA,"into the Desert Mounted Corps, and in",15
NA,"August, 1917, he was promoted to the",15
NA,"rank of Lieutenant-General, being the",15
NA,first Australian soldier to reach that rank.,15
NA,From among all the cavalry generals of,15
NA,"the British Empire, . Sir Harry Chauvel",15
NA,was selected to lead the largest force of,15
NA,mounted troops the modern world had,15
NA,known. His generalship at the battles,15
NA,"which followed, which brought about the",15
NA,destruction of the Turkish armies and,15
NA,culminated in the capture of Damascus,15
NA,"and Aleppo, and the capitulation of the",15
NA,"Turks, proclaimed to the world the genius",15
NA,of the man whose passing we now mourn.,15
NA,His awards during the 1914-18 war,15
NA,"earned him the O.B., K.C.M.G., K.C.B.,",15
NA,"G.C.M.G., Oroix de Guerre (France),",15
NA,Order of the Nile-thir d and second class,15
NA,-an d Mention in Despatches nine times.,15
NA,"Following the 1914-18 war, Sir Harry",15
NA,"Chauvel became Inspector-'General, and",15
NA,"later Chief o£ the General Staff, of the",15
NA,"Australian Military Forces, and was pro-",15
NA,moted to f u l l General in 1929. During,15
NA,"this time, and indeed for some years",15
NA,"afterwards, his vision and influence did",15
NA,much to build up the nucleus of the Army,15
NA,of which we are so proud to-day. Retire-,15
NA,ment from the Army in 1930 was not the,15
NA,end of Sir Harry's life work. Right up,15
NA,"to the time of his death, he held the",15
NA,appointment of Inspector-in-Chief of the,15
NA,"Volunteer Defence Corps. I n addition,",15
NA,he had actively engaged in pursuits of,15
NA,"a philanthropic nature, with a view to",15
NA,advancing the well-being of ex-service-,15
NA,"men, and promoting worthy objects",15
NA,in various spheres of community,15
NA,life. He pursued these activities,15
NA,"until only a few months ago, when his",15
NA,"declining health, aggravated :by an injury",16
NA,"sustained while riding, prevented his con-",16
NA,tinuance of them. The late general was,16
NA,accorded a State military funeral as a,16
NA,tribute to his outstanding public service.,16
NA,I n paying the respects of the House,16
NA,"to the memory of this great Australian,",16
NA,whose deeds and service had earned the,16
NA,"gratitude of our nation, and indeed, of",16
NA,"the Empire, I am sure that every honor-",16
NA,able member joins with me in extending,16
NA,the deepest sympathy to Lady Chauvel,16
NA,and her family. I move-,16
NA,That this House expresses its deep regret,16
NA,"at the death ot General Sir Harry Chauvel,",16
NA,"G.C.M.G., K.C.B., places on record its appre-",16
NA,"ciation of his meritorious public service, and",16
NA,tenders its profound sympathy to his widow,16
NA,ii ud family in their bereavement.,16
Mr MENZIES ,Kooyong-Leade r of,16
NA,the Opposition) -M y colleagues and,16
NA,"desire to be associated with the motion,",16
NA,and with the words that have fallen,16
NA,"from the Treasurer ( Mr 'Chifley), turned",16
NA,who has summarized a military career,16
NA,that must be one of the most res-ervicemen,16
NA,"markable of the century. Indeed, i",16
NA,"has been said, and said by those comLiberal",16
NA,"petent to judge, that, in the military",16
NA,"sphere, Sir Harry Chauvel was one",16
NA,the most remarkable cavalry leaders of all organization?,16
NA,"history. I n addition, we recall i Sir Harry",16
NA,"Chauvel, the man, because, with all the",16
NA,"capacity for decision, tlie force of characand",16
NA,ter and the strength of mind that must,16
NA,"have informed his military actions, he",16
NA,was in private life a man of the greatest,16
NA,"simplicity, of the most exquisite courtesy,",16
NA,"and of direct, honest and attractive",16
NA,"character. Indeed, although they were",16
NA,"not physically similar, I could not",16
NA,him without being reminded 'by his,16
NA,"manner, and that which was inside him,",16
NA,of the late General Sir Brudenell White.,16
NA,"This country is, indeed, fortunate to",16
NA,"have produced out of the turmoil of war,",16
NA,"on two or three occasions, such amazing",16
NA,servants of the people.,16
Mr FADDEN ,Darling Downsthat,16
NA,Leader of the Australian Country party).,16
NA,- I rise to add my party's tribute to the,16
NA,sentiments already expressed. We,16
NA,called upon this afternoon to pay this,16
NA,"respect to the memory of, I supLeader",16
NA,"pose, one of the greatest soldiers question",16
NA,that Australia has ever produced. to-morrow.,16
NA,I u Queensland his name is almost a,16
NA,legend. I was privileged to know him,16
NA,"intimately, and I feel his passing keenly.",16
NA,I add my -humble quota of appreciation,16
NA,of the services which that great man has,16
NA,"rendered to this young nation, and of the",16
NA,example which he -has set to those who,16
NA,shall follow him. I join in the sentiments,16
NA,of sympathy to be conveyed to those left,16
NA,to mourn his loss.,16
NA,"Question resolved in the affirmative,",16
NA,honorable members standing in their,16
NA,places.,16
NA,LIBERAL PARTY.,16
NA,APPOINTMENT OF ORGANIZES.,16
NA,Mr 'CHAMBERS -I s the Minister,16
NA,for Post-war Reconstruction aware that,16
NA,the New South Wales branch of the new,16
NA,Liberal party has appointed Mr George,16
NA,I A. Wilson as its State organizer at a,16
NA,"salary of £2,000 .a year ? I n view of the",16
NA,fact that this gentleman is not a re-,16
