Speaker,Text,pageNumbers
NA,"Thursday, 20 September 1979",18
Mr SPEAKER ,Rt Hon. Sir Billy Snedden),18
NA,"took the chair at 10.30 a.m., and read prayers.",18
NA,The Clerk-Petition s have been lodged for,18
NA,presentation as follows and copies will be re-,18
NA,ferred to the appropriate Ministers:,18
NA,To the Honourable the Speaker and Members of the House,18
NA,of Representatives in Parliament assembled: The Peution,18
NA,the undersigned citizens of Australia respectfully showeth:,18
NA,That the plan to obliterate the traditional weights and,18
NA,measures of this country does not have the support of the,18
NA,people;,18
NA,"That the change is causing and will continue to cause,",18
NA,"widespread, serious and costly problems;",18
NA,That the compulsory tactics being used to force the change,18
NA,are a violation of all domestic principles.,18
NA,Your petitioners therefore pray:,18
NA,That the Metric Conversion Act be repealed to ensure that,18
NA,the people are free to utilise whichever system they prefer,18
NA,and so enable the return to imperial weights and measures,18
NA,wherever the people so desire;,18
NA,That weather reporting be as it was prior to the passing of,18
NA,the Metric Conversion Act;,18
NA,That the Australian Government take urgent steps to,18
NA,cause the traditional mile units to be restored to our,18
NA,highways;,18
NA,That the Australian Government request the State,18
NA,Governments to procure that the imperial and metric sys-,18
NA,tems be taught together in schools.,18
NA,And your petitioners as in duty bound will ever pray.,18
NA,"by Mr Lynch, Mr Aldred, Mr Burns, Mr",18
NA,"Goodluck, Mr Jarman, Mr Macphee and Mr",18
NA,Street.,18
NA,Petitions received.,18
NA,"To the Honourable, the Speaker and Members of the House",18
NA,"of Representatives, of the Australian Parliament assembled.",18
NA,The Petition of certain citizens,18
NA,fully showeth:,18
NA,Dismay at the reduction in the total expenditure on edu-,18
NA,cation proposed for 1980 and in particular to Government,18
NA,Schools.,18
NA,Government School bear the burden,18
NA,per cent while non-Government school will receive an in-,18
NA,crease of 3.4 per cent.,18
NA,We call on the Government to again examine the pro-,18
NA,posals as set out in the guidelines for Education expenditure,18
NA,1980 and to immediatelyrestoreand increase substantially,18
NA,in real terms the allocation of funds for education expendiTo,18
NA,ture in 1980 to Government schools.,18
NA,And your petitioners as in duty bound will ever pray.,18
NA,"by Mr Anthony, Mr Armitage, Mr Dobie, Mr",18
NA,"Howard, Mr Les Johnson, Mr Sainsbury and",18
NA,Mr West,18
NA,Petitions received.,18
NA,National Women's Advisory Council,18
NA,To the Honourable the Speaker and Members of the House,18
NA,PETITIONS of Representatives assembled: The Petition of the under-,18
NA,signed citizens of Australia respectfully showeth:,18
NA,That the National Women's Advisory Council has not,18
NA,been democratically elected by the women ofAustralia;,18
NA,That the National Women's Advisory Council is not rep-,18
NA,Metric System resentative ofthe women of Australia;,18
NA,That the National Women's Advisory CouncU is a dis-,18
NA,of criminatory and sexist imposition on Australian women as,18
NA,Australian men do not have a National Men's Advisory,18
NA,CouncU imposed on them.,18
NA,Your petitioners therefore pray:,18
NA,That the National Women's Advisory Council be,18
NA,abolished to ensure that Australian women have equal op-,18
NA,portunity with Australian men of having issues of concern to,18
NA,"them considered, debated and voted on by their Parliamen-",18
NA,tary representatives without intervention and interference by,18
NA,an unrepresentative 'Advisory CouncU'.,18
NA,And your petitioners as in duty bound will ever pray.,18
NA,"by Mr Braithwaite, Mr Fisher, Mr Lucock and",18
NA,Mr Martyr.,18
NA,Petitions received.,18
NA,Commonwealth Employees (Employment,18
NA,Provisions) Act,18
NA,To the Honourable the Speaker and Members of the House,18
NA,of Representatives in Parliament assembled. The humble,18
NA,petition of electors of the State of N.S.W. respectfully,18
NA,showeth:,18
NA,That the Commonwealth Employees (Employment Pro-,18
NA,visions) Act 1977 should immediately be repealed because:,18
