speakerGroups,Speaker,text,pageNumbers
0,NA,"Thursday, 15 September 1977",14
1,Mr SPEAKER ,"Rt Hon. B. M. Snedden, QC) took the chair at 10.30 a.m., and read prayers. The Acting Clerk-Petitions have been lodged for presentation as follows and copies will be referred to the appropriate Ministers: Private Nursing Homes: Pensioner Patients To the Honourable the Speaker and Members of the House of Representadves assembled. The petiuon of the undersigned citizens of Australia respectfully showeth: That many pensioners who are holders of the Pensioners Health Benefit Card, have suffered undue hardship as inmates of private nursing homes, because the Federal Government subsidy was insufficient to meet the charges laid down. Many pensioners whose spouse was an inmate of the prithe vate nursing homes suffered poverty in an tain their partner while in the nursing home. Only in rare cases was the statutory minimum patient conforms tribution as laid down adhered to. That the telephone was a matter of life and death pensioners, but because of the cost of installauon of the telephone many are unable to afford the installauon. That those pensioners who have only their pension very little else to Uve on and are forced to pay high rents, in many cases living in extreme poverty. The foregoing facts impel your pedtioners tralian Government as a matter of urgency to: (1) Make sure that subsidies paid to private nursing homes are such that each pensioner Health Benefit Card will pay the private nursing home no more than the statutory minimum padent contribution, which will allow $6 per week to be retained by the pensioner patient for their personal use. (2) That a pensioner holding a Pensioner Health Benefit Card shall have a telephone installed free of charge, or at a very nominal charge. (3) That those pensioners who have only their pension and very little else to live on, shall receive a subsidy to assist them. The subsidy to be governed by a means test. And your petitioners as in duty bound will ever pray. by Sir William MCMahon, Mr Cadman, Mr forms of financial FitzPatrick, Mr Lucock, Mr Les MCMahon and Institutions Mr Morris. Petitions received. Broadcasting and Television Programs To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble lead petition of the undersigned citizens of Australia showeth: That because television and radio: (a) affect our social and moral environment, (b) are fanuiy media watched dren at alltimes,and (c) present too much explicit violence and sex. they therefore need stronger control than other media and the existing standards need stricter enforcement in both national and commercial sectors. Your petitioners therefore humbly pray that the Australian Government will amend the Broadcasting and Television Act, in relation to both national and commercial broadcasters, to legislate: (a) for adequate and comprehensive programs in the PETITIONS best interests of the general public, (b) against self-regulation by the broadcasting and television industry, (c) for an independent consumer body to represent the best interests of the general public, and (d) for immediate and effective penalties to be imposed for breaches of program and advertising standards. And your petitioners as in duty bound will ever pray, by Mr Cadman and Mr Martin. Petitions received. Tertiary Education Assistance as To the Honourable Speaker and Members of the House of Representatives in Parliament assembled. The petition of undersigned students, parents, teachers and citizens of endeavour to susAustralia respectfully showeth: That the decision of the Government to withdraw aU offinancialassistance to students of non-State tertiary institutions in the main, business colleges, is in total conflict to many with stated Government education policy. The decision will result in a shonage of places for training secretarial and clerical students and an inordinate demand and upon the State Government technical education systems. are At atimeof severe economic disruption, this action must lead to an unnecessary worsening of the current employment to ask the Aussituation for school leavers. Your petitioners, therefore, humbly pray that the Commonwealth Government will act immediately to reverse its holding a Pensioners decision. And your petitioners as in duty bound will ever pray, by Mr Cadman. Petition received. Tertiary Education Assistance To the Speaker and Members of the House of Representatives assembled. The humble petition of the undersigned citizens (students, parents, teachers) of Australia respectfully showeth: That the decision by the Government to withdraw all assistance to students of non-State Tertiary is in total conflict with stated Government education policy. The decision will result in a shonage of places for training secretarial and clerical students and an inordinate demand upon the State Government education system. At a time of severe economic disruption, this action must to a serious worsening of the current employment siturespectfully ation, particularly school leavers. Your petitioners, therefore, humbly pray that the Federal Government will act immediately to reverse its decision. And your petitioners as in duty bound will ever pray, and heard by many chilby Mr Hyde. Petition received. South Africa: Death of Mr Steve Biko To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble petition of the undersigned citizens of Australia respectfully showeth: That on 13 September, 1977, Steve Biko, President of the Black Peoples Convention died, aged 30, while being held incommunicado for questioning in detention without trial in South Africa; That this is the 20th death sinular circumstances in South Africa in the last 18 months; and the 44th death of a prisoner while in police custody in recent years; That Steve Biko had been held in detention since August 22; and had previously been and in addition, was under a five-year house arrest and restriction order; That Steve Biko is the acknowledged leader of the black people's resistance to apartheid, racial exploitation and injustice in South Africa, and the hands of the white police must be regarded with grave suspicion; Your petitioners accordingly request the Australian Government to register the strongest protest to the South African Government at the circumstances of Biko's death and decline to accept the credentials of the new South African ambassador due to appointed shortly. And your petitioners as in duty bound will ever pray, by Mr Hurford. Petition received. Industries Assistance Commission: Report on purchase To the Honourable the Speaker and Members of the House cision of Representatives in Parliament petition of undersigned citizens of Australia respectfully showeth: That Swedish Knitting Mills, an Australian manufacturer of high quality knitted goods, provides secure employment for 54 people, which would be threatened by any reduction of government support Your petitioners therefore humbly pray that the recomTo mendations of the Industries Assistance Commission report on clothing not be implemented. And your petitioners as in duty bound will ever pray, NA Petition received. Hearing Impaired Citizens: Special Telephone To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble g etition of certain members of the Australian Association etter Hearing, and other citizens of showeth that a financial burden is imposed on hearing impaired members of the public in that the special telephone equipment, which is essential for such hearing impaired zens to make telephonic communication, is subject to installation costs and rental charges. Your petitioners therefore humbly pray that the Federal Government give every consideration to waiving the installation costs and rental charges equipment required by hearing impaired members of the public. And your petitioners as in duty bound will ever pray, by Mr Charles Jones. Petition received. Hunter Region Working Women's Group To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble petition of the undersigned electors of the Newcastle and Hunter Region respectfully showeth: of a black political prisoner in There be continuing and expanding funding for the Hunter Region Working Women s Group so that it can continue to provide child care, legal aid, community health, welfare and educational services to the women of the Hunter Region. held for 101 days without trial; And your petitioners as in duty bound will ever pray, by Mr Charles Jones. Petition received. that in this context his death in Australian National Gallery: Purchase of Major Artworks To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble petition of the undersigned citizens of Australia respectfully showeth: That Cabinet's decision to reject the Council of the Australian National Gallery's proposal to purchase the Georges Braque painting, Grand Nu, ignores die knowledge and experience of the Council's members. Your petitioners therefore humbly pray that the Council of the Australian National Gallery be granted therightto major works of an within the Gallery's budget Clothing without Cabinet intervention and that Cabinet revoke its deto reject the Council's recommendation to purchase assembled. The humble the Grand Nu. And your petitioners as in duty bound will ever pray, by Mr Morris. Petition received. Uranium the Honourable Speaker and Members of the House of Representatives in ParUament assembled. The humble petition of the undersigned citizens respectfully showeth. 1. That the undersigned do not support the Federal Government's decision to go ahead with extensive mining and export of Australian uranium. 2. That the undersigned call on the Federal Government to reverse its decision immediately. Equipment 3. That the undersigned call on the Federal Government to fund a 12 month full-scale program of public education and debate representing all points of view on the numerous and complex questions associated with the mining of Ausfor traUan uranium. This program should be commenced as Australia, respectfully soon as practicable. 4. That the undersigned call on the Federal Government citito allow the final decision on the mining of Australian uranium to be made through a voluntary referendum by the people of Australia at the end of the 12 month full-scale program of pubUc education and debate. And your petitioners as in duty bound will ever pray, of the special telephone by Mr Simon. Petition received. Australian Broadcasting Tribunal To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble petition of the undersigned citizens of Australia respectfully showeth: (1) We protest against any proposed self-regulation of the broadcasting and television media in Australia. (2) The appointment of Mr Gyngell as Chairman of the Australian Broadcasting Tribunal because of his admitted bias. Your petitioners therefore humbly pray that no selfregulation is implemented and Mr Gyngell be dismissed as Chairman of the Australian Broadcasting Tribunal. And your petitioners as in duty bound will ever pray, by Mr Antony Whitlam. Petition received. QUESTIONS WITHOUT NOTICE WATER PROJECTS - BURDEKIN BASIN horse, would for Mr E. G. Whitlam-I ask the Minister for National Resources a question which arises from the debate on water projects which he missed yesterday. The question especially concerns the SpeakerBurdekin Project Committee's report in June which stated that the choice between the Burdekin Falls and the Urannah dam sites to meet projected water requirements for agriculture, mdustry and urban supplies in the Burdekin ley and Townsville region, revolved around the future role of hydro-power generation Queensland electricity supply network. I ask: Have the Australian Government and the the Mr Queensland Government yet discussed this basic he brings upon himself. question, as the Committee described it? If so, with what result? If the Governments have not discussed it, when will they do so in view of the that. critical water requirements established by the Committee? Mr Speaker, I am also told that thewithdraw. Committee's report has not been tabled in the Parliament. I ask why that has not happened.",14
2,Mr ANTHONY,"I am deUghted that the Leader of the Opposition has this new-found withdraw. interest in water resources. After the performance of his Government of slowly eliminating national program of water resources starting tofindthat such a program has certain electoral merits. Obviously he is trying to reachonourable tivate some credibility in Queensland an interest in water matters. However, the proposals mentioned by the honourable gendeman were included in a long list of proposals that withdraw. were given to him when in government by the Queensland Government. Of course at that timetion the Labor Government did notfindit appropribe ate to provide funds for these schemes. These matters, along with many other water proposals around Australia, are now being examined by my Department. It is the intention of the Government to come forward with a national water resources policy. I hope that I can make a statement on this matter during the course of this ParUament. GIFT FROM THE PEOPLE'S REPUBLIC OF CHINA",16
3,Mr WENTWORTH,"Mr Speaker, my question is directed to you. I refer to the magnificent tapestry picture, the recent gift from the delegates of the People's RepubUc of China to this ParUament. I ask you, Sir: If and when this picture is hung in the House, will you have put under it the appropriate inscription 'Timeo Danaos et dona ferentes', wbich means, 'I fear the Chicoms even when they bring gifts'? While a picture may not present the same physical opportunities concealment as does a wooden it not be prudent, metaphorically speaking, to look behind the picture? Since apparently I am cast in the role of Laocoon in this matter, will you use your authority as",16
4,Mr SPEAKER,Order! The honourable member allegedly is asking a question. I ask him to come to the pomt ofhis question.,16
5,Mr WENTWORTH,I ask: Will you use your authority as Speaker to protect me from the train the ditional consequences? SPEAKER-I am afraid I cannot protect honourable member from the consequences I willMONICA,16
6,Mr WENTWORTH ,I thought it would be Uke,16
7,Mr SPEAKER,The honourable member will,16
8,Mr WENTWORTH ,I did not think it would be Uke that.,16
9,Mr SPEAKER,The honourable member will,16
