Speaker,Text,pageNumbers
NA,"Wednesday, 18 August, ISBi-",12
Mr SPEAKER ,Hon. Archie Cameron),12
NA,"took the chair at 2.30 p.m., and read",12
NA,prayers.,12
NA,OTJBRENCY.,12
Mr DEAN ,Th e question that I,12
NA,address to the Treasurer arises from the,12
NA,judgment recently given in a case in,12
NA,"Melbourne, in which a person was",12
NA,acquitted of a charge of having counter-,12
NA,"feited coins because, in his defence, he",12
NA,said tihat the counterfeit coins would he,12
NA,used in the manufacture of jewellery. Is,12
NA,it possible for the Government to protect,12
NA,the genuine sovereign by causing an,12
NA,« -[14 ],12
NA,amendment to be made to the law so aa to,12
NA,make the counterfeiting of gold coinage a,12
NA,punishable offence ?,12
NA,Sir ARTHUR FADDEN Thia,12
NA,matter is at present the subject of,12
NA,inquiry by officers of the Treasury and,12
NA,the Attotirey-Geheral's Department.,12
NA,"As soon, as a feport is received",12
NA,from theAttorney-General's Depart-,12
NA,"ment, it will he considered by the",12
NA,"Government, which realizes tliat the",12
NA,counterfeiting of gold coins is 'a most,12
NA,important matter that affects not Only,12
NA,Australia but also other members of the,12
NA,British Commonwealth of Nations.,12
NA,BERRY FRUITS.,12
Mr DUTHIE , I remind the Minister,12
NA,for Commerce and Agriculture that a,12
NA,representative meeting of berry fruit,12
NA,interests and members of Patlia',12
NA,ment was held at Hobart on the 28th,12
NA,June last in order to prepare a case in,12
NA,favour of the granting of assistance to,12
NA,"the berry fruit industry in Tasmania,",12
NA,which is threatened with extinction. Can,12
NA,the right honorable gentleman tell me,12
NA,whether any progress is being made in,12
NA,response to representations that have been,12
NA,made to him for the revival and stabiliza-,12
NA,"tion of the industry, as well as for the",12
NA,discovery of new markets for berry,12
NA,fruits at economic prices? The farmers,12
NA,want to know what plans to make for,12
NA,the future.,12
NA,Mr MCEWEIf -Man y representa-,12
NA,tions have been made to the Government,12
NA,on behalf of the berry fruits industry. I n,12
NA,"fact, I can recall Offhand three deputa-",12
NA,tions of Government supporter S f f om both,12
NA,Houses that have been introduced to me.,12
NA,The Government some time ago gave,12
NA,consideration to specific proposals that,12
NA,"were made to it that, having regard to",12
NA,"the problems of certain berry growers,",12
NA,a subsidy Should be paid to them. The,12
NA,Government does not consider that prob-,12
NA,lems of this kind can be solved merely,12
NA,by thc payment of a subsidy ta,12
NA,those who are in need. There-,12
NA,"fore, a close study was made of tbo",12
NA,possibility of devising a commercial,12
NA,solution of the general problem. As,12
NA,a result of the activities of tbe Govern-,12
NA,"ment's trade commissioner service, an",12
NA,interested party was discovered in,12
NA,London and persuaded to come to Aus-,13
NA,- tralia. Last year he bought the whole of,13
NA,the black currant crop. This haa opened,13
NA,a completely new vista f o r the industry.,13
