Speaker,Text,pageNumbers
NA,"House of Representatives,",11
NA,"Thursday, 10 December, 1942.",11
NA,MR . SPEAKER (Hon. W. Iff. Nairn),11
NA,"took tbe chair at 3 p.m., and read",11
NA,prayers.,11
NA,DEATH OF THE HONORABLE,11
NA,W ILLIAMHEN RY LAI RD SMITH . members,11
NA,Mr CUKTIir (Fremantle - Prime,11
NA,Minister) - I deeply regret to inform,11
NA,honorable members of the death of the,11
NA,"Honorable William Henry Laird Smith,",11
NA,a former member of the House of Repre-,11
NA,"sentatives and a Minister of the Crown,",11
NA,"whieh occurred at Buwiie, in somewhat",11
NA,"tragic circumstances, on the 21st October,",11
NA,1942.,11
NA,The late honorable gentleman resigned,11
NA,from a position in the Tasmanian Rail-,11
NA,ways Department to contest the Denison,11
NA,seat in the House of Representatives at,11
NA,"the genera] elections in. 1910, in which",11
NA,he was successful. He was re-elected in,11
NA,"1913, 1914, 1917, and 1919. He was a",11
NA,memiber of the parliamentary party that,11
NA,visited England in 1911 at the invitation,11
NA,of the Government of the united Kingdom,11
NA,on the occasion of the coronation of,11
NA,"King George ""V. He was a member of",11
NA,the Royal Commission on Electoral Laws,11
NA,"in 1914, and of the Public Works Com-",11
NA,mittee from 1914 to 1916 and again from,11
NA,1917 to 1919. He was an Assistant,11
NA,"Minister from November, 1916, to Feb-",11
NA,"ruary, 1917, and an Honorary Minister",11
NA,"from the 3rd February, 1920. He held",11
NA,the portfolio of Minister for the Navy,11
NA,"from the 28th July, 1920, to the 21st",11
NA,"December, 1921. He was defeated at the",11
NA,general election in 1922.,11
NA,Mr Laird Smith subsequently took up,11
NA,farming pursuits in the Burnie district,11
NA,and continued to take an active interest,11
NA,"in public affairs, particularly in relation",11
NA,to the organization of primary industries.,11
NA,He took a leading part in the formation,11
NA,of the now defunct Agricultural Bureau,11
NA,"of Tasmania, and became the first chair-",11
NA,man of tho State Potato Marketing,11
NA,Board. He was also prominent in other,11
NA,public movements. He worked unspar-,11
NA,ingly in the service of his country and,11
NA,was held in the highest esteem by his,11
NA,fellows. T move-,11
NA,That this House records its sincere regret,11
NA,at the death of the Honorable William Henry,11
NA,"Laird Smith, a former member of the House",11
NA,of Representatives for the Division of Denison,11
NA,"and a Minister of the Grown, places on record",11
NA,its appreciation of his meritorious public,11
NA,"service, and tenders its deep sympathy to",11
NA,his widow and adopted sou.,11
Mr HUGHES ,North Sydney-Leade r,11
NA,of the United Australia party) - I,11
NA,second the motion and associate the,11
NA,of the Opposition and myself,11
NA,with the Prime Minister's expressions of,11
NA,deep Tegret at the death of the late,11
NA,"Honorable W. H . Laird Smith, and of",11
NA,profound sympathy with his widow and,11
NA,adopted son.,11
NA,The news of his death came as a great,11
NA,shock to me. During all the years we,11
NA,were associated I never knew 'him to,11
NA,be i l l ; he always seemed to me to be,11
NA,the embodiment of radiant health.,12
NA,"Physically, he was a magnificent speci-",12
NA,men of manhood. Of all the men I have,12
NA,known in public life he seemed to me the,12
NA,one destined to outlive his contem-,12
NA,poraries.,12
NA,"He was my colleague for many years,",12
NA,and I entertained for him feelings of pro-,12
NA,found esteem and warm affection. I n,12
NA,"and out of office, I found him to be",12
NA,honorable and upright. He was a forth-,12
NA,right man-on e who spoke his mind,12
NA,freelyHe held definite opinions which,12
NA,he did not fear to declare to the world.,12
NA,"What he believed in he fought for, and",12
NA,he never feared to speak his mind. His,12
NA,character may be summed up in the,12
NA,"phrase-""H e faced life boldly"".",12
NA,Mr Laird Smith was as firm in his,12
NA,friendships as he was in his beliefs. He,12
NA,was no fair-weather friend; but a man,12
NA,"who, in the darkest hour when the storm",12
NA,"raged fiercely, was ever at one's side. He",12
NA,had a genial disposition. He made no,12
NA,personal enemies. Although he met life,12
NA,boldly he met it with a smile. He was,12
NA,a very manly man. There was nothing,12
NA,petty or mean about him. I n and out of,12
NA,Parliament he served his country faith-,12
NA,"fully and with great ability. His death,",12
NA,which will be deeply regretted by the,12
NA,"people of hig State, robs me of a dear",12
NA,"friend, whose loss I sincerely mourn.",12
NA,"Question resolved in the affirmative,",12
NA,honorable members standing in their,12
NA,places.,12
NA,INTERNATIONAL AFFAIRS. Port,12
NA,REVIEW OF WAR SITUATION.,12
NA,MT. CURTIN (Fremantle - Prime,12
NA,Minister) -b y leave-Whe n the House,12
NA,adjourned on the 9th October I stated,12
NA,that the Government proposed to call,12
NA,Parliament together before Christmas.,12
NA,"I added that, if the war situation necessi-",12
NA,"tated it, an early sitting would be held.",12
NA,"As I announced on the 13th November, it",12
NA,was decided to summon Parliament for a,12
NA,"meeting extending over two days, in order",12
NA,that honorable members might hear and,12
NA,discuss a statement on the position of the,12
NA,"war. As stated at the time, it is not the",12
NA,intention of the Government to submit,12
NA,any legislative proposals to Parliament.,12
NA,I now propose to give to honorable mem-,12
NA,bers a brief review of the important de-,12
NA,velopments which have taken place i n the,12
NA,war situation since the House last met.,12
NA,The battle to drive the Japanese back,12
NA,over the Owen Stanley Range and out of,12
NA,the south-eastern part of New Guinea has,12
NA,been fought in one of tbe most difficult,12
NA,campaigning areas in the world. The ter-,12
NA,rain has been described by General,12
NA,"MACArthur as "" incredibly difficult"" and",12
NA,"presenting "" almost insuperable complica-",12
NA,"tions in the maintenance of supply lines "".",12
NA,The Australian and United States forces,12
NA,have had to endure extreme hardships in,12
NA,one of the worst tropical climates. I n,12
NA,addition to the strain imposed by the,12
NA,"nature of the country and climate, these",12
NA,troops have had to withstand the inci-,12
NA,"dence of malaria, though every endeavour",12
NA,h made to minimize the risk of thi.*,12
NA,"illness. Finally, -under conditions to",12
NA,which white men do not readily become,12
NA,"inured, these troops have had to fight",12
NA,against no mean foe. Nevertheless -the,12
NA,"allied troops have fought tenaciously, gal-",12
NA,"lantly, and, most important of all, vic-",12
NA,toriously. I pay a tribute to these men,12
NA,"and totobeirdistinguished leaders, General",12
NA,"MACArthur, Commander-in-Chief, South-",12
NA,"west Pacific area; General Blamey, Com-",12
NA,mander of the Allied Land Forces; and,12
NA,"General Kenney, Commander of the",12
NA,"Allied Air Forces. To them, to the sub-",12
NA,"ordinate commanders, and to the officers",12
NA,and men of the Australian and United,12
NA,"States forces, Australia owes a debt of",12
NA,gratitude.,12
NA,I have said on an earlier occasion that,12
NA,Moresby is a vital key-point in the,12
NA,defence of Australia against an attack,12
NA,from the north-east where the main Jap-,12
NA,anese bases lie. Its possession by the,12
NA,"enemy would open the way for a direct,",12
NA,attack on the mainland of Australia. The,12
NA,landward defence line of Port Moresbj,12
NA,is tbe Owen Stanley Range. The Jap-,12
NA,anese first made an effort to turn its left,12
NA,"flank from Lae and Salamaua, but this",12
NA,was unsuccessful. They then launched a,12
NA,"sea-borne attack against its rear, but this",12
NA,was repulsed by the Battle of the Coral,12
NA,Sea. A frontal attack was then attempted,12
NA,"by way of Buna, Gona and Kokoda, but",12
NA,this had largely spent inself by the time,12
NA,it had reached Ioribaiwa. The next effort,12
NA,of tbe enemy was an attempt to turn the,12
NA,right flank by a surprise attack at Milne,12
NA,"Bay, but this move had been anticipated,",13
NA,and was frustrated. Provided the flank,13
NA,our defence line in New Guinea is not,13
NA,turned by the southward advance of the,13
NA,Japanese in the other islands to the east,13
NA,"of Australia, the Owen Stanley Range",13
NA,remains the front line defence of eastern,13
NA,Australia. We have experienced fluctu-,13
NA,ating fortunes in the land campaign in,13
NA,New Guinea. I n the early stages the,13
NA,"fight went against us, and there wen",13
NA,many criticisms of the commanders' con-,13
NA,duct of the operations. The results pro-,13
NA,"vide a complete answer, but there are",13
NA,one or two aspects of the operations to,13
NA,which I shall refer.,13
NA,"First, the operations at Milne Bay.",13
NA,Plans had been drawn up by the High,13
NA,Command for the establishment of a,13
NA,strongly defended base at Milne Bay long,13
NA,before the Japanese landed at Gona and,13
NA,Buna. Tbe High Command had anti-,13
NA,"cipated the Japanese attack on Milne Bay,",13
NA,and when it came we were ready. A few,13
NA,days of sharp fighting brought a com-,13
NA,plete Australian victory. The Japanese,13
NA,evacuated such of their surviving forces,13
NA,"as they could, while the remnants scat-",13
NA,tered in the jungle and have since been,13
NA,mopped up. The success of this operation,13
NA,lay in the absolute secrecy that was,13
NA,ensured in the movement of forces to this,13
NA,area. The Government was fully aware,13
NA,of the move. I t was known also to,13
NA,members of the Advisory War Council.,13
NA,The second aspect is the counter-,13
NA,offensive against the Japanese. Prior to,13
NA,the launching of our attack from Iori-,13
NA,"baiwa towards the end of September, we",13
NA,had marshalled considerable forces in,13
NA,New Guinea. Actually we had more than,13
NA,doubled the strength of the land forces,13
NA,that were there in the early stages of the,13
NA,campaign. There had also been a trans-,13
NA,"formation in air strength, amounting to",13
NA,multiplication of air forces and aero-,13
NA,"dromes. All of this was, of course, highly",13
NA,secret information. The High Command,13
NA,had drawn up plans for an outflanking,13
NA,"movement against the Japanese, and bases",13
NA,were established on the north-eastern,13
NA,"coast of New Guinea, to which American",13
NA,troops in considerable strength were,13
NA,transported by air. These troops attacked,13
NA,"Buna from the right, whilst other",13
NA,American units joined up with Aus-,13
NA,Mr Cwrtin.,13
NA,tralian troops in a frontal.assault. Con-,13
NA,"of currently with this, Australian forces",13
NA,attacked Gona. These plans had been,13
NA,formulated before the critics had voiced,13
NA,"their opinions, and, while they were urg-",13
NA,"ing outflanking movements and the like,",13
NA,the High Command was pushing ahead,13
NA,with its preparations. As Mr Churchill,13
NA,"recently explained, it takes considerable",13
NA,time to marshal forces and supplies to,13
NA,mount an offensive. What may appear,13
NA,to be a period of inaction is really one of,13
NA,intense activity covered by a veil of,13
NA,secrecy.,13
NA,"I n actual fact, had two brigades of the",13
NA,"Sixth Division, Australian Imperial",13
NA,"Force, not been diverted - to the defence",13
NA,of Ceylon on their way home from the,13
NA,"Middle East, the Commander-in-Chief",13
NA,would have had these additional resources,13
NA,of battle-trained troops for the defence of,13
NA,New Guinea. Australian troops were the,13
NA,onlv forces readily available to meet a,13
NA,critical situation in the defence of a,13
NA,vital base in the Indian Ocean. The,13
NA,Government readily agreed to the request,13
NA,and the Advisory War Council endorsed,13
NA,the decision. The full facts of the posi-,13
NA,tion could not be disclosed at the time,13
NA,without prejudicing our own interests,13
NA,and benefiting those of the enemy.,13
NA,I would make these observations: I t,13
NA,is a misrepresentation of the spirit of,13
NA,the Australian people and the Anzac,13
NA,tradition to cry out when things appear,13
NA,to be going against us. I t is premature,13
NA,for critics to rush in and criticize a phase,13
NA,of an operation as though it were the,13
NA,whole campaign that was being decided.,13
NA,The Government has all the facts before,13
NA,it. I f it is dissatisfied with the com-,13
NA,"manders, it will take appropriate action.",13
NA,"Unless and until that position arises, it",13
NA,will place the fullest confidence in tbe,13
NA,"commanders and the troops under them,",13
NA,and give them the utmost support against,13
NA,ill-informed or unwarranted criticism.,13
