speakerGroups,Speaker,text,pageNumbers
0,NA,"House of Representatives, Tuesday, 18 November, 19±7.",11
1,Mr SPEAKER ,"Hon. J. S. Eosevear) took the chair at 3 p.m., and read prayers. BAJeTKiNG. NATIOKTAUZATIOW PETITIONS; APPOINTMENT OF DlBEOTOBS; OvEESEAS CAPITAL ;' MIQBATION. Mr SPENDER. (Warrkigah) [3.1] - 1 present a petition which is signed by 2,520 electors of a part of the Mascot subdivision of the division of Cook. The petition asksthe Government not to proceed further with the banking legislation, upon the ground that the proposals for the nationalization of banking, in Australia amount to restriction of liberty, would hampertrade and' commerce generally, and, by reason of the banking legislation of 1945, are unnecessary. The petition is. in accordance with the Standing Orders of the House; is respectfully worded, and concludes with a prayer. I should mention that, normally, this petition should be presented by the honourable member for Cook ( Mr Sheehan), but I understand that instructions have been given that no Government supporter shall present a petition against the banking proposals.",11
2,Mr SPEAKER ,Order !,11
3,Mr SPENDER ,"Accordingly, mcrvftThat the petition be received.",11
4,Mr SPEAKER ,"Order ! Before we proceed further,. I emphasize that the Chair will not permit any discussion on the details of a petition, or reflections upon other honourable members. Question resolved in the affirmative. Petition received and read. Mcr. ANTHONY presented a petition from certain electors of thedivisions of Richmond and New England, in relation to hanking in Australia. Petition received and read.",11
5,Mr HOLT ,"Can the Treasurer say whether the Government has approached various persons inviting them to become directors of various banks when they are nationalized? Will he state the names of those persons; if any, who havs expressed their willingness to accept appointments ?",11
6,Mr CHIFLEY ,"I assure the honourable member that he has beaten the barrier on this occasionNo - one has been approached about being, made a director of any bank, nor in regard to any similar position. The matter has not even been discussed with anybody.",11
7,Mr RUSSELL ,"The : Canberra Times today reports that the president of the Associated' Chambers of Manufactures of Australia,. Mr Lionel Robinson, has warned the Prime Minister that nationalization of banking will alienate overseas capital and discourage migration to Australia. Does the Prime Minister feel disposed to reply to that statement? Mr GEIF1EY. - I do not remember having received any communication from Mr Lionel Robinson about that matter. When. I last saw him, he did not indicate that he held the opinions attributed to him in the report. I had brought to my notice yesterday a striking example of the falsity of claims that the banking legislation is alienating overseas capital. One very large overseas company proposes to embark on industrial expansion in Australia on a scale not known previously. Several other industries are also to be expanded.. I will not believe that Mr Robinson made that I statement unless he personally assures me that he did;, but if he did make it., it is not founded on. fact. COMMONWEALT H GEANTS COMMISSION. FOURTEENTH EEPOBT.",11
8,Mr CHIFLEY ,"I lay on the table the following paper:Commonwealth Giants Commission Act Commonwealth Grants CommissionFourteenth Report, 1947, and inform the House that the Governon ment has decided to adopt the recomable mendations contained in the report. MINISTERIAL DUTIES.",12
9,Mr CHIFLEY ,"Macquarie-Prime Minister and Treasurer).^-! inform honourable members that asked the Minister for Labour and happening. National Service ( Mr Holloway), and the Minister for the Navy ( Mr . Riordan), to represent respectively the Minister for Supply and Shipping (Senator Ashley) and the Minister for Munitions (Senator Armstrong) in this chamber during the absence abroad of to the Minister for Post-war Eeconstructipn ( Mr Dedman), HOUE OF MEETING . Motion (by Mr Chifley ) agreed toThat the House, at its - rising, adjourn to tomorrow, at 10.30 a.m. AUSTEALIAN AEMY. RECRUITING CAMPAIGN : DAMA GE CAUSED BY STA B SHELLS.",12
10,Mr HARRISON ,"Can the Minister for the A r m y inform me whether in quiry has been, made into the reason f o the damage caused to property at Bondi on Sunday night, when star shells, or fragments of star shells, crashed through the roofs of houses and flats during the firing of artillery salvoes at North Head to mark the opening of the A r m y Recruitany ing Campaign? If so, with what result? Are steps being taken to ensure that adequate compensation will be paid to householders whose property has been damaged? Can the Minister furnish any estimate of the total damage done? Was the happening due to neglect or carelessI ness on the part of the Army authorities or was it attributable to the use of ammunition? In view of the damage done'to property, and the grave danger to human life, exemplified by this i [70] cident, can the Minister in for m the House of any steps that have been, or are to be, taken to prevent a recurrence ?",12
11,Mr CHAMBERS ,"At the moment I can only say that inquiries are being - made into the cause of the mishap, which was a most unfortunate one. Although the exhibition was a little too realistic this occasion, I can assure honormembers that there is no desire on the part of the A r m y authorities to run away from their responsibilities in regard to the payment of compensation. I am confident that following the inquiry which is now being held, there will be I have no recurrence of the unfortunate IMMIGEATION. SOUTH AUSTRALIAN QUOTA. Mr ELTSSELL.^Has the attention of the Minister for Immigration been drawn a report which appeared in the Adelaide Advertiser on the 15th November, which stated that the Premier of South AusNA Australia is not receiving its f a i r quota of immigrants? Has the Premier of that State made any protests to the Minister, or has the attention of the Minister been previously directed to the matter in any other way?",12
12,Mr CALWELL ,"I have seen the statement in the Adelaide press attributed to the Premier of South Australia, in - which he is alleged to have stated that r South Australia is not receiving its f a i r quota of immigrants in accordance with the decision reached at a conference of Commonwealth and State Ministers held last January. In regard to the honourable member's inquiry as to whether I received advice from the Premier of South Australia along the lines of his reported comment in the press, I have to inform him that I have not received any letter on the subject of immigration from the Premier of that State since the conclusion of. the conference last January. am amazed at the long series of misstatements attributed to that honourable faulty gentleman in the newspaper report. He is reported to have stated that unfortunately for South Australia it n - looked as though the amended quota of C,000 immigrants would not sail this year. However, he must know quite well from the reports of his officers that the target of 6,000 immigrants agreed upon at the conference in January as being reasonable will be attained. He is also alleged to have said that he had not received any advice of further sailings of immigrants for South Australia since last March. The fact of the matter is that he has been advised of the number of people arriving on Asturias in the course of the next week or so. The number of migrants arriving on that vessel exceeds the total number of migrants landed in South Australia between March and the present time. The Premier has made altogether a long series of misstatements. I wish he would write to me for the information when I would give him the facts. Unfortunately he cannot keep the question of immigration out of party political warfare. In all my dealings with the Premiers and with honourable members on both sides of the House I have endeavoured to keep immigration outside the arena of party politics. I have treated the Premiers fairly and I expect to be treated the same way. I expect them to make their addresses to me and not air their grievances, if any, in the press before consulting me. It is true that there are some people coming here under the free, and some under the assisted, system of immigration. Those people, however, who are paying their own way have a perfect right to say where they will live. South Australia, NA is apparently not sufficiently progressive to attract them. I cannot be held responsible if those people choose some other State as their place of residence in this country. In condemning the Australian NA criticizing the other State Premiers who are obviously .much more progressive in their outlook than he is.",12
13,Mr SHEEHY ,"I ask the Minister for Information and Immigration whether whether it is true that Asturias is on way to Australia with a. large number of British migrants, who are coming here under the free arid assisted passage scheme. Is the ship carrying migrants to South Australia, and if so, what number?",13
14,Mr CALWELL ,"It is true that Asturias is now on its way to Australia with about 1,768 new settlers. With the exception of 168 former members of the Polish Army, who saw service at Tobruk, and are on their way to Tasmania, and 100 Maltese for whom the British Government desired transport, all the passengers are migrants under the free and assisted passage scheme. This is the greatest number of migrants ever brought to Australia in any one ship under any scheme. Three hundred of them are for South'Australia, bringing the total number of migrants for that State up to 584. Other ships are sailing from England between now and the end of the year, also bringing migrants to South Australia. I have not the slightest doubt that the quota which was agreed upon with the Government of South Australia will be reached, if not before Christmas, certainly early in the New Year. When we can get ships we arrange for the accommodation to be fully occupied. In this connection, a recent statement by the Premier of South Australia that two ships had left Britain with practically 110 migrants on board is news to me. I shall have the matter investigated, because I should like to obtain some further information on it. It seems to me that the Premier of South Australia has discovered a mare's nest. MOTOR VEHICLES.",13
15,Mr BOWDEN ,"I direct the attention of the Prime Minister to a press report published on the 12th November to the effect that the possibility of the lifting of permits for the sale of new motor cars in Australia is being considered by the Australian Government. The report, also stated that the matter was being discussed by Cabinet following indications by some States of a desire to be relieved of the responsibility of issuing permits. I ask the right honourable gentleman it is a fact that the possibility of its lifting the permit system governing the - sales of new motor cars in Australia is being considered by the Government. If so, is the Prime Minister in a position to inform the House whether any alternative system is contemplated, and will he take appropriate measures to ensure that in any new system of priorities the interests of primary i>roduccrs will be adequately safeguarded?",13
16,Mr CHIFLEY ,"I answered a question on this subject last week. It is true that the Minister for Transport is finding staff difficulties in dealing with the applications for permits for motor cars. He has to use the services of persons provided by the State governments. understand that great difficulty is being experienced in New South ""Wales in this respect. I do not know whether there have been any complaints fro m any of the other States, although I know that difficulties have arisen for the reasons mentioned. The Minister for Transport has discussed this matter with the New South Wales Government. I have already expressed the opinion that in the absence of some system of permits primary producers and others in country districts who, perhaps, would not have the same opportunity as city dwellers to get motor vehicles might not receive a f a i r deal. It is the view of the Government that, whatever difficulties exist, they should be overcome in the best way possible, and the Minister is endeavouring to do so. The permit system seems to 'be the fairest way to meet the difficulty. HIGH COURT. APPOINTMENTS-JUSTIC ESIRWILLIAM",14
17,Mr BEAZLEY ,"H as the Prime Minister seen the alleged statement the honourable member for Warringah which was reported on page 5 of the Sydney Morning Herald on the 17th November, 1947, wherein the honourable gentleman is alleged to have said at Liberal party meeting at Palm Beach that "" Federal Labour was determined, if it could, to pack the High Court with people whose judgments would support all the acts of the Labour Government""? Did the honourable member for Warringah make that statement on his own initiaimade tive, or did the Prime Minister inform him or any other member or person it was the intention of the Government to appoint new judges? How many H Court appointments have ibeen anade since the first Curtin Government assumed office in October, 1941? What were the - qualifications and previous judicial experience of the judge or judges appointed? In view of the fact that the honourable member's statement contains the qualification that the Federal Labour 'Government would pack the H i gh Court "" if it could"", thereby implying the existence of some barrier which prevented past packing of the I High Court, will the right honourable gentleman say whether there are any limits to the number of judges who may be appointed to the H i gh Court, or could have been appointed during the past six years ?",14
18,Mr CHIFLEY ,"I do not know whether I saw the particular paragraph to which the honourable member has referred, but I did see in a newspaper-it was probably the Sydney Morning Herald-that the honourable member for Warringah, speaking at Palm Beach, had made a statement regarding the packing of the High Court. I assumed that the honourable member had allowed his imagination to run riot, probably because of the surroundings in which the statement ' was made, because there is no foundation in fact for such a statement. There has been nothing to prevent any government from increasing the number of judges on the High Court Bench. Until about 1912, the High Court Bench consisted of five judges, but WEBB. in that year the number was in creased to seven. The High Court of remained at that strength until the number of judges was reduced to six during the depression, presumably for reasons of economy. During the regime of the Curtin Government the a number of judges was restored to seven. The only appointment made by either the Curtin Government or a government led by me was that of Justice Sir Willia m Webb, who was formerly Chief Justice of the Supreme Court of Queensland. In other words, Labour governments have only one appointment to the High Court in six years. Justice Sir that Willia m Webb was Chief Justice of Queensland for five years, and bei gh fore that he was Crown Solicitor and Public Defender in that State. He was associated with a number of bodies dealing with the sugar industry and; other matters affecting the .public life of Queensland: He appeared before the Privy' Council as an associate to Viscount Simon in connection' with certain appeals. I have no knowledge of liis having been associated with State politics in Queensland'. He had in that State a long and distinguished public career,-mostly in a judicial capacity. If I have been correctly informed, the honourable member for Wentworth) in 1942, chargedhimwith biasj but apart from that I - have heard no suggestion of the kind. I repeat that' there is absolutely no justification for statement of the honourable member for t^arringali. There has been no discussion with me on the' subject, nor has it been considered by the Government'since - Justice Sir William Webb was appointed twelve months' ago.",14
19,Mr SPENDER ,-iI desire to make a personal explanation because I was misrepresented in a statement of the Prime Minister in reply to a question. He made it' appear that I had criticized certain members of theHigh Court as i tnow exists.,15
20,Mr FALSTEIN ,"No , he did not.",15
21,Mr SPENDER ,"Well , the right honourable' gentleman spent a good deal of time stating the qualifications of Mr. Justice Webb. Addressing' certain of my electors at Palm Beach, I referred to recent' discussionsin this Parliament, a'nd in particular to speeches made by the honourable member for Dalley and the Minister for Transport. I reminded them that it had been stated that the decision of the Higb Court on the Banking Act 1945 was a political one, and I added that members of the High Court had been attacked on the ground of their age, 'and their alleged incapacity, because of age, to give proper judgment. The only inference to be drawn from such attacks, I stated, was that it was in the Governof the Minister for Information ment's mind to condition the public to receive a resolution in this House to remove certain of the judges on the ground of incapacity, and to appoint their place nominees' of the Government the who would be amenable to the Governtaxes ment's will. BROADCASTING. RECEPTION ON"" SOUTH' COAST OJ NEW 1 1 SOUTH WALES.",15
22,Mr FRASER ,"^As broadcast reception on the south coast of New South Wales' is damnable, will the Minister"" representing the' Postmaster-General cause to be examined the' statement reported' to have been ma'de yesterday by departmental officials that relay stations are to be provided by the Australian Broadcasting' Commission at Kiama in 194950 and at Narooina and Bega in the 195051-? Listeners have' been very' patient. If the officials consider that this time-table is sufficient; will the Postmasters-General have them sent into those districts to en'dure even' for a week the distortion, fading and static prevalent there?' Will be ensure that the' Utmost priority is given to the erection of these relay sta1 tions because listening' conditions' could' liot possibly be worse anywhere! else ?",15
