speakerGroups,Speaker,text,pageNumbers
0,NA,"?§ouse of Ksprfsmtatftes. Friday, 4 June, 1915. Mr SPEAKER took the chair at 10.S0 a.m., and read prayers. SHORTA GE OF FOOD SUPPLIES . Mr J . H . CATT 3",4
1,Mr JH CATTS ,"Can the Ministe i of Trade and Customs state the consumption per week per head of the population of the Commonwealth of bread, butter, meat, and sugar, and can he inform the House what has been the movement in the prices of these commodities of late, and what any increase amounts to per head of population, or in the aggregate !",4
2,Mr TUDOR ,"The honourable member mentioned this matter to me last night, aDd as I had been in conversation on the subject with an officer of the Commerce Branch, I was able to procure the in formation contained in the following abatement:AVERAGE COKSOMPCTON, AND AVERAGE KETAII. PRICES 1914 aud 1915, IN THE COMMONWEALTH, ov SUGAR, MEAT, BUTTER, BREAD. The followingfiguresshow the average amount of foodstuffs consumed per bead of the population of the Commonwealth :Average amount of Sugar consumed per head of population 2 lbs. per week. Average pricesI Sth April, f 914 ... 2.70d. per lb. 15th April, 1915 ... 2.72d. per lb. Average amount of Meat consumed per head of population 4 lbs. per week. Average prices Commonwealth- Shoulder Rib Beef Mutton 15th April, 1914 5.7d per lb. 4.8d.perlb. l.ith April, 1915 6.4d. „ 5.4d. „ Melbourne January, 1915 Averagefid.per lb. 18th May, 1915 Average 8d. per lb. Average amount of Kntter consumed per head of population Jib. per week. Average pricesCommonwealthIflth April. 1914 Is. Sd. per lb. 15th April, 1915 Is. 7d. per lb. MelbourneJanuary, 1915 Is. per lb. 18th May, 1916 IB. l i d . per lb. Average amount of Bread conOne 4-lb. loaf sumed per head of population per week. Average pricesCouunonwealth15th April 1914 7.fid. per 4-lb.loaf. 15th April, 1915 9. 7d. per 4-lb. loaf. 1 may add that the Commonwealth Statistician gives the average consumption of meat per head per week as 5 lbs., and of sugar as 2£ lbs., h u t in the estimate I have taken only 4 lbs. of meat and 2 lbs. of sugar. The prices mentioned in the statement just read are the retail prices in every case. OMISSIONFROMNOTICE - PAPE R. - I wish to ask you a question, Mr Speaker, regarding an omission from the notice-paper. Yesterday I moved an amendment on the motion that MT . Speaker do now leave the chair, and the House resolve itself into Committee of Supply. The amendment dealt with the providing of the necessaries of life for the masses of the people' at reasonable prices. . A f t e r debate, its discussion was adjourned. I submit that my amendment should appear on the notice-paper for the next day of sitting upon which it can be considered, but it does not appear at all. Not having been disposed of, ib ought not, I think, to have been removed from the business-paper.",4
3,Mr SPEAKER ,"The honourable member is not in order in commenting on the subject-matter of his question. omission of the amendment from the notice-paper is in accordance with the practice of this House, and of the House of Commons. The procedure adopted on this occasion has always been followed. Standing order No. 241 provides that after the Committee of Supply or Ways and Means has reported progress, the Speaker shall leave the chair without putting any question when the Order of the Day is read, except that on every third Thursday the first Order of the Day shall be either Supply or Ways and Means, and the question shall be proposed that the Speaker do now leave the chair. This not being the third Thursday, when the Order of the Day is read, the Speaker must leave the chair without any question being proposed, therefore the amendment has to be removed from the Orders of the Day. This is the procedure of the House of Commons as is shown in the following passage in May, page 610If an adjourned debate on the question is standing upon the notice-paper when supply, for the consideration of which in Committee it is not necessary to propose the question for the Speaker's leaving the chair, is to be taken, the order of the day for resuming the adjourned debate is removed, and procedure on the amendment lapses, in order that the Speaker, in obedience to the standing order, may leave the chair without question put.",5
4,Mr JH CATTS ,Do I understand that my proposition will not come before the House again?,5
5,Mr SPEAKER ,That is so; it has lapsed.,5
6,Mr JH CATTS ,"B y leave of the. House, I wish to make an explanation regarding the amendment. The Minister of Trade and Customs, when speaking to it , said that he would submit it to the Cabinet if I would promise to withdraw it , and I thereupon prepared a short statement in writing which I proposed to put before the House when asking leave to withdraw ib. I had no desire to prevent any honourable member from expressing his opinion upon it . That statement, which I hold in my hand, is to the effect that the Minister is prepared to submit the matter to the favourable consideration of the Government, and that the decision of Ministers upon it would be announced to the House. I considered that the purpose of my amendment would be largely achieved by that promise. I do not doubt the Minister; but I did not want any misunderThe standing of what was in his and my own mind. As I have not been able to put before the House the statement to which I refer, and my proposal having been disposed of in a way not anticipated, I ask the Minister if he will take the course mentioned?",5
7,Mr TUDOR ,"I promised the honourable member, in the course of my remarks yesberday, to inform the Government of the amendment.",5
8,Mr JH CATTS ,The Minister said more than that.,5
9,Mr TUDOR ,"I shall do what I promised. I shall put the amendment before the Cabinet. I feel sure that every Minister, and every honourable member of the House, is anxious to do all that can be done to reduce the cost of living. PEMALETELEPHONE OPERATORS.",5
10,Mr FENTON ,"I ask the Postmaster General if young women telephone operators are employed at the Sydney Post Office all night, and if it is intended to adopt the same practice in Melbourne?",5
11,Mr SPENCE ,"I do not think that young women are employed all night at the Sydney General Post Office, but I shall inquire. Women are employed all night at the Adelaide General Post Office ab their own request. CENSORSHIP OF NEWS .",5
