Speaker,Text,pageNumbers
NA,"Wednesday, 11 May 2011",19
NA,The SPEAKER ( Mr Harry Jenkins),19
NA,"took the chair at 09:00, made an",19
NA,acknowledgement of country and read,19
NA,prayers.,19
NA,Australian Research Council,19
NA,Amendment Bill (No. 2) 2010,19
NA,Broadcasting Legislation Amendment,19
NA,(Digital Dividend and Other,19
NA,Measures) Bill 2011,19
NA,Returned from Senate,19
NA,Messages received from the Senate,19
NA,returning the bills without amendment or,19
NA,request.,19
NA,Migration Amendment (Strengthening,19
NA,the Character Test and Other,19
NA,Provisions) Bill 2011,19
NA,First Reading,19
NA,Bill and explanatory memorandum,19
NA,presented by Mr Bowen.,19
NA,Bill read a first time.,19
NA,Second Reading,19
Mr BOWEN ,MCMahon-Minister for,19
NA,Immigration and Citizenship) (09:01): I,19
NA,move:,19
NA,That this bill be now read a second time.,19
NA,The purpose of this bill is to ensure that a,19
NA,visa applicant or holder will fail the character,19
NA,test should they be convicted of any offence,19
NA,committed while they are in immigration,19
NA,detention; and to increase the maximum,19
NA,"penalty for the manufacture, possession, use",19
NA,or distribution of weapons by immigration,19
NA,detainees from three to five years,19
NA,imprisonment. These amendments are,19
NA,proposed in part to address issues arising,19
NA,from the recent criminal damage and riots at,19
NA,the Christmas Island detention centre in,19
NA,March and the Villawood Immigration,19
NA,Detention Centre in April 2011. Major,19
NA,damage was caused to the facilities as a,19
NA,result of these disturbances and there was,19
NA,significant risk of harm to other detainees,19
NA,and to staff at the facilities as well as more,19
NA,broadly to public order and safety.,19
NA,BILLS The bill is also intended to strengthen the,19
NA,powers under the Migration Act to provide a,19
NA,more significant disincentive for this sort of,19
NA,destructive behaviour now and in the future.,19
NA,The new provisions will apply to all people,19
NA,who are or have been in immigration,19
NA,"detention: onshore and offshore arrivals,",19
NA,"asylum seekers, or otherwise.",19
NA,"Under these new provisions, a person who",19
NA,has been convicted of a criminal offence,19
NA,while in immigration detention could be,19
NA,refused a visa or have a visa cancelled. In,19
NA,keeping with Australia's international,19
NA,"protection obligations, in such cases we will",19
NA,not return people to a place where they have,19
NA,a well-founded fear of persecution. Where it,19
NA,is not appropriate to remove people from,19
NA,"Australia because they are owed protection,",19
NA,consideration could be given to the grant of a,19
NA,temporary visa to place them in the,19
NA,community until their removal from,19
NA,Australia is appropriate.,19
NA,The public announcement on 26 April,19
NA,2011 of this legislative change put all,19
NA,detainees on notice that the Australian,19
NA,government takes criminal behaviour by,19
NA,people in immigration detention very,19
NA,seriously and will take appropriate measures,19
NA,to deal with it.,19
NA,It is essential that anyone convicted of an,19
NA,offence in relation to the recent events at,19
NA,Australian immigration detention centres is,19
NA,covered by these new provisions and has the,19
NA,amended character test applied to them.,19
NA,The Australian community expects there,19
NA,to be consequences for unlawful behaviour.,19
NA,Commencing these amendments to the,19
NA,character test provisions on 26 April 2011,19
NA,ensures this bill delivers those consequences,20
NA,and the government's objectives are met.,20
NA,These changes will apply for the purposes of,20
NA,"making a decision on or after 26 April 2011,",20
NA,whether the conviction or offence concerned,20
NA,"occurred before, on or after that date.",20
NA,The Australian community also expects,20
NA,noncitizens who seek to remain in Australia,20
NA,to be of good character. To meet this,20
NA,"expectation, the government must not only",20
NA,have the ability to act decisively and,20
NA,"effectively, wherever necessary, to deal with",20
NA,criminal behaviour by immigration,20
NA,"detainees, but also have the legislative basis",20
NA,"to effect a refusal to grant a visa, or a",20
NA,"cancellation of a visa, for those noncitizens",20
NA,who are not of good character. The,20
NA,government must be able to remove those,20
NA,noncitizens who have convictions for crimes,20
NA,committed in immigration detention in,20
NA,Australia where possible and consistent with,20
NA,our international obligations.,20
NA,"Among other things, section 501 of the",20
NA,Migration Act currently deals with matters,20
NA,that constitute serious criminal offences,20
NA,where a person can fail the character test.,20
NA,Noncitizens will fail the character test where,20
NA,they have been sentenced to a term of,20
NA,"imprisonment of 12 months or more, or",20
NA,where the length of several sentences,20
NA,aggregates to two years or more. If a person,20
NA,"fails the character test, this can be used",20
NA,basis for the refusal of a visa application or,20
NA,the cancellation of a visa that is held by a,20
NA,person. The proposed measures will amend,20
NA,the character test in section 501 of the,20
NA,Migration Act so that a person will fail the,20
NA,character test if the person is convicted of,20
NA,any offence committed while they are in,20
