speakerGroups,Speaker,text,pageNumbers
0,NA,"3KHouse of KrprrsrntatibeB. Friday, 13 October, ign. Mr SPEAKER took the chair at 10.30 a.m., and read prayers. POSTMASTER-GENERAL'S DEPARTMENT. TELEGRAPH OPERATORS' DISSATISFACTION - DANGEROU S TELEGRAPH POLESCOMMONWEALTH POSTAGE STAMPS.",13
1,Mr FINLAYSON ,"The information has reached me that considerable dissatisfaction is felt by the telegraph operators in the General Post Office at Brisbane, and it is stated in this morning's newspapers that a similar state of affairs prevails at Sydney, the trouble being due to a regulation issued by the Public Service Commissioner on the subject of broken time. Has the matter come under the notice of the Postmaster-General, and, cause such inquiries' to be made as will satisfy the telegraphists that no unreasonable calls will be made on them in regard to hours?",13
2,Mr THOMAS ,"The policy of the Government is to do away with broken time as much as possible, and everything in reason will be done for the convenience of the men in the service, but the public interest must be considered.",13
3,Mr MCWILLIAMS ,"Some two years ago I drew attention to the very dangerous condition of some of the telegraph poles in and about Melbourne, and I think a direct question on the subject was asked by the honourable member for Melbourne. I should now like to know whether the Postmaster General's attention has been drawn to the sad accidents to line repairers, and whether he is aware that some of the poles are in such a state that a stick or umbrella' can be pushed into them? Does the Postmaster General intend to have a full report on the subject, and to explain how it is that the poles have been allowed to remain in this state until repairers have met their death?",13
4,Mr THOMAS ,"My attention has been called to the accidents, which we all regret very much. I must ask the honourable member to give notice of the other question he has asked.",13
5,Mr MCWILLIAMS ,There has been two years' notice of the question already.,13
6,Mr HIGGS ,"Will the Postmaster General depart from his usual practice of asking for notice, and inform me what has been done with regard to the designs for Commonwealth postage stamps?",13
7,Mr THOMAS ,"Application s for designs were asked for, and an expert Board was appointed to judge them. It made its report, and although the Government does not bind itself to adopt the designs declared by the Board to be the best, it has paid the prize money to those who submitted them. We hold ourselves free to adopt those, or any other designs. DIRECTOR OF PHYSICAL CULTURE.",13
8,Mr RYRIE ,Will the Minister repre. senting the Minister of Defence arrange for the laying on the table of all papers reNA to the position of Director of Physical Culture ?,13
9,Mr FRAZER ,"I shall speak to the Minister on the subject. I do not think there will be any objection to the produci f so, will he tion of the papers. PRIVATE MEMBERS' BUSINESS.",13
10,Mr MASSYGREENE ,"Was it not understood yesterdav, when members consented to give up the time usually allotted to private business, that the Government would later afford an opportunity for the discussion of that business? Will the Government afford that opportunity today?",13
11,Mr FISHER ,"I promised to give an opportunity for the discussion of private business, and the promise will be kept. I did not think that the whole of yesterday's sitting would be occupied with the consideration of the Supply Bill.",14
12,Mr MASSYGREENE ,When will an opportunity be given for the consideration of private members' business?,14
13,Mr FISHER ,On some occasion which will suit both the Government and private members. SMALL ARMS FACTORY.,14
14,Sir JOHN FORREST ,"Will the Minister representing the Minister of Defence arrange to place on the table a statement showing the exact position of affairs in connection with the Small Arms Factory at Lithgow? A number of questions have been asked, and we should have some definite information."" I want to know how much the contractors are behind their time, and when finality will be reached.",14
15,Mr FRAZER ,"If the right honourable member will ask definite questions, the Minister will reply to them, and if he is not satisfied with the answers, I promise to make a statement during the consideration of the Estimates which I think will satisfy him.",14
16,Sir JOHN FORREST ,When will the factory be finished?,14
17,Mr FRAZER ,"I cannot say off-hand, but I shall obtain the fullest information. NORTHERN TERRITORY LIQUOR LICENCES.",14
18,Mr MCWILLIAMS ,"Will the Prime Minister have a return prepared showing the number of licences issued during the last three years for the sale of liquor in the Northern Territory, and the dates of issue?",14
19,Mr FISHER ,Yes . FEDERAL CAPITAL.,14
20,Mr HIGGS ,"I want the Minister of Home Affairs to make it clear whether he has any intention of deciding himself to whom prizes shall be given in connection with the designs submitted for the Federal Capital ? Mr KING O'MALLEY - Certainl y following papers:not. The position now is this: The architects, whose work plays only a minor part in town planning, wish me to bring an architect from England and another from America to form a Board to judge the designs. We propose, however, to appoint a Board consisting of an Australian architect, an Australian engineer, and an Australian surveyor, all members of Australian Institutes.",14
21,Mr FISHER ,"That Board will make recommendations to the Government. Mr KING O'MALLEY - Yes , and the Government's decision will be final. We are not going to appoint a Board forthwith. If we did, its members during the .next six or seven months would be chased and hunted by persons endeavouring to persuade them to give decisions which might not be right.",14
