speakerGroups,Speaker,text,pageNumbers
0,NA,"House of Representatives. Thursday, H June, 1926.",14
1,Mr SPEAKER ,"Hon. Sir Littleton Groom) took the chair at 2.30 p.m., and read prayers. NAVA L TRAINEES.",14
2,Mr LISTER ,"Some time ago I asked the Minister for Defence a question concerning the training of boys for the Australian Navy, and received the reply that the matter was then under consideration by the Government. I should like to know whether the Minister has seen the statement on the subject appearing in yesterday's Argus and other Melbourne newspapers? Has the honourable gentleman arrived at any decision on the inatter, and, if so, what?",14
3,Sir NEVILLE HOWSE ,"I have read the article in the Argus, and the matter is still under the consideration of the Government. PUINTING COMMITTEE'S . REPORT. Report (No. 2) brought up by Mr E. EILEY, read by the Clerk, and adopted. DUTY ON MAIZE.",14
4,Dr NOTT ,"I ask the Minister for Trade and Customs whether it is his intention to interfere in any way with the existing tariff as it applies to the maize industry ? NA had the consideration of the Government, and it is not thought desirable at the present time to interfere with the duties that have been accepted by both Houses of the Parliament. MAIN ROADS GRANT.",14
5,Mr FENTON ,"Is the. Government making available to the various States sums of money from the Federal main roads grant? If not, when will the money be available? Will the Prime Minister treat the mr *ter as urgent, to enable the JUNE, 1926.] Sugar Rebate. 6479 State Governments to find employment for many who are out of work at the present time?",14
6,Mr BRUCE ,"Some two months ago, the Government communicated with the State Governments, intimating that, on the expiration of the present financial year, it would be prepared to make available to them monthly payments equivalent to one-twelfth of the amount provided in the present year, so that there might be no stoppage of operations. A number of the State Governments are taking advantage of this offer. SUGAR REBATE. SMALLFEUIT - CANNI NG COMPANIES.",14
7,Mr MACKAY ,"During the debate last night I made some remarks on the difficulty which some fruit canners who are in a small way of business have in obtaining a rebate on sugar supplied to them. I should like to know from the Minister for Trade and Customs what is the responsibility of the Colonial Sugar Refining Company and the Sugar Board in this connection. Has the Government any power to interfere in the matter? NA sibility of the Sugar Board is to see that the agreement between the Commonwealth Government and the Government of Queensland is carried out. Beyond this, the Commonwealth does not interfere. I noted the honourable member's remarks in connection with the supply of small quantities of sugar to certain manufacturers. I shall pursue the matter, and in due course will give the honourable member the information for which he has asked. REPATRIATION OF SOLDIERS. LOANS TO STATES.",14
8,Mr GREGORY ,"the Treasurer, upon notice I. What has been the amount borrowed by each State from ithe Commonwealth for repatriation of soldiers? 2. What is the average interest charge on these loans ? 3. What is the amount of each State's estimated losses on soldier settlement? 4. What amount has been written off these loans by the Commonwealth?",14
9,Dr EARLE PAGE ,"The answers to the honourable member's questions are as follow:1. The following amounts have been advanced by the Commonwealth to the different States for soldier land settlement:New South Wales . -. £9,826,203 Victoria Queensland South Australia Western Australia . - - 5,463,782 Tasmania .. .. 2. The average interest charge is £6 4s. 6d. per cent, per annum. This rate will apply up t ill 31st Decemer, 1930. Agreements made with the different States, which will shortly be submitted to Parliament for ratification, proupon noticevide that from 1st January, 1931, the interest charge shall be 5 per cent, per annum u n t i l whole of the loans are repaid. As regards the rate of £6 4s. 6d. per cent., however, were granted a rebate for the first five years of each loan at the rate of 2 i per annum. 3. No information is available on this point. 4. Under the agreements with the States homes, &e. ? above referred'to, it is proposed to write off the following amounts as from 1st October, 1925:New South Wales .. Victoria Queensland South Australia Western Australia Tasmania NORTH-WESTERN AUSTRALIA. TRANSFER TO THECOMMONWEALTH .",15
10,Mr MANN ,"the Treasurer, upon noticeW it h reference to the proposed transfer of the north-western portion of Australia to the Commonwealth1. How is the sum of £150,000 arrived at as an estimate of the cost of this territor y to the Western Australian Government? 2. Does this represent the difference between expenditure in and revenue from that area, or is it only the amount providedon the annual estimates for services therein ? 3. If revenue from that area is taken into account, how is it arrived at?",15
11,Dr EARLE PAGE ,"The answers to the honourable member's questions are as follow:1. On behalf of the Western Australian Gofollow:vernment, a statement was tendered to the Royal Commission on the Finances of Western Australia as affected by-Federation, which indicated that the annual loss on the North-west was £318,036. It was subsequently stated in evidence by the Assistant Under-Treasurer of Western Australia that the loss was not so great as was originally thought; also that ordinary expenditure would only be slightly in excess of revenue other than land rents. Land rents were stated to be £91,697. All available statements and figures were examined and the annual loss was estimated at £150,000. This estimate includes interest and sinking 11,968,176 fund on loan expenditure of £2,681,935 at 30th 2,717,697 June, 1924, and the difference between esti. . 2,857,780 . mated expenditures and revenues on all services in connection with the North-west. - 2,168,303 2. See answer to No. 1. £35,001,941 3. See answer to No. 1. WAR SERVICE HMS.",15
12,Mr GREGORY ,"the Treasurer, 1. What has been the total expenditure on the soldiers' homes, including administrative costs, purchases of timber areas, and all expenditure the States relating thereto? 2. What is the total revenue received to date cent, per in repayment from all sources? 3. What is the estimated amount, less unaccrued interest, that can be regarded as tangible assets derivable from repayments for",15
13,Dr EARLE PAGE ,"The information is being obtained, and will be furnished . . £1,340,000 later. 1,560,000 475,000 567,000 PACIEIC ISLANDS STEAMSHIP 796,000 SERVICES. 262,000",15
14,Mr COLEMAN ,"the Minister re£5,000,000 presenting the Minister for Home and Territories, upon notice I. Is it a fact that tenders for the supply of Pacific Island steamship services closed on 15th January, 1925, and that Burns, Philp, and Company were the only tenderers? 2. Is it a fact that full information in regard to this tender was published in the press, although the Government did not see fit to accept it? 3. Is it a fact that further tenders were invited, closing on 30th November, 1925, and that no finality has yet been reached in the matter ? 4. Is it a fact that Burns, Philp, and Company have had their contract extended from month to month, whilst the Government is endeavouring to encourage ships manned .by black labour and foreign labour to enter this trade ? 5. Will the Government definitely state what is proposed in this matter?",15
15,Mr MARR ,"The answers to the honourable member's questions are as 1. Yes. 2. Certain information in regard to the tender appeared in the Sydney press, but the Government is unaware of the' circumstances under which it was published. 3. Yea. 4. The contract expired on 31st July, 1925, but was extended for six months in the first place, and later for a further period of six montlis from 1st February, 1926, with the object of enabling the fullest investigation to be made by the Government into all aspects of the service in question before finalizing its plans for the future. 5. The Government expects to be in a position to make an announcement in regard to this matter at an early date. LOSS OF S.S. DORRIGO.",15
16,Mr FORDE ,"the Minister for Trade and Customs, upon notice I. Has his attention been drawn to an article appearing in the Eockhampton Morning Bulletin of the 5th instant, entitled "" The Dorrigo Disaster and its Lessons "" ? 2. In view of the points raised in the article mentioned, will he obtain, from competent naval architects, data with respect to the lost vessel showing(a) the height of the centre of gravity above the ship's bottom; and (6) the position of the metacentre relatively to the centre of gravityat the time of the Dorrigo leaving Brisbane on the voyage on which she was lost? 3. On the data supplied as in 2, will he obtain from a competent naval architect an opinion regarding the seaworthiness of the Dorrigo at the time of her departure as above? 4. Will he ascertain whether proper scientific data regarding the stability of the Dorrigo was given by her former owners to her new owners when she changed hands in June, 1925? 5. If the answer to 4 is in the negative, will he cause such steps to be taken as will ensure the supply of such information or data to new owners being part of the formal business of transferring ships from one owner to another? NA honourable member's questions are as follow:1. I have seen the article referred to. 2 and 3. A properly constituted Court of Marine Inquiry, assisted by two experienced shipmasters as nautical assessors, exhaustively investigated the circumstances attending the loss of the Dorrigo. One of the principal matters investigated by the court was the disposition of. the cargo in the vessel's holds, but as the officers who had charge of the stowage in Brisbane were both lost with the ship, the information obtained by the court on the distribution of weights in the vessel was presumably not sufficiently definite to enable any useful question as to the vessel's stability being put to a naval architect. The court, it may be mentioned, had full power to require the attendance of any naval architect as a. witness. 4. The evidence given at the inquiry showed that the new owners did not receive from the vendors any precise particulars regarding the stability of the vessel. 5. The whole procedure in connection with the sale and transfer of ships is governed entirely throughout the Empire by the Merchant Shipping Act of Great Britain. Under this act, there is no power to require the supply by vendors of data regarding the stability of a vessel. CONCILIATION AND ARBITRATION BILL. Bill returned from the Senate without amendment. DOMESDAY BOOK. Notice of motion in the name of Dr MALOITEY postponed u n t i l 8th July. ELECTI VE MINTSTEIES. - Notice of motion in the name of Mr . STEWART postponed u n t i l Sth July. NEW STATES. Debate resumed from 27th May (vide",16
17,Mr THOMPSON ,"NA SONThat, in the opinion of this House, a referendum throughout Australia should be taken during the life of the present Parliament on the question of amending the Federal Constitution so as to give the Commonwealth Parliament power to establish new States on such terms and conditions as it may think fit within the boundaries of existing States, with or without the consent of State Parliaments.",16
