Speaker,Text,pageNumbers
NA,"Monday, 6 March 1989",10
NA,Madam SPEAKER (Hon. Joan Child),10
NA,"took the chair at 2 p.m., and read prayers.",10
NA,ELECTORAL DIVISION OF GWYDIR,10
NA,Issue of Writ,10
NA,Madam SPEAKER-I inform the House,10
NA,that I have today issued a writ for the elec-,10
NA,tion of a member to serve for the electoral,10
NA,division of Gwydir in the State of New South,10
NA,Wales in place of the Hon. Ralph James,10
NA,Dunnet Hunt. The dates in connection with,10
NA,the election are fixed as follows: close of the,10
NA,"roll, Monday, 13 March 1989; date of nom-",10
NA,"ination, Friday, 17 March 1989; date of poll-",10
NA,"ing, Saturday, 15 April 1989; date of return",10
NA,"of writ, on or before Thursday, 1 June 1989.",10
NA,MINISTERIAL ARRANGEMENTS,10
Mr HAWKE ,Wills-Prime Minister)-I,10
NA,inform the House that the Minister for Sci-,10
NA,"ence, Customs and Small Business, Mr Barry",10
NA,"Jones, left Australia on 3 March to attend",10
NA,an environmental conference and for associ-,10
NA,ated discussions in London. He will return,10
NA,"to Australia on 15 March. In his absence,",10
NA,"the Minister for Industry, Technology and",10
NA,"Commerce, Senator Button, has assumed Mr",10
NA,Jones's portfolio duties and the Minister for,10
NA,"Trade Negotiations, Mr Duffy, is represent-",10
NA,ing the Minister in this chamber.,10
NA,QUESTIONS WITHOUT NOTICE,10
NA,DEPARTMENT OF TRANSPORT AND,10
NA,COMMUNICATIONS: SALE OF,10
NA,AIRCRAFT,10
Mr BLUNT,My question is directed to,10
NA,the Minister for Transport and Communica-,10
NA,tions. Was an F28 aircraft owned by the,10
NA,Minister's Department disposed of without,10
NA,public tender? Was this aircraft acquired by,10
NA,a company of the Ansett group and was it,10
NA,immediately resold overseas for a profit of,10
NA,millions of dollars? Did the procedure,10
NA,adopted by the Department for this sale,10
NA,comply with the finance regulations of the,10
NA,Department of Administrative Services? If,10
NA,"not, why not?",10
Mr WILLIS,I suggest that the honour-,10
NA,able member put the question on notice.,10
NA,WAGE-TAX TRADE-OFF,10
Mr MOUNTFORD,Can the Prime Min-,10
NA,ister advise the House of the principles being,10
NA,used to determine the Government's ap-,10
NA,proach to the wage-tax trade-off in the forth-,10
NA,coming April economic statement?,10
Mr HAWKE,The tax cuts that my Gov-,10
NA,ernment will provide from 1 July will recog-,10
NA,"nise that those in receipt of average, or",10
NA,"around average, earnings have borne the",10
NA,greater part of the burden of restraint. In,10
NA,"the event, our tax cuts will be concentrated",10
NA,on low to moderate income earners because,10
NA,it is the case that they have earned the tax,10
NA,cuts and they will get them. We will provide,10
NA,those tax cuts in the context of an econom-,10
NA,ically responsible wage-tax trade-off. In ex-,10
NA,plaining that tax cut in the context of our,10
NA,"economic responsibility, I say it is well known",10
NA,that that sort of economic responsibility is,10
NA,not a strong suit of those opposite. We see,10
NA,that honourable members opposite are now,10
NA,contemplating trying to slide out of detailing,10
NA,the spending cuts that they would make to,10
NA,fund their tax cuts. One could well ask who,10
NA,said this of the coalition's tax policy:,10
NA,I have said all along that the timetable for policy,10
NA,release is by August 1988 ... is going to be adhered,10
NA,to.,10
NA,That was said by the Leader of the Opposi-,10
NA,tion. As against what is happening on the,10
NA,"Opposition's side, it is well known that this",10
NA,Government has never shirked the responsi-,10
NA,bility of explaining to the Australian com-,10
NA,munity just where the money to finance tax,10
NA,"cuts is coming from. In that context, Madam",10
NA,"Speaker, you could well ask who, in a con-",10
NA,fidential memo to the preceding Leader of,10
NA,"the Opposition, the honourable member for",10
NA,"Kooyong, said:",10
NA,We will be very vulnerable if Labor can successfully,10
NA,put the tag of 'Where's the money coming from' on,10
NA,our election offerings.,10
NA,That was what the honourable member for,10
NA,Bennelong said to the then Leader of the,10
NA,Opposition: that they would be vulnerable if,10
NA,they could not say where the money was,10
NA,coming from. I say to the honourable mem-,10
NA,"ber for Banks, and through him and the",10
NA,House to the Australian community: The,10
NA,community will be left in no doubt-as far,10
NA,as we are concerned on this side of the,10
NA,House-as to where the money is coming,10
NA,from to finance the tax cuts of this Govern-,10
NA,"ment. What you will find on the other side,",11
NA,"Madam Speaker, is no indication whatsoever",11
NA,at this stage. Now there is an indication that,11
NA,the Opposition will slide out of that respon-,11
NA,sibility altogether.,11
NA,"Finally, I ask this House to contrast what",11
NA,is said in 'Futile Diversions' on this score. In,11
NA,'Futile Diversions' on page 3 the Leader of,11
NA,the Opposition said:,11
NA,. . . politicians . . . have glossed over the,11
NA,truth when it has been too difficult for them to cope,11
NA,with its consequences and made unrealistic promises,11
NA,which have built up false expectations of what can,11
NA,be achieved.,11
NA,What we are witnessing at this stage in re-,11
NA,gard to the Opposition's so-called tax and,11
NA,fiscal policy is exactly described by the,11
NA,Leader of the Opposition's own statement on,11
NA,"page 3. As we go through this year, Madam",11
NA,"Speaker, you will continue to see this con-",11
NA,trast: absolutely explicit indications by this,11
NA,side of the House as to where the tax cuts,11
NA,will be coming from; as far as the Opposition,11
NA,"is concerned, no indication whatsoever.",11
NA,INFLATION,11
NA,NA,11
NA,the Treasurer. I remind him that on 9 Sep-,11
NA,tember last he said in an address to the,11
NA,Economic Planning Advisory Council:,11
NA,The wage/tax trade-off we will implement will,11
NA,secure a further fall in inflation to around three,11
NA,four per cent in 1990.,11
NA,Does the Treasurer still stand by this predic-,11
NA,"tion? If not, what is his revised assumption",11
NA,for inflation for the calculation of the For-,11
NA,ward Estimates for next year?,11
Mr KEATING,I addressed all these,11
NA,matters publicly a couple of weeks ago in a,11
NA,press conference-which I have and the,11
NA,honourable member does not have.,11
Mr TUCKEY ,What about the Parliament?,11
NA,Madam SPEAKER-The honourable,11
NA,member for O'Connor will not interject.,11
Mr TUCKEY ,We don't want to know what,11
NA,he said out there.,11
NA,Madam SPEAKER-Order! The honour-,11
NA,able member for O'Connor will not argue,11
NA,with the Chair.,11
Mr KEATING,I refer the honourable,11
NA,gentleman to the transcript.,11
NA,SOVIET DIPLOMAT,11
NA,Mr BILNEYI direct my question to the,11
NA,Prime Minister. I refer to the rather feverish,11
NA,allegations by the shadow Minister for for-,11
NA,eign affairs about our policy towards· the,11
NA,"Soviet Union. Is it the case, as alleged by",11
NA,"the shadow Minister, that our policies to-",11
NA,wards the Soviet Union have been influenced,11
NA,in any way by the alleged clandestine activi-,11
