speakerGroups,Speaker,text,pageNumbers
0,NA,"House of Representatives. Wednesday, IS November, 19S0.",9
1,Mr SPEAKER ,"Hon. Norman Makin) took the chair at 3 p.m., and offered prayers. SIR OTTO NIEMEYER.",9
2,Mr MACKAY ,Is the Acting Prime Minister yet prepared - to state the circumstances which led to the visit of Sir Otto Niemeyer to Australia?,9
3,Mr FENTON ,"I am obtaining the information, and shall supply it to the honourable member later. NEWSPAPER MISREPRESENTATION .",9
4,Mr YATES ,"I rise to a personal explanation. Last week I made a motion of privilege to bring to the notice of the House the misrepresentation by the Adelaide Advertiser and other journals of my attitude towards the financial policy of the Commonwealth. During the debate that ensued, several honourable members said that I was wrong in complaining that I had beeu misrepresented. In the report of that debate published in the Advertiser, and, presumably, supplied either by telephone or telegraph by its representative in this city, the following paragraph appearedSeveral times during his speech Mr Yates made reference to the paid hirelings of the press. I. hold the proof number of Hansard containing my speech, and I am assured by the Principal Parliamentary Reporter that it is complete, and omits nothing that I stated in the House. It contains not, a single reference to "" the paid hirelings of the press "". However honourable members may differ regarding my com. plaint of misrepresentation on the first occasion, here is evidence of wilful misrepresentation and lying, and I leave it to the Leader of the Opposition and the honourable member for Henty ( Mr. Gullett) and others to justify such misreporting of the proceedings of this House. PRICE OF WIRE AND WIRE PRODUCTS.",9
5,Dr EARLE PAGE ,"The Brisbane Courier of Monday last reported that the manufacturers of wire netting and wire have, pending the issue of new price lists, made the following increases on invoices:Fencing and baling wires, gauges 8 to 14 inclusive, £2 7s. Od. per ton; wire for manufacturing purposes, all classes, gauges 8 to 14 inclusive, £2 7s. Od. per ton; tie wire. 14 gauge only, 2s. (id. per cwt.; barbed wire, all gauges, £2"" 7s. Cd. per ton; nails, including brads, clouts, panel pins, &c, gauges 8 to 14 inclusive, 3s. per cwt.; wire netting, all classes, l i per cent. These goods have been already manufactured, and I ask the Assistant Minister for Trade and Customs whether bounty has been paid in respect of them, and whether, as a result of the new duties, a further sum is to be taken from the consumers by means of increased prices?",10
6,Mr FORDE ,"If the right honourable gentleman will let me have those particulars, I shall have them investigated immediately, arid furnish a reply to him as early as possible. POSTMASTER-GENERAL'S DEPARTMENT. DISMISSALS or RADIO-TELEGRAPHISTS.",10
7,Mr ELDRIDGE ,"the Posfrmaster-General, upon notice I. Has a number of radio-telegraphists in the service of the department been dismissed upon the acquirement of the A class broadcasting stations; if so, how many? 2. Do the dismissed men properly belong to the broadcasting industry? 3. Is it a fact that they have no other occupation, and have long years of service to their credit in the stations acquired by the Government ? 4. Is it a fact that they hold certificates complying with the Government regulations regarding the qualifications of persons eligible to operate a broadcasting station ? 5. Is it a fact that they did not at any time seek temporary or casual employment in the Public Service in the sense that they came to the Government seeking employment, but that they were taken into the stations when the Government acquired the stations? 6. Is it a fact that they belong to an industry which the Government acquired, and in which the Government at that time had no men in its service properly belonging to' that industry, except the radio inspectors and other administrative officers? 7. Is it a fact that the mechanics in the' permanent service of the denartment, who have apparently been appointed to the positions of these radio-telegraphists', are neither certified nor qualified as required by law or by regulation, nor have any of them ever previously been employed in the industry of radio-telegraphy ? 8. If the circumstances are as stated, has a grave injustice been done to these men justifying their re-employment?",10
8,Mr LYONS ,"The answers to the honourable member's questions are as follow:1. Ten attendants who were employed in a temporary capacity at the stations and studios of the national broadcasting service throughout the Commonwealth have had their period of employment terminated. 2. They are in the same category as a considerable number of men who have been employed over varying periods in connection with broadcasting activities during the past five or nix years. 3. It is unknown whether they have other occupations. In some cases the men concerned were employed by the broadcasting companies for periods up to five years. 4. Yes, in some cases. 5. When the stations were acquired by the Government, applications were made by most - if not all-of the companies' employees for service with the department. The department was anxious that the least possible hardship should result from the transfer, and made special efforts to take into its service as many as possible of the companies' employees. It was made clear to those concerned that their employment would be of a temporary character. 0. The Government did not acquire an industry. It has so far taken over only five stations. At the present time there are 28 broadcasting stations operating in the Commonwealth, and licences have been issued for ten more stations. The department has a considerable number of men in its service, quite apart from radio inspectors and other administrative officers, adequately equipped with technical knowledge and training to enablethem to perform all duties in connection with broadcasting activities. 7. The department's officers employed on broadcasting work have the necessary qualifications and competence to undertake the duties efficiently, and they arc not engaged in any manner contrary to the law or the regulations. It is probable that most of them have not heen previously engaged in the industry of commercial radio-telegraphy. 8. It is regrettable that circumstances are well known have forced the department to dispense with the services of many valuable officers employed in a temporary capacity, but it would bo quite wrong to say that any injustice has been done to the men in question. REVENUE .FROM PUBLIC WORKS.",10
9,Mr CROUCH ,"the Acting Treasurer, upon notice What revenue was received during the financial years 1927-28 aud 1928-29 from the following works:1. Murray Hirer waters scheme. 2. Brisbane-Kyogle railway expenditure. :j. Wire-netting advances by the Federal Government. - I. Health laboratories. "">. Migration, works or expenditure. (>. Koad grants. 7. Bridges and bores expenditure in !- Western Australia by the Federal Government. S. Bridges and bores expenditure in South Australia by the Federal Government. 9. Lighthouses. 10. The loan of £10,000 to Papua. 11. Fleet construction. 12. Defence expenditure. 13. Amalgamated Wireless shares?",11
10,Mr LYONS ,"The answers to the honourable member's questions are as follow:1. N i l . 2. The return to the Commonwealth consists only of interest on loans to New South Wales and Queensland for capital expenditure. The interest on loans to the two States was1927-28, £39,030; 1928-29, £05,871. 3. Interest on advances amounted to192728. n i l ; 1928-29, £17,339. 4. 1927-28, £3,042; 1928-29, £3,302. 5. Interest on loans and advances to States -1927-28 , £37,988; 1928-29, £58,497. Interest from British Government for development and migration loans-1927-28 , £72,810; 1928-29, £108,937. The migration loans to the States were made in accordance with an agreement under which the Commonwealth, the States and the British Government bear the cost of interest on development and migration loans in varying proportions. The Commonwealth receipts are merely a reimbursement of part of the interest cost. 6. N i l . 7. N i l . 8. N i l . 9. Lighthouse revenue-1927-28 , £194,153; 192829, £196,100. 10. Two advances of £10,000 each were made in October and November, .1920, hut have not been taken as separate loans. They are included in a larger amount bearing interest at 4 per cent. Various loans, including the £40,000, amounting in all to £59,404, were outstanding at 30th June, 1.929. These bear interest at rates from 3-1 to 4 per cent., which according to the cost to the Commonwealth. A sinking fund contribution is made by Papua to extinguish all loans in 33 years.' 11. N i l . 12. Total Defence revenue was-1927-2S \ £132,877; 1928-29, £117,614. This does not include receipts from factories, which are subsidized from revenue, mid most of which are on a nucleus basis. 13. 1927-28, £20,528; 192S-2!), £28,000. BROADCASTING STATIONS.",11
11,Mr ELDRIDGE ,"the Postmaster General, upon notice I. On what date was the tender for relay broadcasting stations accepted? 2. Was the contract made for the live stations together, or for the various stations separately ? 3. What was the price for each of the five stations? 4. Did the successful oversea tenderer's price include the work of installing any or all of the stations? 5. Did the unsuccessful Australian tenderers' prices include the installing of the stations ? 6. Did the unsuccessful tenderers in their quotations make allowance for masts of - a greater height than the successful tenderer? 7. Did the unsuccessful Australian tenderer* include in their quotations provision for more expensive and/or higher quality engines and/or power plant than the successful ten-, dercr ? 8. Would the power plant offered by the unsuccessful tenderers have been more economical in operation than that being installed by the successful tenderers? 9. In what other respects did the unsuccessful Australian tenders differ from the tender of the oversea company which secured the contract? 10. In view of the statement of the Prime Minister before leaving Australia that if possible he would cancel the contracts for the five relay broadcasting stations, will the Postmaster-General state whether the contract for any or all of these stations has been cancelled; alternatively, will he state whether it is possible to cancel the contract for any of these stations? 11. Will the Post muster-General state exactly what stage of development has been reached in respect of each of these contracts': 12. Does the Postmaster-General still consider it is' in the public interest that details of these contracts should not be disclosed?",11
12,Mr LYONS ,"The answers to the honourable member's questions are as follow:- . 1 and 2. The contract was let for two stations on the 13th September, 1929; for two further sets on the 211th February, 1930; and for MI additional set on the 15th August, l 3 0 . 3. The contract prices, including spare plant, arc-(1 ) '£9,148 13s. Cd.; (2) £9,14.8 13s. (id.; (3) £17,940 13s.; (4) £17,940 13s. 4. The successful tenderer's price included the cost of supervision 'during installation. 5. Not completely. A certain amount of departmental labour was required to be supplied. (i. One unsuccessful tenderer quoted for 150 feet masts; another for 200 feet masts; and the successful tenderer for heights ranging from 130 feet to 260 feet depending upon the wave length and the types of radiating systems offered. 7. The cost of the power plant offered by one of the unsuccessful Australian tenderers was less than that of the successful tenderer, and the other unsuccessful tenderer offered plant at a higher price. The successful tenderer's plant is of the highest quality. 8. No. !). In respect of guaranteed ulliciency and economy of operation. 10. The order for one broadcasting station has heen cancelled. 11. One station is completed and undergoing its .final tests. The manufacture of the equipment for the three remaining stations is practically completed. 12. Yes. COMMONWEALTH EXPENDITURE .",12
